user_id,month,year,total_fuel_liters,bill_amount,vehicle_type,daily_distance_km,office_days,weekend_trip_km,holiday_trip_km,fuel_price_per_liter,avg_trip_duration,occupancy_days,predicted_next_month
U731,Apr,2024,117,12527,Diesel,75,18,125,215,107.07,81,15,119
U541,Mar,2023,33,3522,Petrol,5,26,16,196,106.73,21,25,35
U528,Jul,2023,81,8324,Diesel,64,19,65,38,102.77,50,20,82
U635,Dec,2025,57,5981,Petrol,16,15,103,227,104.94,81,29,58
U701,Mar,2023,72,7482,Petrol,25,20,4,236,103.92,44,26,75
U828,Aug,2023,45,4848,Petrol,15,16,122,131,107.74,85,19,42
U768,Jun,2024,57,6133,Hybrid,48,19,124,167,107.6,43,26,60
U918,May,2024,122,13160,Petrol,62,20,111,36,107.87,86,28,119
U533,Apr,2025,122,13045,Petrol,48,25,15,66,106.93,88,28,114
U548,Aug,2023,70,7509,Diesel,38,22,80,110,107.28,47,19,67
U907,Aug,2025,58,5900,Diesel,29,23,90,218,101.74,73,17,55
U562,Dec,2024,22,2346,Hybrid,8,26,134,208,106.65,34,20,20
U716,Jan,2025,130,13737,Petrol,68,20,135,86,105.67,43,23,124
U793,Sep,2024,37,3984,Diesel,20,19,71,178,107.7,67,21,34
U599,May,2025,41,4287,Petrol,14,26,95,12,104.57,15,16,42
U672,Apr,2025,145,14598,Petrol,70,18,110,299,100.68,48,24,147
U860,Jun,2023,54,5658,Diesel,39,16,81,124,104.78,58,26,55
U714,Jun,2025,26,2742,Diesel,10,16,37,232,105.49,28,16,25
U975,Feb,2023,51,5189,Diesel,23,21,53,250,101.76,51,27,53
U535,Aug,2023,143,14750,Petrol,63,19,75,125,103.15,49,22,132
U949,Jul,2023,120,12574,Petrol,57,21,14,234,104.79,73,21,121
U727,Jan,2023,46,4737,Petrol,12,25,115,137,102.99,38,17,43
U601,May,2025,0,0,Electric,14,15,8,48,103.0,79,22,0
U931,Dec,2024,125,12632,Petrol,71,15,7,185,101.06,20,15,120
U962,Jun,2024,108,11613,Petrol,42,19,109,204,107.53,82,29,114
U631,Apr,2024,72,7632,Petrol,33,16,146,77,106.0,52,15,77
U757,Feb,2025,43,4300,Diesel,19,22,50,193,100.01,15,26,45
U505,Apr,2023,60,6367,Petrol,27,17,30,102,106.12,55,25,56
U718,Jan,2024,44,4660,Hybrid,50,15,101,104,105.92,45,30,42
U755,Jul,2025,80,8006,Petrol,32,16,2,286,100.08,50,18,86
U898,Feb,2023,50,5148,Hybrid,30,24,98,210,102.96,87,16,49
U859,Feb,2024,57,5976,Petrol,14,24,82,249,104.85,68,17,62
U783,Sep,2023,84,8704,Diesel,51,21,42,292,103.62,45,18,82
U893,May,2024,20,2124,Hybrid,8,20,28,200,106.22,43,26,21
U707,Feb,2024,139,14372,Petrol,59,26,9,23,103.4,17,15,150
U515,Nov,2024,0,0,Electric,70,22,139,299,101.23,72,17,0
U846,Sep,2023,167,18004,Petrol,71,21,45,82,107.81,75,18,150
U542,Sep,2025,25,2548,Hybrid,11,24,29,296,101.94,20,20,24
U880,Jan,2023,97,10256,Diesel,59,22,93,178,105.74,34,31,104
U961,Nov,2024,76,7687,Petrol,35,17,31,297,101.15,75,22,81
U679,Mar,2023,165,16933,Petrol,78,20,46,205,102.63,60,30,154
U563,Apr,2025,49,5073,Petrol,23,21,87,39,103.54,27,20,48
U852,Jul,2023,95,9646,Petrol,32,24,62,112,101.54,37,22,101
U731,Oct,2025,91,9427,Petrol,32,25,130,3,103.6,45,18,92
U741,Apr,2025,48,4860,Petrol,23,15,22,107,101.26,18,23,51
U552,Feb,2023,45,4701,Petrol,24,15,73,113,104.47,89,22,47
U596,Jul,2024,41,4317,Diesel,17,21,49,166,105.31,80,15,44
U888,Jun,2025,157,15778,Petrol,47,25,123,260,100.5,30,18,144
U722,Mar,2023,32,3423,Petrol,15,17,12,105,106.97,45,24,29
U985,Jun,2025,94,9539,Diesel,52,17,125,223,101.48,62,22,86
U907,Nov,2024,68,6922,Petrol,19,19,28,261,101.8,57,17,73
U731,Jun,2023,92,9686,Petrol,21,25,120,250,105.29,18,26,91
U737,Dec,2023,134,13902,Petrol,58,20,89,13,103.75,76,23,122
U643,May,2023,51,5304,Hybrid,54,16,132,197,104.0,62,17,49
U671,Apr,2024,53,5354,Diesel,32,17,147,125,101.03,42,18,51
U529,Oct,2025,44,4683,Petrol,8,20,77,205,106.45,30,20,46
U536,Dec,2023,49,5142,Diesel,26,17,108,139,104.94,83,23,51
U513,Jan,2025,54,5458,Diesel,43,19,13,61,101.08,44,16,56
U660,Oct,2025,86,8857,Diesel,38,23,135,282,102.99,79,16,77
U827,Jun,2024,84,8944,Diesel,48,26,47,53,106.48,83,17,90
U687,Feb,2023,63,6586,Diesel,46,17,140,11,104.55,28,17,59
U743,Mar,2025,128,12911,Petrol,44,26,23,135,100.87,89,20,131
U586,Aug,2023,49,5046,Petrol,16,25,78,143,102.98,48,15,44
U784,Oct,2023,40,4077,Petrol,6,20,50,281,101.94,70,29,36
U566,Jun,2024,47,4894,Hybrid,32,25,2,135,104.14,43,25,42
U670,Mar,2023,125,13343,Diesel,78,19,127,220,106.75,39,24,126
U545,Jul,2023,117,12108,Diesel,71,19,118,208,103.49,80,18,120
U562,Apr,2025,0,0,Electric,75,25,57,122,103.47,54,28,0
U941,Sep,2024,141,15120,Petrol,76,20,124,115,107.24,29,16,135
U634,May,2023,32,3347,Diesel,14,20,112,156,104.61,46,27,34
U784,Mar,2025,90,9407,Diesel,61,15,54,269,104.53,34,30,82
U528,Feb,2024,0,0,Electric,41,25,118,16,102.1,67,26,0
U608,Nov,2024,0,0,Electric,68,23,119,268,104.86,81,19,0
U544,Feb,2025,82,8578,Diesel,44,19,79,218,104.61,63,17,87
U840,Mar,2025,109,11245,Petrol,64,15,41,237,103.17,81,16,103
U786,Feb,2025,75,8094,Diesel,52,22,20,32,107.93,15,31,82
U946,Apr,2025,67,7173,Petrol,23,21,9,284,107.06,53,25,65
U831,Feb,2025,105,11130,Diesel,76,21,56,36,106.0,75,15,102
U628,Oct,2023,36,3754,Hybrid,37,19,55,102,104.3,69,22,33
U848,Sep,2023,77,7984,Petrol,48,15,37,210,103.7,83,25,79
U973,Feb,2024,91,9234,Diesel,41,23,85,279,101.48,16,22,86
U731,Sep,2023,102,10449,Petrol,40,25,112,141,102.45,31,31,104
U690,Jun,2023,98,10406,Petrol,25,23,111,238,106.19,43,20,92
U725,Jan,2023,40,4145,Petrol,6,22,53,228,103.63,18,21,39
U885,Apr,2025,64,6851,Diesel,35,19,45,132,107.06,87,27,68
U877,Jan,2024,30,3035,Hybrid,34,17,3,124,101.18,78,21,31
U783,Jun,2024,60,6244,Hybrid,48,22,61,52,104.07,57,25,55
U946,Apr,2024,37,3891,Petrol,16,15,123,87,105.18,26,24,37
U621,Mar,2024,50,5206,Hybrid,55,17,127,97,104.13,64,22,51
U616,Mar,2023,122,13067,Diesel,53,26,111,94,107.11,82,24,112
U961,Sep,2023,82,8849,Petrol,28,25,84,187,107.92,75,25,81
U733,Jun,2025,69,6964,Petrol,28,21,3,255,100.93,87,31,65
U759,Sep,2024,111,11215,Petrol,64,18,64,72,101.04,65,25,110
U859,May,2023,34,3435,Hybrid,15,21,61,281,101.04,19,30,35
U698,Feb,2023,32,3374,Diesel,17,26,89,17,105.45,42,19,29
U956,Aug,2025,135,13902,Diesel,76,25,119,163,102.98,24,24,124
U911,May,2025,165,17468,Petrol,78,19,129,145,105.87,66,19,157
U637,Feb,2025,134,13834,Diesel,76,20,136,252,103.24,31,23,146
U818,Apr,2023,149,15647,Petrol,68,21,44,159,105.02,79,17,156
U665,Sep,2023,62,6581,Petrol,24,24,145,48,106.16,35,17,56
U725,Apr,2025,162,16911,Diesel,76,26,111,175,104.39,68,24,158
U807,Dec,2024,177,18464,Petrol,77,21,41,64,104.32,63,21,168
U734,Dec,2025,114,11480,Diesel,75,21,40,288,100.71,36,16,117
U672,Dec,2025,85,8779,Petrol,32,21,88,49,103.29,83,22,84
U652,Apr,2025,11,1148,Diesel,6,25,41,3,104.37,78,26,12
U963,Feb,2025,109,11303,Petrol,47,21,34,118,103.7,50,23,102
U815,Dec,2023,28,3001,Diesel,12,17,66,163,107.21,35,25,28
U874,Jun,2024,71,7614,Petrol,17,26,40,222,107.25,70,31,73
U660,Nov,2025,74,7886,Petrol,39,17,98,155,106.58,87,27,78
U596,Feb,2024,37,3811,Hybrid,27,21,49,261,103.0,62,15,36
U972,Dec,2024,86,9093,Petrol,50,16,103,172,105.74,32,15,89
U733,Jul,2024,25,2579,Diesel,19,16,85,22,103.16,29,22,24
U680,Mar,2025,0,0,Electric,6,17,78,60,101.86,58,27,0
U613,Mar,2023,129,13253,Petrol,65,18,44,133,102.74,59,20,139
U818,May,2025,139,13979,Petrol,68,20,146,23,100.57,50,17,151
U997,Mar,2024,105,10778,Diesel,56,22,105,292,102.65,54,30,109
U942,Feb,2024,0,0,Electric,40,24,144,44,103.69,65,24,0
U552,Oct,2023,94,10118,Hybrid,71,24,121,178,107.64,44,21,100
U768,Sep,2025,105,10763,Diesel,73,21,76,62,102.51,40,17,95
U795,Feb,2024,79,8470,Diesel,71,18,55,28,107.22,45,28,72
U886,Nov,2023,103,10488,Petrol,51,16,111,95,101.83,70,30,106
U887,Feb,2024,0,0,Electric,6,16,92,265,101.53,75,18,0
U613,Aug,2023,0,0,Electric,48,18,40,290,104.15,31,27,0
U601,Sep,2023,120,12645,Petrol,68,20,5,54,105.38,38,15,118
U613,Jul,2025,76,7626,Petrol,32,17,97,152,100.35,18,19,74
U940,Mar,2024,138,14044,Petrol,58,20,72,218,101.77,23,26,142
U581,Sep,2025,179,18553,Petrol,78,19,40,172,103.65,16,25,188
U687,Mar,2024,84,8622,Diesel,71,19,8,95,102.65,49,23,83
U613,May,2025,63,6659,Petrol,40,16,7,122,105.7,52,21,59
U502,Sep,2024,164,17070,Petrol,67,22,103,11,104.09,59,28,172
U630,Dec,2025,44,4456,Petrol,29,19,12,3,101.28,29,17,42
U720,Mar,2023,0,0,Electric,52,25,18,66,107.16,56,30,0
U554,Jul,2024,55,5628,Diesel,43,16,97,144,102.34,17,21,56
U843,Dec,2024,128,13548,Petrol,51,21,95,64,105.85,45,15,117
U985,Jan,2023,66,7011,Petrol,25,23,48,81,106.24,66,20,72
U724,Apr,2025,0,0,Electric,34,23,99,104,107.71,55,20,0
U725,Apr,2024,59,6135,Diesel,35,15,81,180,103.99,71,24,64
U885,Jul,2024,72,7554,Petrol,30,21,65,104,104.93,56,26,69
U903,Aug,2025,84,8625,Petrol,26,23,90,225,102.68,67,20,91
U626,Jan,2023,58,6114,Petrol,25,20,58,27,105.43,70,28,53
U630,May,2025,13,1348,Petrol,5,15,52,15,103.71,86,17,11
U553,Jul,2025,57,5899,Diesel,41,16,51,276,103.5,67,24,51
U672,Dec,2025,61,6517,Hybrid,50,18,80,297,106.84,46,23,60
U718,Apr,2024,29,2911,Petrol,13,18,14,53,100.4,68,29,26
U660,Apr,2023,49,5245,Diesel,21,16,120,287,107.06,51,23,49
U698,Apr,2023,119,12711,Petrol,51,22,147,113,106.82,22,22,114
U916,Dec,2025,65,6763,Diesel,63,16,4,37,104.05,25,18,62
U747,Jun,2024,83,8625,Diesel,58,17,134,229,103.92,68,19,85
U824,Jul,2025,49,5041,Petrol,16,18,17,165,102.89,74,28,45
U939,Feb,2024,169,18243,Petrol,68,23,55,181,107.95,24,20,178
U703,May,2024,31,3127,Diesel,10,24,74,204,100.89,84,19,31
U684,Apr,2024,96,10053,Petrol,57,15,95,244,104.72,56,25,103
U623,Mar,2024,59,6221,Petrol,20,22,113,120,105.45,51,19,57
U901,Jul,2023,45,4836,Diesel,9,26,100,258,107.47,72,22,49
U755,Nov,2024,0,0,Electric,77,19,27,209,106.24,73,19,0
U794,Dec,2024,145,15246,Petrol,50,21,49,295,105.15,38,25,158
U780,Jun,2025,36,3633,Diesel,18,22,1,193,100.93,42,27,32
U825,Jul,2025,109,11225,Petrol,48,19,67,67,102.99,51,20,113
U872,May,2023,126,12739,Diesel,67,22,127,113,101.11,35,19,133
U598,Jun,2025,112,11989,Diesel,56,24,76,219,107.05,47,24,101
U698,May,2024,45,4770,Hybrid,30,25,23,219,106.0,16,30,45
U970,Jul,2025,147,15590,Petrol,57,22,111,217,106.06,42,28,155
U895,Feb,2023,75,7891,Diesel,33,23,118,236,105.22,29,29,75
U740,Nov,2025,43,4474,Diesel,23,16,35,297,104.06,15,17,39
U644,May,2025,90,9108,Petrol,51,17,1,93,101.2,42,17,93
U597,Jun,2023,50,5132,Petrol,12,15,126,252,102.64,64,26,45
U701,Jun,2023,77,7784,Petrol,27,18,104,214,101.1,49,29,81
U624,May,2024,96,10156,Petrol,39,19,17,257,105.8,42,25,87
U687,Oct,2025,73,7393,Hybrid,57,25,7,239,101.28,23,24,67
U826,Jul,2024,105,11090,Petrol,62,15,14,213,105.62,38,29,100
U964,Oct,2025,37,3904,Petrol,9,22,144,97,105.54,77,28,37
U849,Aug,2025,23,2384,Diesel,20,16,22,15,103.67,18,20,25
U759,Jul,2024,46,4649,Petrol,21,15,92,153,101.08,70,28,42
U648,May,2025,43,4408,Diesel,36,16,48,15,102.52,55,30,39
U752,Jan,2025,120,12307,Petrol,56,19,63,197,102.56,81,16,116
U943,May,2025,0,0,Electric,24,23,33,107,105.6,62,19,0
U920,Oct,2023,81,8173,Hybrid,70,23,17,22,100.91,72,25,80
U903,Feb,2024,8,853,Hybrid,5,16,63,41,106.63,53,25,7
U846,May,2023,99,10502,Petrol,62,16,105,36,106.09,39,22,100
U951,May,2024,81,8220,Diesel,48,17,73,164,101.49,74,26,77
U647,Feb,2024,39,4124,Petrol,10,21,101,115,105.75,61,23,38
U648,May,2025,133,14011,Petrol,54,25,16,149,105.35,75,17,128
U852,Apr,2024,114,12081,Petrol,76,17,140,5,105.98,41,20,120
U699,Jan,2023,26,2639,Diesel,24,15,51,31,101.51,56,15,28
U808,Mar,2023,55,5569,Petrol,18,20,63,144,101.26,66,31,57
U989,Jan,2023,31,3158,Diesel,9,17,33,293,101.89,62,17,30
U917,Dec,2024,111,11425,Petrol,45,15,94,292,102.93,46,16,111
U924,Nov,2023,103,10954,Petrol,44,18,86,176,106.35,38,18,95
U628,May,2024,52,5506,Diesel,38,15,101,176,105.9,17,15,54
U539,Apr,2023,95,10203,Petrol,49,15,139,60,107.4,41,24,96
U838,Jul,2023,151,15170,Diesel,75,26,75,76,100.47,87,19,163
U860,May,2024,104,10409,Petrol,75,16,18,85,100.09,54,19,97
U629,Oct,2023,65,6863,Diesel,31,24,136,190,105.59,37,23,68
U767,Apr,2025,69,7053,Diesel,48,22,73,6,102.23,21,28,71
U976,Feb,2024,67,6878,Petrol,37,16,144,84,102.67,51,27,63
U941,Apr,2024,104,10854,Petrol,37,25,49,261,104.37,21,27,107
U973,Dec,2024,80,8065,Diesel,48,16,38,258,100.82,36,15,86
U934,Feb,2025,51,5362,Diesel,24,25,137,46,105.14,31,31,55
U651,Aug,2024,102,10465,Petrol,40,25,11,93,102.6,33,22,106
U915,Mar,2023,54,5673,Petrol,11,24,78,223,105.06,53,17,49
U978,Sep,2023,47,5013,Hybrid,36,24,14,278,106.67,50,31,50
U798,Apr,2023,107,10846,Diesel,71,22,27,2,101.37,29,26,110
U599,Jun,2024,144,15472,Petrol,43,26,131,128,107.45,77,28,138
U763,Oct,2023,82,8548,Petrol,28,20,35,248,104.25,43,25,76
U752,May,2024,224,24053,Petrol,74,26,118,228,107.38,74,30,206
U644,Oct,2023,98,9962,Diesel,58,25,64,130,101.66,70,18,89
U846,Jan,2025,94,9854,Petrol,42,18,97,227,104.84,54,21,98
U612,Sep,2025,0,0,Electric,78,17,46,176,103.23,30,25,0
U1000,Jan,2025,117,12424,Petrol,79,15,80,30,106.19,47,30,105
U560,Aug,2025,87,9121,Petrol,36,25,38,65,104.85,30,30,85
U869,Sep,2024,66,6861,Diesel,49,17,37,205,103.96,44,17,65
U502,Sep,2023,81,8691,Hybrid,65,26,43,100,107.3,80,23,75
U885,Jan,2025,107,11023,Diesel,74,23,96,30,103.02,58,22,97
U804,Feb,2024,111,11295,Petrol,57,19,123,190,101.76,52,21,104
U754,Dec,2025,69,7235,Diesel,55,20,25,65,104.86,65,31,71
U640,Jan,2025,93,9764,Diesel,60,19,96,234,104.99,74,25,85
