user_id,month,year,total_liters,bill_amount,bathroom_liters,kitchen_liters,garden_liters,washing_machine_liters,holiday_days
U646,Oct,2024,20540,846.08,6810,4219,5191,4320,4
U375,Jan,2023,24469,1018.85,8012,4614,6589,5254,0
U646,Jul,2024,16732,696.96,6991,3777,3520,2444,0
U251,Feb,2023,13017,546.12,6243,2177,2307,2290,3
U564,May,2024,14226,594.29,6524,1784,2997,2921,4
U255,Jan,2023,19206,802.88,7861,3408,4639,3298,4
U444,Mar,2023,19170,796.16,7369,4396,4056,3349,1
U520,Dec,2024,18207,749.89,7714,3507,2860,4126,1
U331,Feb,2025,24316,1007.3,9453,5476,5425,3962,3
U685,Jan,2023,14419,599.1,5035,2346,3794,3244,0
U507,Jul,2025,18240,760.21,7949,3886,3798,2607,5
U335,May,2024,13893,578.06,6594,2562,2702,2035,1
U221,Jan,2025,17322,717.03,6488,3746,3262,3826,2
U529,Jun,2025,23232,958.68,10879,3326,4755,4272,0
U367,May,2025,22260,916.4,8597,5158,4335,4170,5
U474,Mar,2025,19718,822.12,7498,4003,4673,3544,7
U588,Dec,2025,18878,786.18,5770,4854,3827,4427,2
U289,Jul,2023,13125,547.15,5762,2004,2410,2949,6
U516,Nov,2023,15117,625.43,6976,1865,3539,2737,4
U214,Oct,2023,16161,666.84,6993,2442,3976,2750,0
U442,Sep,2024,16042,669.91,5298,3127,4447,3170,6
U465,Sep,2025,16433,686.47,5269,3423,3628,4113,3
U546,Sep,2023,22362,927.03,9270,3955,5235,3902,4
U253,Feb,2024,20638,858.79,7848,3954,4429,4407,4
U586,Mar,2023,14658,606.45,5655,3316,3239,2448,2
U540,Jul,2023,23554,982.25,11625,2791,5172,3966,6
U292,May,2025,22910,958.46,10190,3348,5616,3756,4
U567,Feb,2024,15483,645.46,5920,3612,3189,2762,1
U644,Mar,2025,14944,620.36,4540,3247,4166,2991,0
U655,Oct,2025,24568,1018.56,7537,5393,6066,5572,1
U628,Jun,2023,19210,799.95,8394,3197,3661,3958,2
U464,Jul,2025,19653,819.13,9188,3242,3803,3420,5
U631,Sep,2024,20787,863.88,9178,2781,4052,4776,7
U235,Jan,2025,13986,582.17,5331,2677,2701,3277,2
U406,Nov,2025,22942,942.84,7025,6357,4405,5155,0
U281,Jul,2025,13074,548.48,6451,2074,1878,2671,4
U620,Aug,2023,24161,1009.71,12014,2537,5310,4300,6
U250,Dec,2024,16305,674.6,6682,3457,3466,2700,6
U560,Mar,2023,24413,1014.67,7668,4676,5770,6299,3
U588,Apr,2023,24779,1017.11,10114,3383,5427,5855,2
U202,Oct,2023,23772,975.63,11374,4618,3875,3905,0
U590,Jun,2023,15007,619.05,6543,2027,3857,2580,3
U254,Oct,2023,12969,540.67,5758,2770,2172,2269,4
U306,Jul,2024,20772,869.35,6584,4091,4175,5922,5
U460,Apr,2025,14824,616.07,4762,3507,3495,3060,2
U510,Aug,2023,24193,1004.79,7874,5049,4582,6688,5
U677,May,2023,13211,546.97,6352,1723,2716,2420,0
U391,Jan,2024,12229,503.37,4954,2431,2771,2073,5
U602,Apr,2024,16284,669.57,7463,3454,2793,2574,5
U418,Mar,2025,15185,634.14,4905,3638,3329,3313,0
U244,Sep,2024,12501,524.14,6069,2063,2072,2297,0
U362,Aug,2025,22324,925.51,10363,4761,3593,3607,2
U402,Jan,2023,12048,501.91,4155,1997,2905,2991,5
U646,Nov,2023,15566,652.44,7391,1736,3833,2606,3
U684,Jun,2025,15055,618.61,5309,2011,4249,3486,7
U470,Sep,2024,20880,872.17,7121,4707,4869,4183,0
U551,Jul,2025,12386,515.47,4370,2934,2046,3036,4
U504,Apr,2024,12969,539.49,6250,2197,2446,2076,5
U471,Jan,2023,23652,976.65,11426,4658,3184,4384,0
U656,Dec,2024,21197,883.57,7753,4565,4787,4092,3
U662,Feb,2025,17820,744.78,7860,2730,4200,3030,6
U415,Dec,2025,15052,618.83,6549,2008,3576,2919,2
U452,May,2023,23609,980.56,10891,4895,4267,3556,5
U390,Dec,2024,19397,797.24,6969,2743,3917,5768,6
U496,Nov,2024,14302,598.86,5749,2639,2751,3163,0
U413,May,2024,14283,592.85,6192,2126,2468,3497,0
U408,Aug,2023,21799,911.37,6654,3851,4891,6403,4
U437,Jun,2024,16366,677.03,6142,3365,3322,3537,4
U538,Aug,2025,12122,498.52,5323,1674,2383,2742,5
U567,Feb,2024,18799,771.54,6589,4679,3578,3953,6
U253,Mar,2023,21472,886.4,10554,3070,3664,4184,7
U480,Jun,2024,15727,648.65,4812,3661,3969,3285,6
U610,Dec,2024,20450,849.91,10053,3592,3528,3277,0
U417,Oct,2025,21139,867.16,7258,4672,4434,4775,7
U452,Mar,2024,16958,704.11,5252,4456,4298,2952,5
U388,Jun,2025,12524,518.39,4489,1978,3050,3007,0
U580,Jun,2025,21079,876.4,9638,2485,3834,5122,4
U693,Feb,2023,20399,850.69,9189,2366,4436,4408,3
U241,Jul,2025,23574,981.48,8056,5828,4744,4946,1
U357,Dec,2025,22986,965.06,7800,5993,5145,4048,7
U215,Feb,2023,12148,499.75,5205,1808,2266,2869,1
U501,Jun,2025,20001,828.64,7832,4121,4252,3796,0
U265,Jan,2023,12437,515.2,5701,1359,2198,3179,6
U545,Mar,2024,22394,927.49,6826,3700,4763,7105,4
U527,Feb,2023,15749,656.16,6647,3075,2513,3514,2
U209,Jul,2025,23353,968.91,10418,2757,5935,4243,2
U544,Apr,2023,24093,1000.28,12014,3547,4551,3981,1
U329,Aug,2025,20186,836.35,8796,3787,3125,4478,3
U692,Jun,2024,16453,690.89,5698,3798,3055,3902,1
U336,Dec,2023,23437,982.66,7538,4622,4712,6565,0
U672,Oct,2024,17336,716.11,7422,3232,3245,3437,3
U263,Apr,2025,16551,680.44,6697,3034,3437,3383,2
U339,May,2025,14823,620.19,7112,1622,3524,2565,6
U699,Sep,2024,17728,744.53,7894,3427,2769,3638,4
U281,Jul,2023,24916,1028.85,10014,3494,5145,6263,7
U592,Oct,2023,23462,970.34,8932,2998,6784,4748,4
U363,Sep,2025,20677,867.23,7875,3715,5072,4015,0
U619,Jul,2024,20391,850.53,7040,4981,4090,4280,1
U489,Dec,2024,24658,1018.27,7482,3953,6124,7099,0
U579,Jan,2023,13982,581.39,5802,1657,3735,2788,7
U461,Dec,2023,18996,796.77,6505,2772,5356,4363,4
U690,Aug,2023,21663,905.77,7401,3889,5824,4549,7
U431,Apr,2024,24535,1024.14,7975,5233,6298,5029,2
U241,Mar,2023,14311,597.3,4835,2260,3001,4215,4
U228,Jul,2023,19225,791.65,5889,4806,3897,4633,3
U335,Dec,2025,23565,985.6,10247,4670,3914,4734,6
U401,Mar,2023,22270,919.22,8468,4681,4025,5096,7
U528,Aug,2023,21713,910.43,8952,3796,4740,4225,6
U468,Jun,2024,12604,521.36,5386,1970,2344,2904,5
U618,May,2024,20175,844.48,9976,2805,2990,4404,4
U233,Apr,2025,24040,992.04,7540,4960,5313,6227,4
U248,Aug,2023,23534,977.0,9027,3125,5881,5501,6
U607,Aug,2025,17785,731.09,6210,3894,3509,4172,5
U262,Dec,2024,21609,900.23,8542,3532,4004,5531,3
U416,Jan,2025,16597,694.35,8034,2097,3714,2752,1
U493,Sep,2024,19759,824.31,8788,2804,4467,3700,7
U299,May,2025,24067,999.34,10406,3224,4344,6093,7
U372,Apr,2025,19532,801.69,7583,4544,3042,4363,4
U560,Jun,2023,23125,969.71,10041,3059,5045,4980,6
U414,Jun,2025,20740,864.97,6356,5416,4710,4258,0
U675,Feb,2023,12838,535.93,5356,2352,2788,2342,4
U235,Aug,2023,15815,660.98,6496,3480,2921,2918,0
U649,Jul,2023,12847,536.33,4744,2388,2361,3354,3
U427,Jan,2023,16709,692.44,5686,4249,3862,2912,4
U301,May,2025,16507,688.9,7618,2153,3477,3259,7
U631,Dec,2024,18575,773.18,5772,3980,3686,5137,6
U662,Jun,2024,16773,702.02,5265,2591,4728,4189,3
U331,Apr,2024,24446,1021.9,9487,4329,4746,5884,3
U457,Feb,2025,16468,675.87,5772,3358,3832,3506,1
U205,Apr,2023,22464,929.54,10088,3974,3689,4713,4
U418,Jan,2024,17192,705.47,7338,2691,2893,4270,0
U455,Jul,2025,15320,629.68,6963,1798,3427,3132,0
U598,Feb,2023,22750,946.43,8302,4783,4166,5499,4
U559,Feb,2024,16698,699.21,7482,2743,2605,3868,5
U483,Sep,2023,16311,670.71,7706,1956,2682,3967,1
U593,May,2024,22188,919.72,8188,5420,4404,4176,1
U407,Feb,2024,15673,656.87,5767,3874,3034,2998,1
U215,Nov,2024,13564,567.17,6510,2619,2392,2043,0
U546,Sep,2023,24210,1005.19,7504,6160,5666,4880,3
U242,Sep,2025,13840,578.12,5121,1915,3413,3391,6
U580,Jan,2023,18058,749.82,5845,4869,4112,3232,5
U661,Nov,2024,19131,787.4,5850,3719,4378,5184,7
U379,Mar,2023,23483,965.73,7575,3700,6016,6192,1
U263,Apr,2025,23079,950.59,8914,5133,3797,5235,0
U552,Jul,2023,12726,526.23,5566,1755,2367,3038,0
U431,Oct,2025,21436,898.82,7671,4201,5122,4442,7
U441,Apr,2025,23652,988.65,11114,2828,4844,4866,3
U252,Feb,2023,18697,774.67,7245,3377,3633,4442,7
U296,Jul,2024,23910,992.1,11803,3772,4679,3656,4
U588,Jun,2025,21257,877.18,10433,3130,4568,3126,4
U422,Mar,2023,24963,1041.07,11349,2911,4598,6105,6
U685,Jun,2025,12282,513.42,5974,1873,2539,1896,7
U607,Nov,2024,13081,539.45,5774,2146,2179,2982,6
U431,Jun,2023,15885,651.95,7610,2087,2583,3605,1
U437,Dec,2023,14881,619.41,5168,3732,3038,2943,6
U343,May,2023,22776,946.63,8406,4074,4517,5779,1
U371,Apr,2024,14970,619.79,6745,3066,2721,2438,5
U229,Oct,2025,21344,888.85,8215,2913,4376,5840,6
U236,Dec,2023,18985,788.84,8874,2667,3239,4205,3
U213,Jan,2025,23689,977.19,11264,2923,5552,3950,1
U360,Oct,2025,12947,535.98,4660,2334,2879,3074,3
U527,Jun,2024,16760,694.34,7788,1994,3294,3684,0
U387,Feb,2023,21909,917.55,7248,4225,6260,4176,1
U443,Mar,2025,12066,506.3,4426,2068,2252,3320,0
U286,Aug,2023,20828,872.55,8406,3039,4867,4516,2
U484,Oct,2023,20505,855.45,7080,4409,4477,4539,3
U266,Jun,2024,23589,980.95,9809,5376,4715,3689,2
U370,Mar,2023,12564,523.78,5223,1772,2661,2908,1
U245,Jul,2023,21793,913.98,7439,4914,4134,5306,0
U262,Apr,2025,21017,866.95,9649,3961,3577,3830,1
U641,Sep,2024,15670,650.86,6680,2693,2786,3511,2
U334,May,2023,21217,884.53,7713,5125,3803,4576,7
U484,Mar,2025,14251,593.97,4937,3662,3123,2529,7
U228,Feb,2024,24949,1029.2,11869,3563,4881,4636,1
U308,Nov,2024,12804,532.48,5981,2253,2607,1963,5
U244,Feb,2025,22643,946.38,7833,4923,5850,4037,4
U540,Mar,2025,16631,689.77,5107,3235,4869,3420,2
U486,Feb,2025,21583,902.02,9947,3064,3528,5044,1
U646,Apr,2025,13235,547.4,5599,2953,1888,2795,0
U531,Feb,2025,18720,785.09,5993,4556,4748,3423,1
U328,Oct,2023,24224,1006.12,10112,3145,5845,5122,7
U548,Sep,2023,23472,976.34,9164,3204,6409,4695,0
U673,Feb,2024,18906,775.74,8600,3962,2748,3596,4
U431,Sep,2023,18016,741.72,6158,2564,4654,4640,1
U390,Jun,2023,24915,1037.28,9732,5127,4785,5271,6
U425,Jan,2023,15549,644.04,5150,2551,3862,3986,7
U585,Apr,2025,24392,1012.47,11988,2568,4505,5331,6
U577,Jan,2024,19938,818.71,9086,2299,4586,3967,4
U483,Jun,2024,16141,675.24,7220,2450,3705,2766,2
U646,Apr,2024,18966,792.48,8307,2297,4988,3374,0
U321,Mar,2024,21546,887.38,8288,4233,4611,4414,6
U316,Mar,2023,17335,721.73,8401,2943,2507,3484,5
U661,Sep,2023,17077,714.13,5372,3215,4576,3914,2
U433,Jun,2025,17611,733.34,8112,3311,3471,2717,0
U459,Sep,2024,22028,909.99,7556,4312,4215,5945,7
U559,May,2023,20089,836.83,7328,3650,5275,3836,7
U398,Feb,2023,14892,613.71,6014,2498,3762,2618,7
U656,Aug,2025,22688,937.43,10357,3529,3734,5068,4
U611,May,2025,22775,939.24,10652,4771,3381,3971,6
U337,Feb,2025,22750,945.42,9480,4462,4542,4266,7
U518,Apr,2023,17577,722.56,6689,2864,3608,4416,3
U365,Sep,2023,15618,654.91,7641,2766,2354,2857,7
U425,Apr,2025,13559,560.44,4736,2347,3834,2642,1
U507,Dec,2024,18683,770.09,8605,2268,3630,4180,4
U434,Dec,2025,13507,560.49,5705,2302,2596,2904,0
U372,Dec,2025,24263,1001.5,9107,5307,4011,5838,0
U352,Apr,2025,14063,584.11,4222,2711,2900,4230,0
U663,Feb,2025,15642,646.77,6089,3571,3138,2844,0
U515,Dec,2023,14000,575.85,4974,2503,3145,3378,1
U574,Jun,2024,13294,548.59,4265,2437,3769,2823,2
U360,Nov,2025,16065,665.71,5060,4398,3877,2730,5
U296,Feb,2024,22944,941.4,8478,4289,5226,4951,3
U672,Dec,2024,20014,836.0,8464,4170,3410,3970,1
U433,Jul,2024,21945,913.39,10259,4218,3633,3835,0
U380,Mar,2025,24402,1015.16,8216,6236,5115,4835,1
U313,Mar,2023,13603,565.15,5236,1815,2860,3692,4
U518,May,2025,13322,554.07,5040,2105,2725,3452,5
U697,Mar,2024,17956,752.98,7230,3792,3146,3788,0
U642,Feb,2024,14441,592.2,6670,2428,3124,2219,3
U252,Oct,2023,13098,537.64,5379,2407,2342,2970,0
U468,Sep,2025,17073,703.26,8012,2113,2892,4056,5
U495,Feb,2024,21697,893.21,8759,3315,5660,3963,3
U586,Nov,2023,21318,877.9,8969,3757,4465,4127,5
U587,Feb,2024,20488,853.77,7938,3205,3760,5585,3
U313,Aug,2023,23241,963.56,10798,3011,4529,4903,2
U301,Sep,2023,22417,941.33,10866,2512,4495,4544,6
U313,Jul,2025,24546,1011.96,10501,3246,6097,4702,2
U640,Mar,2024,15787,652.17,7327,2992,2663,2805,1
U281,Sep,2025,14096,591.81,4395,3334,3262,3105,1
U387,Mar,2024,23801,995.64,11453,2582,5611,4155,7
U313,May,2025,14208,589.2,4799,2264,3624,3521,3
U202,Sep,2024,17988,747.48,6319,3641,4553,3475,7
U330,Dec,2025,12175,509.44,3782,2220,2802,3371,7
U420,Mar,2023,19169,795.15,9451,3543,2503,3672,0
U254,Jul,2024,18014,742.29,8473,3406,3105,3030,6
U543,Dec,2024,22694,949.25,10952,4442,3457,3843,4
U685,Jan,2023,24191,1004.84,11356,4012,4534,4289,4
U424,Apr,2025,13667,562.44,5410,2232,3449,2576,0
U425,Apr,2024,24563,1019.5,11908,4064,3487,5104,0
U585,Jul,2024,22737,941.61,11229,2506,5168,3834,2
U603,Aug,2025,20867,873.84,8357,2525,5769,4216,4
U326,Jan,2023,13823,568.49,4632,1869,3721,3601,3
U330,May,2025,17147,718.03,7402,2743,3279,3723,5
U253,Jul,2025,13356,554.44,6612,1656,2692,2396,7
U372,Dec,2025,15072,624.05,7150,1833,3419,2670,1
U418,Apr,2024,15259,628.09,7207,2601,2378,3073,7
U360,Apr,2023,18199,758.91,8858,3727,2961,2653,7
U398,Apr,2023,12546,526.01,6006,1540,2806,2194,5
U616,Dec,2025,17231,712.94,7844,2903,3417,3067,2
U447,Jun,2024,19965,823.39,8857,2487,4803,3818,4
U524,Jul,2025,14083,585.22,4970,3525,2773,2815,7
U639,Feb,2024,14040,586.82,5956,2088,2797,3199,6
U403,May,2024,16534,677.96,6684,3700,2707,3443,0
U384,Apr,2024,13752,572.51,6496,1862,2991,2403,6
U323,Mar,2024,21807,907.1,8686,4739,4750,3632,6
U601,Jul,2023,13849,572.22,4508,2259,4222,2860,4
U455,Nov,2024,14642,606.93,4407,2646,4208,3381,3
U494,Dec,2024,13600,560.96,5923,1830,3481,2366,2
U480,Jun,2025,23588,985.74,9670,3519,5521,4878,7
U525,Jul,2025,16402,682.89,6006,3815,3757,2824,7
U572,May,2023,23797,988.35,7943,5197,5159,5498,7
U298,Jun,2025,15799,653.96,6214,2695,3606,3284,0
U398,May,2024,12618,521.01,4038,3383,3021,2176,5
U670,Jul,2025,13132,549.22,4822,2434,3056,2820,3
U595,Feb,2023,17491,725.03,6573,4301,3694,2923,5
U440,Nov,2025,17795,738.52,6995,2584,3812,4404,1
U344,May,2025,22307,926.21,8773,5155,4417,3962,2
U297,Jun,2023,22531,933.87,7917,2963,6648,5003,3
U401,Jun,2023,22931,946.04,10778,3756,4452,3945,3
U324,May,2024,24468,1006.13,9080,4379,6112,4897,7
U387,Oct,2025,19633,806.89,6791,3917,3935,4990,5
U526,Jul,2024,13487,563.18,4520,2785,2494,3688,0
U664,Oct,2025,19848,818.2,7234,3504,5420,3690,1
U549,Aug,2025,17009,698.32,5332,4666,3240,3771,7
U459,Jul,2024,21749,909.05,6667,5961,4992,4129,7
U348,May,2025,14113,580.81,5941,3206,2914,2052,7
U452,Jan,2025,13044,542.96,5528,2974,2713,1829,5
U643,May,2025,14431,596.56,5857,3074,2331,3169,3
U620,Oct,2023,19979,821.67,9039,4351,3488,3101,2
U603,Feb,2024,13582,562.49,4180,3558,2344,3500,3
U546,May,2023,13308,545.83,6483,1932,2503,2390,4
U651,May,2024,16917,707.82,5396,4112,4168,3241,2
U347,Feb,2024,20793,863.19,9040,4494,3228,4031,7
U348,May,2025,13620,560.32,4449,3141,2501,3529,2
U552,Apr,2024,19503,804.24,9283,2908,3195,4117,3
U399,Jan,2023,16766,694.92,6742,2136,3558,4330,0
U508,Mar,2023,17362,715.12,5494,4295,4037,3536,7
U689,Jan,2023,17192,709.49,7278,3871,3548,2495,2
U617,Dec,2024,18622,773.45,5620,3542,5296,4164,4
U624,Nov,2023,18093,756.88,8236,2270,3875,3712,5
U328,May,2024,18704,774.38,8044,2828,3202,4630,0
U239,Apr,2023,12100,504.78,4144,2518,2477,2961,0
U538,Jul,2023,18657,781.29,6995,3071,3732,4859,0
U560,May,2024,17875,736.74,5390,4021,4609,3855,2
U329,Oct,2023,16271,680.24,7138,3592,2567,2974,0
U467,Apr,2025,12237,510.99,4460,2598,2215,2964,3
U676,Feb,2024,19226,795.13,7965,3068,4131,4062,0
U641,Apr,2024,20032,841.13,9842,3945,3211,3034,4
U673,Dec,2024,17218,710.46,6196,3451,3454,4117,7
U634,Feb,2025,16025,661.11,7981,1815,3040,3189,7
U351,Aug,2024,23110,965.36,9857,3973,3725,5555,1
U615,Mar,2023,18073,748.85,6296,3894,4060,3823,4
U678,Sep,2023,14542,601.03,5632,3275,3183,2452,2
U498,Apr,2023,22195,913.96,9945,4744,3796,3710,0
U299,Jun,2024,13537,565.38,5269,2178,3368,2722,0
U463,Oct,2023,12754,532.94,4000,2023,3284,3447,3
U452,May,2024,23560,979.31,7862,3371,7087,5240,5
U344,Oct,2023,22450,941.94,10287,4228,3254,4681,0
U546,Jan,2025,19396,801.41,8333,3971,3036,4056,6
U312,Sep,2025,23857,983.38,9875,3941,5713,4328,4
U700,Jan,2025,19823,826.17,6611,3688,5387,4137,2
U260,Aug,2025,17507,731.06,8185,3643,2826,2853,7
U569,Sep,2024,16235,669.29,7990,3160,2265,2820,1
U202,Sep,2023,12540,515.1,3864,2139,3636,2901,0
U585,Jan,2025,17510,732.1,5526,4268,4536,3180,1
U504,Feb,2024,20461,858.88,9758,3473,3550,3680,0
U454,Dec,2025,19926,829.81,9227,2469,3800,4430,2
U340,Jan,2025,17131,707.13,7256,2679,3966,3230,5
U653,Oct,2024,23652,993.31,11565,2846,4178,5063,4
U237,Feb,2024,23600,988.68,10131,3488,4091,5890,7
U360,Oct,2023,20697,859.2,7103,4391,5270,3933,2
U209,Dec,2023,13129,549.12,5851,2001,2627,2650,1
U433,Aug,2025,22271,931.28,9557,3544,5398,3772,0
U299,May,2025,15145,635.1,7529,2345,2945,2326,1
U347,Dec,2023,23434,980.5,8032,3349,7016,5037,4
U504,Nov,2023,20553,855.9,8623,4148,4041,3741,6
U408,Jul,2024,15720,654.1,7168,2397,2683,3472,7
U331,Feb,2023,21648,897.69,7962,4052,4669,4965,2
U604,Aug,2023,16067,668.81,6040,3959,3371,2697,1
U352,Nov,2025,16195,676.87,7734,2274,3663,2524,1
U254,Jun,2023,21873,917.99,8330,4464,4443,4636,4
U320,Aug,2025,21244,880.93,9027,3402,5055,3760,6
U361,Jan,2023,19281,801.58,9213,3814,3324,2930,0
U608,Jan,2024,14509,601.32,4961,3526,2999,3023,6
U316,Dec,2023,17016,709.03,8446,2128,2701,3741,1
U275,Jul,2023,18533,771.53,8161,3509,4006,2857,4
U313,Aug,2023,16727,686.11,6677,2140,3689,4221,0
U656,Mar,2025,12681,526.78,4897,3056,2824,1904,6
U620,May,2024,15932,654.62,7820,2188,2809,3115,7
U622,Dec,2023,22321,915.75,7614,5388,4564,4755,6
U304,Jan,2025,17560,733.85,6362,2952,3609,4637,7
U540,Jul,2024,16016,660.8,5790,3339,3400,3487,6
U454,May,2025,19339,799.49,6919,4927,3968,3525,5
U427,Aug,2025,23494,964.76,9249,5346,4908,3991,0
U312,Aug,2024,12719,523.76,6331,1482,2860,2046,6
U673,Sep,2023,12074,504.28,5768,1951,2148,2207,5
U299,Jul,2025,21485,891.49,7854,3676,4205,5750,2
U353,Nov,2025,22114,926.15,8504,3904,4825,4881,4
U549,Jan,2023,16157,668.86,7010,2442,3032,3673,6
U602,Mar,2023,20511,846.46,6223,3817,5658,4813,7
U584,Aug,2024,14149,585.03,6565,2339,2677,2568,0
U566,Mar,2024,21644,902.83,10301,2704,4623,4016,7
U538,Aug,2024,21747,903.7,10252,3534,4603,3358,5
U394,Jan,2023,18713,784.15,7017,2991,4498,4207,5
U510,May,2025,16207,674.25,6359,2538,3269,4041,2
U363,Apr,2025,23224,963.63,7024,5633,5506,5061,7
U408,May,2024,19141,799.82,7271,2444,4430,4996,3
U645,Aug,2023,20652,866.3,8097,3467,4074,5014,4
U369,Oct,2025,21078,871.7,10146,3077,4206,3649,7
U684,Apr,2024,23725,978.65,11359,3672,3830,4864,3
U361,Nov,2025,15936,663.2,7859,2696,2864,2517,0
U268,Apr,2025,21307,884.22,10163,3052,4441,3651,4
U489,Mar,2023,13075,549.01,3943,2215,3843,3074,7
U598,Jul,2023,15876,658.26,6799,3421,3168,2488,2
U477,Mar,2025,16615,682.45,5211,4518,3117,3769,0
U504,Dec,2024,19265,808.69,6829,2536,4183,5717,4
U604,Mar,2023,18379,769.04,7639,3321,4110,3309,7
U584,Nov,2025,22116,910.7,9733,3322,5283,3778,7
U592,Oct,2023,21118,884.94,9100,3069,4808,4141,4
U335,May,2023,16652,688.4,5158,3070,3947,4477,3
U395,May,2023,18792,777.56,6026,4184,4517,4065,0
U601,Jun,2025,22473,941.76,7319,3608,5660,5886,2
U328,Aug,2024,21247,882.39,6762,5541,4035,4909,2
U233,Oct,2024,19456,800.38,6530,3790,4736,4400,0
U376,Jun,2024,16674,689.79,7298,2485,2757,4134,0
U660,Dec,2023,12541,523.24,5846,2364,2341,1990,5
U643,Jan,2025,14161,583.07,5406,1779,2821,4155,1
U571,Aug,2023,14251,592.7,6249,2291,3195,2516,7
U670,Aug,2024,21244,885.77,7223,3800,5906,4315,3
U575,Sep,2024,16569,685.03,8195,2241,2759,3374,0
U222,Sep,2025,14744,614.73,5455,2484,3128,3677,0
U438,Feb,2023,24061,1007.78,11288,2634,4439,5700,1
U358,Feb,2024,18041,748.2,8823,2124,3769,3325,1
U238,Mar,2025,24673,1021.04,11668,2970,4153,5882,4
U430,Jan,2023,24349,1004.42,7631,6649,5801,4268,6
U565,Apr,2023,24802,1031.87,10666,2889,6681,4566,2
U251,Apr,2024,24717,1035.14,8008,3900,6916,5893,3
U638,Sep,2024,16675,689.09,5021,4601,3108,3945,4
U464,Sep,2023,13560,561.33,4208,3045,2936,3371,0
U483,Sep,2023,23954,991.85,11575,3591,4507,4281,7
U227,Oct,2024,13164,547.11,6341,1472,2937,2414,1
U426,Jul,2023,17419,718.16,6012,3809,4469,3129,5
U477,Feb,2024,14722,615.71,6027,1978,3577,3140,2
U486,Oct,2023,22550,931.22,11072,3836,3883,3759,4
U297,May,2024,12470,520.07,4979,2965,2094,2432,5
U484,Apr,2025,21608,897.02,8183,4113,4385,4927,2
U567,Dec,2024,13468,560.08,5342,1973,2526,3627,6
U648,Nov,2024,19925,820.5,9126,3510,4228,3061,6
U681,Aug,2025,12808,534.54,5064,2343,2878,2523,5
U653,Feb,2023,20363,838.72,9298,3392,3865,3808,1
U517,Jun,2025,18719,769.6,7231,3396,3770,4322,4
U504,May,2024,24318,1010.33,8521,5288,5265,5244,4
