user_id,num_people,num_children,bedrooms,has_ac,has_geyser,has_iron,has_washing_machine,has_dishwasher,has_induction,has_microwave,has_kettle,has_vacuum,has_room_heater,home_area_sqft,has_pool,has_garden,vacation_month,vacation_days,climate,city,electricity_provider,electricity_consumption_kwh
10043,4,2,3,1,0,1,1,0,0,0,0,0,0,1570,0,0,May,21,Hot,Kolkata,CESC,149.73
10044,1,0,2,0,0,1,0,0,0,1,0,0,0,1070,0,0,Oct,6,Hot,Chennai,TANGEDCO,206.96
10045,4,2,4,0,1,1,1,0,1,0,1,1,0,1764,0,0,Jul,0,Moderate,Mumbai,MSEDCL,513.92
10046,6,1,4,1,1,1,0,0,1,1,1,0,0,1682,1,0,May,16,Moderate,Bangalore,BESCOM,431.53
10047,6,4,5,1,1,1,1,0,0,1,1,0,0,2294,0,1,Jan,0,Moderate,Mumbai,MSEDCL,716.42
10048,5,3,3,1,1,0,1,0,1,0,0,0,0,1333,0,0,Jun,19,Hot,Delhi,BSES Yamuna,293.51
10049,5,3,2,0,0,1,0,0,0,1,0,0,0,1010,0,0,May,14,Hot,Delhi,BSES Yamuna,185.95
10050,5,0,3,1,0,1,1,0,1,1,1,0,0,1512,0,0,Jan,0,Hot,Kolkata,CESC,733.97
10051,1,0,1,0,0,1,0,0,1,0,0,0,0,491,0,0,Feb,0,Hot,Chennai,TANGEDCO,227.73
10052,4,0,3,0,1,1,1,0,1,1,1,0,0,1536,0,0,Jul,0,Moderate,Bangalore,BESCOM,510.05
10053,2,1,3,1,0,1,0,0,1,1,0,0,0,1326,0,0,May,18,Hot,Chennai,TANGEDCO,215.33
10054,2,1,1,1,1,1,0,0,0,0,0,0,0,590,0,0,May,15,Hot,Chennai,TANGEDCO,298.03
10055,2,1,2,0,0,0,1,0,1,0,0,1,0,958,0,0,Oct,17,Hot,Delhi,BSES Yamuna,133.04
10056,6,5,4,1,1,1,1,0,0,1,1,0,0,1930,0,1,Oct,23,Hot,Chennai,TANGEDCO,218.94
10057,5,0,4,1,0,1,1,0,0,1,0,1,0,1934,0,0,May,20,Hot,Kolkata,CESC,232.02
10058,2,0,1,0,0,0,0,0,1,0,0,0,1,409,0,0,May,23,Hot,Kolkata,CESC,96.0
10059,3,1,1,1,0,0,0,0,0,0,0,0,0,506,0,0,Jun,8,Hot,Kolkata,CESC,296.2
10060,3,2,2,0,0,0,0,1,0,1,0,1,0,886,0,0,Sep,7,Moderate,Mumbai,MSEDCL,203.32
10061,5,3,4,1,1,1,0,0,1,1,1,0,0,1666,0,0,Jan,3,Moderate,Mumbai,MSEDCL,583.47
10062,4,0,1,0,0,0,0,0,0,0,1,0,0,461,0,0,Jun,15,Moderate,Mumbai,MSEDCL,69.14
10063,2,1,3,1,0,0,1,0,0,1,0,0,0,1586,0,0,Aug,0,Hot,Chennai,TANGEDCO,570.66
10064,4,2,1,0,0,0,0,0,0,0,0,1,0,545,0,0,Oct,17,Moderate,Mumbai,MSEDCL,60.0
10065,2,0,3,1,1,1,0,0,0,1,1,1,0,1352,0,0,Apr,0,Moderate,Mumbai,MSEDCL,550.2
10066,5,2,2,0,1,0,0,0,1,0,1,0,0,906,0,0,Apr,0,Cold,Delhi,BSES Yamuna,378.63
10067,6,5,3,0,0,1,0,1,0,1,1,0,0,1347,1,0,Apr,6,Hot,Kolkata,CESC,648.09
10068,1,0,2,1,0,0,1,1,0,1,0,0,0,985,0,0,Nov,0,Hot,Chennai,TANGEDCO,567.74
10069,5,0,3,1,1,1,0,1,1,0,1,0,0,1548,0,1,Mar,3,Hot,Kolkata,CESC,818.57
10070,2,0,2,0,0,1,0,1,0,0,1,0,0,1141,0,0,Sep,0,Hot,Chennai,TANGEDCO,337.86
10071,5,2,3,0,0,0,0,0,0,0,0,0,0,1377,0,0,Dec,12,Moderate,Bangalore,BESCOM,115.47
10072,4,0,4,1,0,1,1,0,1,0,1,0,0,1976,0,1,Nov,0,Hot,Kolkata,CESC,726.11
10073,4,3,1,0,0,0,0,0,1,0,1,0,0,734,0,0,May,12,Hot,Kolkata,CESC,166.5
10074,5,0,4,1,0,1,1,1,0,1,1,0,0,1865,0,0,Oct,5,Hot,Chennai,TANGEDCO,624.17
10075,4,0,3,1,0,1,1,0,0,0,0,0,0,1348,0,0,Jul,0,Moderate,Bangalore,BESCOM,456.29
10076,1,0,1,0,0,1,0,0,0,0,0,0,0,646,0,0,Oct,20,Moderate,Bangalore,BESCOM,60.0
10077,5,2,2,0,0,1,1,1,0,1,1,0,0,1053,0,0,Apr,0,Moderate,Bangalore,BESCOM,366.82
10078,1,0,2,1,0,0,0,0,0,0,1,0,0,828,0,1,Sep,0,Hot,Kolkata,CESC,458.42
10079,3,0,3,1,0,0,1,0,0,1,0,0,0,1551,0,0,Jun,12,Moderate,Mumbai,MSEDCL,236.73
10080,4,3,3,1,1,1,1,0,1,1,1,0,0,1465,0,0,Jun,12,Hot,Kolkata,CESC,545.34
10081,4,1,1,0,0,1,0,0,0,0,0,0,0,412,0,0,Aug,3,Hot,Chennai,TANGEDCO,178.23
10082,2,1,3,0,1,1,1,0,1,0,0,0,0,1246,0,0,May,21,Moderate,Bangalore,BESCOM,132.28
10083,6,1,4,1,1,1,1,0,0,1,1,1,0,1750,0,0,Feb,0,Moderate,Mumbai,MSEDCL,687.59
10084,6,2,5,1,1,1,0,0,1,0,0,0,0,2049,0,0,Jun,7,Hot,Kolkata,CESC,588.78
10085,4,2,3,0,0,0,1,0,1,1,0,0,0,1414,0,0,May,14,Moderate,Mumbai,MSEDCL,151.98
10086,6,4,5,1,1,1,1,0,0,1,1,0,0,2131,0,0,May,20,Moderate,Mumbai,MSEDCL,226.96
10087,4,0,3,0,1,1,1,0,1,1,1,0,0,1571,0,0,Dec,23,Moderate,Bangalore,BESCOM,117.29
10088,4,3,2,0,1,1,1,1,0,0,1,0,0,912,0,0,Apr,4,Moderate,Bangalore,BESCOM,374.07
10089,3,2,4,1,1,0,1,0,1,1,0,0,0,1851,0,0,Apr,0,Hot,Chennai,TANGEDCO,813.72
10090,3,2,2,1,0,0,1,1,0,0,0,1,0,1140,0,0,May,11,Hot,Delhi,BSES Yamuna,345.13
10091,5,0,2,0,0,0,0,0,0,0,0,0,0,852,0,0,May,24,Hot,Kolkata,CESC,60.0
10092,1,0,2,0,0,1,0,0,0,0,0,0,0,929,0,0,Oct,12,Moderate,Bangalore,BESCOM,64.12
10093,7,2,4,1,1,1,1,1,1,1,1,0,0,1923,0,1,Apr,0,Moderate,Bangalore,BESCOM,846.81
10094,6,2,4,1,0,1,1,0,1,1,1,0,0,1792,0,0,Jun,12,Hot,Delhi,BSES Yamuna,443.8
10095,3,0,2,1,1,1,0,0,0,0,0,0,0,878,0,0,May,17,Moderate,Bangalore,BESCOM,228.04
10096,1,0,2,0,0,0,0,0,0,1,0,1,0,856,0,0,Sep,0,Hot,Delhi,BSES Yamuna,210.57
10097,3,0,2,1,0,1,0,0,1,0,0,0,0,896,0,0,Jun,8,Hot,Delhi,BSES Yamuna,370.59
10098,4,2,3,0,0,1,1,0,0,1,1,0,0,1397,0,0,Sep,0,Hot,Delhi,BSES Yamuna,437.03
10099,1,0,2,0,0,0,0,0,0,1,0,0,0,934,0,0,Oct,16,Hot,Kolkata,CESC,99.49
10100,4,2,3,1,0,0,0,0,0,1,1,1,0,1346,0,0,Nov,0,Hot,Kolkata,CESC,590.93
10101,3,2,2,1,0,0,0,0,1,1,0,0,0,971,0,0,Dec,10,Hot,Kolkata,CESC,358.52
10102,2,0,2,1,0,0,0,0,0,1,0,0,0,862,0,0,Jun,15,Moderate,Bangalore,BESCOM,175.95
10103,2,1,1,0,1,0,0,0,0,1,0,0,0,464,0,0,Jun,15,Moderate,Mumbai,MSEDCL,142.12
10104,1,0,2,1,0,1,0,0,0,0,1,0,0,1094,0,0,Mar,4,Hot,Delhi,BSES Yamuna,396.51
10105,4,2,5,1,0,1,1,0,1,0,1,0,0,2210,0,1,Mar,0,Hot,Chennai,TANGEDCO,780.3
10106,3,2,2,0,1,0,0,0,0,0,0,0,0,908,0,0,May,18,Moderate,Mumbai,MSEDCL,86.52
10107,5,2,2,0,0,1,1,0,1,1,0,0,0,1081,0,0,Jul,0,Hot,Delhi,BSES Yamuna,444.93
10108,1,0,2,0,0,1,0,0,0,0,0,0,0,971,0,0,Apr,0,Moderate,Bangalore,BESCOM,162.88
10109,3,1,2,0,0,0,1,0,0,0,0,0,0,811,0,0,May,20,Moderate,Mumbai,MSEDCL,60.0
10110,1,0,1,0,0,0,1,0,0,0,0,0,0,732,0,0,Aug,5,Hot,Kolkata,CESC,151.59
10111,2,1,2,0,0,1,1,0,0,0,0,1,0,1019,0,0,Apr,0,Moderate,Mumbai,MSEDCL,195.89
10112,2,1,3,0,0,1,1,0,0,0,0,0,0,1597,0,0,Jun,9,Hot,Kolkata,CESC,207.77
10113,4,0,3,1,1,0,1,0,1,1,0,0,0,1541,0,0,Jun,6,Hot,Chennai,TANGEDCO,645.96
10114,2,0,2,0,0,1,1,0,0,0,1,0,0,1085,0,0,Nov,2,Hot,Chennai,TANGEDCO,268.0
10115,4,2,2,1,1,1,1,0,0,0,0,0,0,971,0,0,May,13,Moderate,Bangalore,BESCOM,301.78
10116,5,0,5,1,0,1,1,0,0,1,1,1,0,2235,0,0,Apr,0,Hot,Chennai,TANGEDCO,734.38
10117,3,0,2,1,0,0,0,0,0,1,0,1,0,965,0,0,Apr,4,Hot,Chennai,TANGEDCO,438.08
10118,5,4,2,1,1,0,1,0,0,0,0,0,0,986,0,0,May,19,Hot,Kolkata,CESC,253.45
10119,4,2,2,1,0,0,1,0,0,0,1,0,0,969,0,0,May,16,Hot,Chennai,TANGEDCO,256.05
10120,4,3,2,0,0,1,1,0,0,1,1,0,1,851,0,0,Sep,0,Cold,Delhi,BSES Yamuna,485.26
10121,5,1,3,1,1,0,1,0,0,0,1,0,0,1518,0,0,Jun,21,Hot,Chennai,TANGEDCO,209.39
10122,1,0,2,1,0,0,0,0,0,0,1,0,0,988,0,0,Jul,0,Hot,Chennai,TANGEDCO,396.83
10123,4,3,3,0,1,1,1,0,0,1,1,0,0,1319,0,0,Jun,16,Moderate,Mumbai,MSEDCL,206.66
10124,4,3,1,1,0,0,0,0,0,0,0,0,0,504,0,0,May,14,Hot,Kolkata,CESC,195.71
10125,4,3,2,0,1,1,1,0,0,1,0,0,0,961,0,0,Nov,0,Moderate,Mumbai,MSEDCL,413.11
10126,3,0,3,1,1,1,1,0,1,0,0,0,0,1494,0,0,Oct,11,Hot,Delhi,BSES Yamuna,491.52
10127,5,4,2,0,0,1,0,0,0,1,0,1,0,840,0,0,Apr,7,Hot,Chennai,TANGEDCO,233.54
10128,4,2,3,1,0,1,1,0,1,1,0,1,0,1576,0,0,May,13,Hot,Chennai,TANGEDCO,400.08
10129,2,0,2,0,0,0,1,0,0,0,1,0,0,1163,0,0,May,10,Hot,Kolkata,CESC,187.39
10130,2,1,3,1,0,1,0,1,1,0,1,1,1,1364,0,0,Aug,7,Hot,Delhi,BSES Yamuna,676.46
10131,4,2,1,0,1,0,0,0,0,0,1,0,1,720,0,0,May,19,Cold,Delhi,BSES Yamuna,181.44
10132,4,0,4,0,0,1,0,0,1,1,1,0,0,1973,0,0,Jun,14,Moderate,Mumbai,MSEDCL,171.12
10133,3,1,2,0,0,0,1,1,0,0,1,1,0,1134,0,0,May,5,Hot,Kolkata,CESC,344.77
10134,4,0,4,0,1,1,1,0,0,1,1,0,0,1759,0,0,Apr,0,Moderate,Mumbai,MSEDCL,455.87
10135,1,0,2,0,0,1,0,0,1,0,0,0,0,1063,0,0,Jan,5,Hot,Chennai,TANGEDCO,234.35
10136,6,4,3,0,1,1,1,0,0,1,0,0,0,1552,0,0,Dec,14,Moderate,Mumbai,MSEDCL,248.26
10137,4,1,2,0,0,0,1,0,0,0,0,0,0,817,0,0,Apr,5,Cold,Delhi,BSES Yamuna,185.29
10138,5,0,4,1,1,1,1,1,0,0,0,0,0,1772,0,0,Oct,6,Moderate,Bangalore,BESCOM,518.44
10139,3,1,1,1,0,0,0,0,0,0,0,0,0,751,0,0,Oct,8,Moderate,Mumbai,MSEDCL,235.56
10140,4,2,2,0,1,0,0,0,0,1,1,0,0,832,0,0,Apr,6,Hot,Chennai,TANGEDCO,369.4
10141,4,1,2,1,1,1,1,0,1,0,1,1,0,1060,0,0,May,12,Hot,Chennai,TANGEDCO,485.2
10142,2,1,1,1,0,0,1,0,0,1,1,0,0,609,0,0,Oct,18,Moderate,Mumbai,MSEDCL,175.04
10143,4,1,2,0,1,1,1,0,1,0,0,0,1,1182,0,0,Jul,0,Cold,Delhi,BSES Yamuna,619.59
10144,5,2,5,1,1,1,1,0,1,1,1,0,0,2329,0,0,May,9,Moderate,Mumbai,MSEDCL,517.18
10145,5,2,5,1,1,1,1,1,0,1,0,1,0,2381,0,0,Nov,0,Moderate,Mumbai,MSEDCL,757.61
10146,5,4,2,1,0,0,1,0,0,0,0,0,0,963,0,0,May,9,Hot,Kolkata,CESC,353.95
10147,4,0,5,0,1,1,0,0,0,1,0,0,0,2004,0,0,Apr,2,Moderate,Bangalore,BESCOM,392.9
10148,4,3,3,1,0,1,0,0,0,0,0,0,0,1233,0,0,Mar,2,Hot,Delhi,BSES Yamuna,472.5
10149,2,1,2,1,0,0,1,0,1,0,0,0,0,1079,0,0,Aug,0,Hot,Kolkata,CESC,540.7
10150,5,0,3,0,0,0,0,0,0,0,0,0,0,1344,0,0,Jan,6,Moderate,Mumbai,MSEDCL,172.33
10151,2,0,3,1,1,1,1,0,0,1,1,0,0,1550,0,0,Oct,10,Hot,Chennai,TANGEDCO,525.07
10152,8,1,6,0,1,1,1,1,0,1,1,1,0,2470,0,0,May,10,Moderate,Mumbai,MSEDCL,433.35
10153,3,2,2,1,0,0,0,0,0,0,0,0,0,1147,0,0,May,14,Hot,Kolkata,CESC,252.84
10154,4,0,3,1,0,0,1,0,0,0,0,0,1,1429,0,0,Oct,7,Hot,Delhi,BSES Yamuna,561.24
10155,3,1,1,0,0,0,0,0,0,1,0,0,0,524,0,0,Oct,9,Hot,Chennai,TANGEDCO,91.06
10156,3,2,1,0,0,0,0,1,1,1,0,0,0,677,0,0,May,22,Moderate,Mumbai,MSEDCL,66.17
10157,3,0,1,0,0,0,0,0,0,0,0,1,0,670,0,0,Jun,19,Moderate,Bangalore,BESCOM,68.55
10158,5,2,6,1,1,1,0,0,0,1,1,1,0,2756,1,0,Jul,5,Moderate,Bangalore,BESCOM,766.65
10159,5,1,4,0,0,1,0,0,0,1,0,0,0,1614,0,0,Jul,0,Moderate,Mumbai,MSEDCL,260.08
10160,2,0,3,1,1,0,1,0,1,0,1,0,0,1441,0,0,Jun,7,Moderate,Bangalore,BESCOM,425.96
10161,3,2,3,0,1,1,1,0,1,0,1,0,0,1352,0,0,Oct,11,Moderate,Mumbai,MSEDCL,283.83
10162,1,0,2,0,0,0,1,0,1,0,0,0,0,852,0,0,Oct,22,Moderate,Bangalore,BESCOM,60.0
10163,4,1,2,1,0,0,1,1,0,0,0,0,0,948,0,0,Oct,20,Moderate,Bangalore,BESCOM,152.75
10164,5,4,2,1,1,0,1,0,0,0,1,0,0,1157,0,0,May,24,Hot,Delhi,BSES Yamuna,139.42
10165,5,4,2,1,0,1,0,0,0,1,1,0,0,1018,0,0,May,6,Hot,Kolkata,CESC,483.67
10166,5,2,3,1,0,1,0,0,1,1,0,0,0,1312,0,0,Mar,0,Hot,Chennai,TANGEDCO,647.85
10167,2,0,3,0,0,1,0,0,0,1,0,0,0,1487,0,0,Oct,18,Moderate,Mumbai,MSEDCL,93.34
10168,1,0,1,0,0,1,1,0,0,0,0,1,0,676,0,0,Feb,8,Hot,Kolkata,CESC,176.24
10169,4,2,1,1,1,0,0,0,0,0,0,0,0,482,0,0,Mar,8,Hot,Kolkata,CESC,412.84
10170,3,2,1,0,0,0,1,0,1,0,1,1,1,617,0,0,Nov,0,Cold,Delhi,BSES Yamuna,443.11
10171,3,0,2,1,0,1,1,0,1,0,1,0,0,1025,0,0,Mar,3,Moderate,Bangalore,BESCOM,420.55
10172,6,1,5,1,0,1,0,1,0,1,0,0,0,2269,0,0,Mar,0,Hot,Kolkata,CESC,749.68
10173,3,1,3,1,1,1,1,0,0,0,1,0,1,1214,0,0,Nov,6,Hot,Delhi,BSES Yamuna,717.81
10174,3,1,4,1,0,1,1,0,1,1,1,0,0,1889,0,0,May,21,Moderate,Mumbai,MSEDCL,145.67
10175,1,0,2,0,0,1,1,0,0,0,1,0,0,1138,0,1,Oct,14,Moderate,Bangalore,BESCOM,130.16
10176,4,2,2,0,0,0,0,0,0,1,0,0,0,1064,0,0,May,22,Hot,Kolkata,CESC,69.44
10177,4,2,1,0,0,0,1,0,0,1,0,0,0,598,0,0,May,21,Moderate,Bangalore,BESCOM,60.0
10178,5,3,4,0,1,1,1,0,1,1,0,1,0,1757,0,1,Mar,0,Moderate,Mumbai,MSEDCL,542.58
10179,2,1,3,1,0,0,0,0,0,0,1,0,0,1532,0,0,Nov,8,Hot,Chennai,TANGEDCO,335.72
10180,1,0,2,1,0,1,0,0,0,0,1,1,1,1196,0,0,Sep,0,Hot,Kolkata,CESC,706.25
10181,6,3,3,1,1,1,1,0,0,0,1,0,0,1406,0,0,Apr,0,Moderate,Mumbai,MSEDCL,629.84
10182,2,1,2,0,0,1,0,0,0,0,0,0,0,973,0,0,Aug,0,Hot,Kolkata,CESC,181.75
10183,3,0,3,0,0,0,0,0,1,0,1,0,0,1383,0,0,Mar,0,Hot,Chennai,TANGEDCO,320.41
10184,6,1,5,1,1,1,1,0,0,1,0,1,0,2264,0,0,Jun,15,Hot,Chennai,TANGEDCO,404.29
10185,2,0,3,1,1,0,1,0,0,0,0,0,0,1445,0,0,May,22,Moderate,Mumbai,MSEDCL,150.16
10186,6,2,3,0,1,1,1,0,0,0,0,0,0,1235,0,0,Oct,22,Moderate,Bangalore,BESCOM,108.28
10187,3,1,1,0,0,1,0,0,0,0,0,0,0,772,0,0,Jun,18,Hot,Chennai,TANGEDCO,80.84
10188,1,0,1,0,0,0,0,0,0,0,0,0,0,658,0,0,Nov,0,Hot,Delhi,BSES Yamuna,106.2
10189,4,3,2,1,1,1,0,0,0,1,1,0,0,818,0,0,Jun,11,Hot,Delhi,BSES Yamuna,458.93
10190,3,1,1,0,0,1,0,0,0,0,0,0,0,422,0,0,Jun,9,Moderate,Mumbai,MSEDCL,78.62
10191,4,2,3,0,0,1,0,0,1,1,0,1,0,1303,0,1,Jul,0,Hot,Kolkata,CESC,470.17
10192,3,0,3,1,0,0,0,0,1,1,1,1,0,1440,0,0,Sep,9,Hot,Chennai,TANGEDCO,442.96
10193,1,0,1,1,0,0,0,0,0,1,0,0,0,790,0,0,Jan,0,Hot,Chennai,TANGEDCO,428.55
10194,5,1,4,1,1,1,1,0,1,1,0,0,0,1960,0,1,Jun,24,Moderate,Bangalore,BESCOM,136.76
10195,2,1,2,1,1,1,1,1,0,0,0,1,0,1003,0,0,Sep,0,Moderate,Mumbai,MSEDCL,598.15
10196,1,0,2,1,0,0,1,0,0,0,0,0,0,1052,0,0,May,14,Moderate,Mumbai,MSEDCL,154.06
10197,5,0,2,0,1,0,0,0,1,0,0,0,0,941,0,0,Jan,3,Moderate,Bangalore,BESCOM,305.92
10198,3,1,2,1,0,0,1,0,0,1,0,0,0,1101,0,0,Jan,3,Hot,Chennai,TANGEDCO,462.32
10199,1,0,2,0,0,0,0,0,0,0,1,0,0,942,0,0,Sep,4,Hot,Chennai,TANGEDCO,162.04
10200,2,1,2,0,0,1,0,0,1,0,0,0,1,1070,0,0,Apr,0,Moderate,Bangalore,BESCOM,349.86
10201,2,1,2,1,0,1,0,0,0,0,1,1,0,1106,0,0,Apr,0,Moderate,Bangalore,BESCOM,392.04
10202,5,2,6,1,0,1,1,0,1,1,1,1,1,2509,0,1,May,6,Hot,Kolkata,CESC,845.46
10203,3,0,1,0,0,0,0,0,0,1,0,0,0,407,0,0,Mar,4,Hot,Kolkata,CESC,182.55
10204,3,1,1,0,0,0,0,0,0,0,0,0,0,468,0,0,Feb,0,Hot,Chennai,TANGEDCO,158.87
10205,2,1,1,0,0,0,0,0,0,0,0,0,0,589,0,0,Oct,19,Moderate,Bangalore,BESCOM,60.0
10206,2,1,3,1,0,0,0,0,0,1,0,0,0,1378,0,0,May,24,Hot,Kolkata,CESC,97.99
10207,2,0,1,0,0,0,0,0,0,0,0,0,0,462,0,0,Jun,8,Hot,Kolkata,CESC,83.18
10208,4,1,4,0,0,1,1,0,1,1,1,0,1,1667,0,0,Oct,6,Moderate,Bangalore,BESCOM,461.41
10209,3,2,3,1,0,1,1,0,1,0,0,1,0,1405,0,0,Dec,10,Hot,Kolkata,CESC,431.21
10210,6,3,3,1,1,1,1,0,1,0,1,1,0,1599,0,0,Jul,0,Hot,Kolkata,CESC,896.07
10211,6,3,3,1,1,1,0,0,1,1,1,0,0,1205,0,0,Dec,24,Hot,Delhi,BSES Yamuna,131.94
10212,3,1,2,0,0,1,0,0,0,0,0,0,0,918,0,0,May,13,Moderate,Bangalore,BESCOM,105.4
10213,2,0,2,0,1,0,1,0,1,0,0,1,0,1112,0,0,Sep,6,Moderate,Bangalore,BESCOM,268.94
10214,1,0,2,1,1,0,1,0,1,0,1,0,0,830,0,0,Nov,7,Moderate,Mumbai,MSEDCL,397.54
10215,5,4,3,0,0,1,0,1,1,1,0,0,0,1205,0,0,Feb,8,Moderate,Bangalore,BESCOM,260.94
10216,1,0,2,1,0,0,0,1,0,0,0,0,0,1006,0,0,May,24,Moderate,Mumbai,MSEDCL,98.84
10217,1,0,1,0,0,0,1,0,0,1,0,0,0,556,0,0,Aug,0,Moderate,Mumbai,MSEDCL,182.04
10218,4,0,5,1,0,1,1,1,0,1,1,1,0,2066,0,0,May,7,Moderate,Bangalore,BESCOM,453.41
10219,4,1,1,0,0,0,0,0,0,1,1,0,0,786,0,0,Jan,6,Moderate,Bangalore,BESCOM,153.16
10220,4,1,4,1,0,1,1,0,0,1,0,0,0,1929,0,1,Oct,9,Hot,Chennai,TANGEDCO,489.03
10221,4,3,3,0,0,0,1,0,1,1,0,0,0,1569,0,0,Apr,3,Moderate,Bangalore,BESCOM,305.17
10222,4,3,2,1,1,1,1,0,0,0,1,1,0,1152,0,0,May,19,Hot,Delhi,BSES Yamuna,278.71
