user_id,month,year,total_kwh,bill_amount,billing_days,ac_kwh,geyser_kwh,washing_machine_kwh,microwave_kwh,kitchen_kwh,lighting_kwh,occupancy_hours,holiday_days
U336,Feb,2025,764,6980.04,28,269,64,24,24,57,326,19,4
U445,Aug,2024,386,3522.17,31,117,44,27,11,22,165,21,3
U149,Mar,2025,749,7012.42,30,153,192,35,36,64,269,19,3
U575,Apr,2023,652,6020.59,30,291,79,39,15,45,183,24,3
U159,Dec,2023,670,6087.59,29,195,63,30,26,43,313,10,5
U270,Jul,2025,937,8766.23,30,369,111,43,38,38,338,8,3
U576,Oct,2025,764,7179.57,28,214,70,54,34,85,307,11,6
U288,Sep,2025,423,3821.67,28,134,43,33,14,19,180,23,6
U564,Feb,2024,353,3298.75,28,104,28,22,18,27,154,19,4
U371,Mar,2023,759,6949.56,28,216,113,37,34,62,297,20,4
U290,Apr,2025,550,5065.3,29,113,131,41,16,55,194,24,7
U546,Oct,2024,346,3240.61,30,100,60,15,14,35,122,15,6
U275,Jan,2023,775,7276.75,31,327,112,19,30,59,228,20,6
U546,Jul,2024,548,4989.47,30,204,51,27,19,33,214,12,5
U151,Feb,2023,381,3461.44,28,90,54,30,17,39,151,22,6
U464,May,2024,836,7550.92,31,290,169,20,35,44,278,19,6
U155,Jan,2023,378,3486.94,29,159,26,20,14,21,138,24,1
U344,Mar,2023,238,2143.3,28,89,46,11,5,15,72,22,1
U420,Dec,2024,971,8898.98,28,230,163,82,30,94,372,9,6
U231,Feb,2025,202,1823.93,31,84,36,6,6,7,63,13,6
U585,Jan,2023,263,2409.63,29,72,34,12,9,14,122,24,6
U407,Jul,2025,228,2055.64,31,71,28,12,11,23,83,23,4
U235,May,2024,571,5329.76,29,189,109,23,17,53,180,24,0
U121,Jan,2025,722,6558.57,28,297,125,37,19,46,198,16,1
U429,Jun,2025,296,2702.87,30,128,26,16,10,19,97,12,8
U267,May,2025,641,5992.08,28,277,124,30,16,43,151,8,7
U374,Mar,2025,402,3738.0,30,81,38,37,17,47,182,13,7
U488,Dec,2025,610,5543.45,30,262,40,43,14,46,205,21,0
U189,Jul,2023,220,1986.33,29,46,43,12,9,16,94,24,5
U416,Nov,2023,750,6964.7,31,199,154,58,31,39,269,8,8
U114,Oct,2023,934,8551.97,29,307,213,29,32,57,296,8,7
U342,Sep,2024,301,2801.24,28,96,41,19,10,19,116,20,2
U365,Sep,2025,245,2248.64,31,86,16,14,7,18,104,21,3
U446,Sep,2023,265,2421.68,30,84,45,17,10,19,90,13,2
U153,Feb,2024,802,7362.75,30,347,78,36,33,38,270,13,5
U486,Mar,2023,363,3375.69,28,94,56,27,12,38,136,8,8
U440,Jul,2023,310,2901.88,31,83,50,25,13,16,123,21,7
U192,May,2025,537,4843.69,28,231,35,33,16,38,184,10,3
U467,Feb,2024,322,2965.51,28,70,55,25,12,33,127,17,1
U544,Mar,2025,904,8147.87,29,318,121,26,40,68,331,11,7
U555,Oct,2025,646,5935.04,28,239,113,20,14,40,220,17,7
U528,Jun,2023,810,7576.83,31,264,142,59,26,54,265,9,5
U364,Jul,2025,490,4480.87,28,183,44,31,14,49,169,11,7
U531,Sep,2024,870,8154.49,31,211,99,59,33,116,352,13,8
U135,Jan,2025,611,5653.12,30,252,58,26,22,49,204,14,0
U306,Nov,2025,814,7630.16,28,191,90,29,25,104,375,23,8
U181,Jul,2025,480,4465.38,31,144,88,21,18,21,188,14,1
U520,Aug,2023,242,2188.01,30,52,66,12,7,24,81,16,0
U150,Dec,2024,685,6228.34,31,230,119,23,26,69,218,17,7
U460,Mar,2023,795,7280.35,30,292,126,25,20,61,271,20,7
U488,Apr,2023,902,8179.37,29,392,103,41,31,71,264,23,3
U102,Oct,2023,250,2299.49,28,96,27,13,9,18,87,24,7
U490,Jun,2023,409,3758.12,28,137,89,13,16,22,132,20,6
U154,Oct,2023,325,3049.31,30,140,63,13,10,22,77,19,1
U206,Jul,2024,691,6338.88,29,220,105,51,20,55,240,17,4
U360,Apr,2025,708,6594.49,31,240,80,37,18,62,271,8,3
U410,Aug,2023,780,7313.88,29,272,148,48,25,57,230,15,2
U577,May,2023,976,9126.38,31,295,90,84,40,106,361,9,0
U291,Jan,2024,457,4151.14,31,187,78,11,9,36,136,23,4
U502,Apr,2024,387,3559.79,28,95,88,12,10,23,159,19,7
U318,Mar,2025,429,3920.67,30,145,37,24,17,35,171,16,8
U144,Sep,2024,388,3554.06,28,147,82,17,13,31,98,10,6
U262,Aug,2025,614,5614.61,28,261,122,21,20,34,156,11,0
U302,Jan,2023,209,1950.08,28,87,40,6,4,17,55,9,0
U546,Nov,2023,313,2873.61,31,102,47,18,10,30,106,15,0
U584,Jun,2025,275,2532.61,28,99,28,7,7,26,108,17,1
U370,Sep,2024,875,8218.86,31,261,150,68,29,55,312,23,0
U451,Jul,2025,701,6325.82,30,222,98,27,31,47,276,18,3
U404,Apr,2024,284,2611.43,31,121,24,19,10,21,89,21,8
U371,Jan,2023,248,2308.79,31,107,29,6,7,16,83,15,3
U556,Dec,2024,694,6287.96,29,294,106,21,14,56,203,22,3
U562,Feb,2025,888,8209.22,28,208,80,44,38,110,408,24,6
U315,Dec,2025,586,5330.13,28,241,63,42,23,31,186,13,8
U352,May,2023,588,5496.01,28,257,34,14,17,54,212,21,6
U290,Dec,2024,417,3807.56,28,121,85,24,12,30,145,10,0
U396,Nov,2024,900,8218.46,29,296,157,61,33,52,301,14,0
U313,May,2024,545,5035.41,29,215,38,34,22,38,198,22,3
U308,Aug,2023,429,3892.5,29,146,96,16,16,36,119,23,3
U337,Jun,2024,454,4137.74,29,203,26,32,13,27,153,23,0
U438,Aug,2025,435,3987.49,28,136,73,31,14,25,156,15,5
U467,Feb,2024,225,2056.83,31,85,41,9,6,12,72,14,1
U153,Mar,2023,783,7211.39,30,311,140,35,28,35,234,13,4
U380,Jun,2024,460,4250.33,29,148,33,40,21,39,179,9,7
U510,Dec,2024,965,8903.73,31,399,184,56,29,36,261,20,2
U317,Oct,2025,470,4352.98,29,158,102,19,10,40,141,19,8
U352,Mar,2024,322,2937.64,28,97,54,23,13,18,117,22,6
U288,Jun,2025,855,7738.24,28,194,145,41,34,83,358,16,8
U480,Jun,2025,456,4242.77,31,136,35,24,13,29,219,9,0
U593,Feb,2023,855,7985.97,31,327,126,26,19,88,269,24,4
U141,Jul,2025,620,5643.74,31,266,71,20,22,40,201,12,2
U257,Dec,2025,458,4196.58,28,120,99,27,14,44,154,18,3
U115,Feb,2023,246,2263.06,28,71,35,14,11,24,91,14,3
U401,Jun,2025,724,6670.45,30,172,149,29,32,70,272,9,6
U165,Jan,2023,407,3770.36,31,151,32,20,10,43,151,23,7
U445,Mar,2024,510,4598.49,30,224,38,21,19,23,185,19,4
U427,Feb,2023,946,8787.01,29,340,81,78,26,84,337,22,6
U109,Jul,2025,348,3140.63,30,123,25,27,12,22,139,8,2
U444,Apr,2023,637,5852.32,29,215,99,28,23,59,213,20,2
U229,Aug,2025,354,3303.2,29,78,82,27,15,37,115,13,2
U592,Jun,2024,877,8051.29,30,335,136,34,27,81,264,20,3
U236,Dec,2023,289,2618.23,31,101,45,16,11,13,103,10,5
U572,Oct,2024,897,8426.43,29,327,153,61,31,50,275,8,4
U163,Apr,2025,557,5211.13,31,236,59,23,16,34,189,22,7
U239,May,2025,373,3472.08,28,147,43,21,12,17,133,20,4
U599,Sep,2024,416,3812.48,29,164,44,16,16,20,156,12,4
U181,Jul,2023,655,5943.17,28,282,103,20,12,37,201,20,1
U492,Oct,2023,975,9142.15,30,436,75,49,39,93,283,12,4
U263,Sep,2025,808,7444.06,31,279,54,70,35,68,302,17,6
U519,Jul,2024,828,7734.3,30,188,159,45,27,79,330,15,1
U389,Dec,2024,398,3636.46,29,125,91,26,15,24,117,22,5
U479,Jan,2023,685,6256.87,28,271,104,43,15,50,202,11,6
U361,Dec,2023,732,6876.57,29,151,171,30,36,83,261,9,4
U590,Aug,2023,399,3674.28,30,85,84,20,13,37,160,13,8
U331,Apr,2024,570,5162.08,31,123,100,39,27,30,251,10,3
U141,Mar,2023,647,5879.85,31,247,111,29,18,42,200,14,0
U128,Jul,2023,447,4109.17,29,145,92,12,17,45,136,17,7
U235,Dec,2025,987,8899.77,29,288,109,88,29,74,399,13,7
U301,Mar,2023,463,4252.66,28,104,66,36,16,45,196,23,6
U428,Aug,2023,257,2356.07,30,98,24,12,6,13,104,9,7
U368,Jun,2024,501,4665.18,29,140,76,31,23,27,204,24,1
U518,May,2024,230,2102.65,28,61,54,6,7,23,79,20,2
U133,Apr,2025,697,6546.93,29,253,82,36,27,43,256,8,8
U148,Aug,2023,448,4064.39,31,152,57,34,18,27,160,13,0
U507,Aug,2025,804,7426.06,28,233,179,54,32,48,258,12,7
U162,Dec,2024,976,8819.02,28,351,143,40,24,102,316,20,7
U316,Jan,2025,470,4367.97,29,125,80,27,22,24,192,19,6
U393,Sep,2024,805,7565.31,30,320,152,39,17,61,216,14,4
U199,May,2025,865,8068.42,31,222,143,42,39,63,356,22,3
U272,Apr,2025,593,5468.81,30,142,121,18,26,65,221,10,5
U460,Jun,2023,996,9157.12,28,394,73,53,24,112,340,23,0
U314,Jun,2025,701,6543.14,30,264,63,41,20,47,266,8,4
U575,Feb,2023,791,7415.14,28,194,120,24,33,50,370,23,3
U135,Aug,2023,283,2658.98,30,64,48,10,11,18,132,19,3
U549,Jul,2023,564,5165.46,29,231,113,15,19,39,147,15,6
U327,Jan,2023,748,7028.48,30,294,155,25,18,31,225,19,8
U201,May,2025,541,4902.74,28,152,121,27,23,30,188,22,7
U531,Dec,2024,606,5515.46,31,220,69,25,21,35,236,9,7
U562,Jun,2024,624,5638.22,31,144,163,24,28,40,225,24,4
U231,Apr,2024,943,8589.5,31,308,172,63,34,40,326,14,5
U357,Feb,2025,292,2717.7,28,59,46,12,16,36,123,20,1
U105,Apr,2023,813,7594.37,30,242,157,41,20,80,273,8,2
U318,Jan,2024,611,5689.36,31,133,49,62,29,54,284,13,4
U355,Jul,2025,631,5838.28,31,201,58,41,18,60,253,20,1
U498,Feb,2023,877,8073.3,31,267,187,51,24,68,280,18,2
U459,Feb,2024,358,3323.49,29,111,64,17,13,32,121,17,3
U383,Sep,2023,213,1950.3,28,45,32,7,11,21,97,23,5
U493,May,2024,572,5340.49,28,166,91,36,14,46,219,24,4
U307,Feb,2024,424,3930.85,28,164,84,19,12,28,117,24,3
U115,Nov,2024,704,6532.5,28,205,128,22,27,66,256,11,1
U446,Sep,2023,272,2506.31,28,103,33,13,6,17,100,12,4
U142,Sep,2025,448,4190.63,29,130,41,39,17,33,188,21,4
U480,Jan,2023,710,6461.57,30,217,85,28,32,48,300,17,6
U561,Nov,2024,802,7340.27,29,273,182,33,16,54,244,21,0
U279,Mar,2023,415,3864.09,31,181,48,17,14,23,132,8,3
U163,Apr,2025,801,7366.88,29,181,135,63,33,70,319,18,4
U452,Jul,2023,740,6923.21,28,154,131,60,36,57,302,23,7
U331,Oct,2025,419,3829.06,29,147,87,23,9,34,119,15,7
U341,Apr,2025,926,8470.8,28,404,131,33,32,36,290,17,0
U152,Feb,2023,420,3929.31,29,187,63,9,8,28,125,17,4
U196,Jul,2024,588,5401.22,28,188,78,27,20,51,224,12,0
U488,Jun,2025,753,6932.46,31,238,55,54,24,60,322,17,0
U322,Mar,2023,846,7726.61,28,305,180,43,29,47,242,13,1
U585,Jun,2025,241,2195.67,29,81,53,15,7,18,67,10,1
U507,Nov,2024,875,8104.58,31,313,189,35,17,45,276,15,8
U331,Jun,2023,482,4361.11,29,201,94,21,8,36,122,16,3
U337,Dec,2023,257,2403.39,31,99,48,11,6,21,72,12,2
U243,May,2023,736,6853.4,30,238,135,23,19,63,258,9,0
U271,Apr,2024,272,2468.75,30,85,58,12,9,23,85,9,1
U129,Oct,2025,328,3043.06,30,118,52,16,11,25,106,14,5
U136,Dec,2023,798,7374.36,29,250,73,68,39,65,303,24,8
U113,Jan,2025,625,5671.13,29,196,84,29,30,70,216,17,4
U260,Oct,2025,864,7870.42,31,176,235,67,32,50,304,19,3
U427,Jun,2024,893,8183.09,31,217,126,57,24,57,412,9,4
U287,Feb,2023,324,3006.62,31,104,69,11,9,18,113,17,8
U343,Mar,2025,266,2461.96,31,107,19,9,9,23,99,8,6
U186,Aug,2023,205,1888.64,28,55,27,7,8,13,95,11,7
U384,Oct,2023,836,7780.96,30,276,105,43,33,89,290,20,3
U166,Jun,2024,513,4772.53,28,146,41,17,30,45,234,19,7
U270,Mar,2023,525,4854.75,28,118,52,33,30,66,226,18,5
U145,Jul,2023,764,7116.5,28,335,63,54,17,40,255,17,4
U162,Apr,2025,777,7096.89,28,321,141,36,17,38,224,22,6
U541,Sep,2024,705,6593.51,30,154,63,61,39,42,346,12,5
U234,May,2023,281,2598.12,28,106,30,8,12,17,108,24,2
U384,Mar,2025,798,7444.5,31,228,58,49,29,75,359,12,4
U128,Feb,2024,201,1852.92,29,90,30,6,6,16,53,9,8
U208,Nov,2024,403,3662.21,31,111,74,30,15,27,146,16,6
U144,Feb,2025,861,7935.81,29,223,166,32,32,79,329,13,3
U440,Mar,2025,603,5516.51,31,206,76,30,17,44,230,21,6
U386,Feb,2025,302,2802.26,31,123,27,16,12,13,111,21,4
U546,Apr,2025,735,6754.88,29,182,154,40,30,57,272,15,1
U431,Feb,2025,567,5292.63,30,213,107,32,12,22,181,24,5
U228,Oct,2023,411,3810.48,28,88,43,20,22,55,183,10,6
U448,Sep,2023,776,7196.48,31,333,98,30,27,61,227,17,7
U573,Feb,2024,408,3707.44,30,89,51,34,22,33,179,24,5
U331,Sep,2023,962,9036.74,28,412,78,48,25,78,321,18,7
U290,Jun,2023,316,2950.39,30,101,60,13,14,14,114,15,6
U325,Jan,2023,827,7704.0,30,258,133,23,23,80,310,8,1
U485,Apr,2025,948,8657.22,28,420,81,56,31,80,280,20,5
U477,Jan,2024,677,6238.05,31,303,66,45,21,54,188,11,8
U383,Jun,2024,304,2752.67,30,110,66,14,8,15,91,14,5
U546,Apr,2024,694,6395.48,31,160,166,49,23,41,255,21,3
U221,Mar,2024,970,8786.61,31,316,209,45,37,64,299,12,6
U216,Mar,2023,245,2259.2,31,81,35,9,9,27,84,18,2
U561,Sep,2023,530,4907.53,28,174,91,13,18,55,179,24,4
U333,Jun,2025,415,3799.77,29,142,53,25,11,28,156,12,0
U359,Sep,2024,691,6356.8,31,141,65,48,22,90,325,10,2
U459,May,2023,648,6058.97,29,244,80,41,15,63,205,12,7
U298,Feb,2023,735,6646.92,29,277,113,41,29,38,237,22,8
U556,Aug,2025,710,6614.85,30,162,94,67,34,79,274,23,8
U511,May,2025,657,5957.87,31,225,134,30,26,33,209,15,1
U237,Feb,2025,746,6724.95,31,255,67,39,19,55,311,20,3
U418,Apr,2023,735,6669.56,31,272,88,29,29,41,276,23,4
U265,Sep,2023,739,6877.15,29,163,75,48,23,75,355,10,2
U325,Apr,2025,683,6257.68,28,243,88,48,27,62,215,8,0
U407,Dec,2024,215,2010.04,29,58,17,7,9,22,102,16,5
U334,Dec,2025,770,7091.61,31,251,87,63,20,41,308,16,1
U272,Dec,2025,442,3981.93,31,173,53,32,14,23,147,24,8
U252,Apr,2025,406,3770.39,31,152,55,21,11,30,137,9,0
U563,Feb,2025,470,4250.72,29,107,85,23,21,43,191,16,8
U415,Dec,2023,960,8943.12,31,333,105,37,40,83,362,20,6
U474,Jun,2024,978,8867.76,30,432,125,32,33,39,317,12,1
U260,Nov,2025,904,8260.91,31,216,156,29,50,96,357,16,5
U196,Feb,2024,929,8643.89,28,383,97,43,28,89,289,20,7
U572,Dec,2024,314,2945.85,30,117,60,7,9,21,100,8,1
U333,Jul,2024,779,7126.74,31,306,111,44,28,60,230,22,4
U280,Mar,2025,498,4647.22,30,134,66,25,21,59,193,11,5
U213,Mar,2023,682,6190.05,31,185,167,23,15,57,235,11,2
U418,May,2025,596,5556.43,28,254,106,24,19,38,155,17,1
U597,Mar,2024,593,5492.96,31,171,145,40,12,46,179,13,5
U542,Feb,2024,274,2487.12,30,59,58,18,8,18,113,19,2
U152,Oct,2023,681,6211.4,28,238,86,35,17,57,248,23,1
U368,Sep,2025,302,2733.92,29,69,39,24,9,36,125,10,0
U395,Feb,2024,496,4539.98,28,197,79,27,9,26,158,21,7
U486,Nov,2023,377,3423.71,28,135,83,22,7,30,100,8,0
U487,Feb,2024,414,3832.65,28,173,61,12,12,30,126,17,4
U213,Aug,2023,514,4830.47,30,203,99,28,11,28,145,22,5
U201,Sep,2023,238,2143.14,28,54,33,12,7,25,107,14,2
U213,Jul,2025,458,4221.1,31,135,65,37,18,32,171,11,6
U540,Mar,2024,915,8444.96,28,360,181,29,21,73,251,21,1
U181,Sep,2025,206,1929.33,28,62,41,14,4,14,71,23,6
U287,Mar,2024,248,2282.2,31,109,48,13,5,17,56,21,1
U213,May,2025,737,6793.28,31,282,133,20,19,49,234,10,4
U102,Sep,2024,360,3307.92,29,73,60,33,12,36,146,24,6
U230,Dec,2025,375,3415.34,28,157,50,9,11,36,112,21,2
U320,Mar,2023,790,7127.71,30,177,199,29,32,43,310,10,3
U154,Jul,2024,201,1841.86,28,47,36,11,8,20,79,10,0
U443,Dec,2024,654,5899.76,28,250,66,50,27,31,230,19,2
U585,Jan,2023,843,7772.63,31,350,102,38,26,73,254,12,8
U324,Apr,2025,475,4333.39,29,158,72,25,16,38,166,17,4
U325,Apr,2024,697,6421.77,28,189,63,53,23,88,281,16,7
U485,Jul,2024,828,7496.48,30,238,168,61,31,75,255,8,1
U503,Aug,2025,875,8201.42,28,250,79,70,27,49,400,20,2
U226,Jan,2023,999,9348.45,30,281,144,41,39,59,435,10,6
U230,May,2025,227,2060.25,31,59,50,9,7,19,83,18,3
U153,Jul,2025,532,4861.08,29,187,74,16,21,41,193,23,8
U272,Dec,2025,200,1849.08,28,85,35,9,6,8,57,13,6
U318,Apr,2024,387,3497.81,29,107,51,15,20,23,171,10,0
U260,Apr,2023,255,2331.17,28,62,65,9,6,20,93,13,3
U298,Apr,2023,746,6788.93,30,305,67,51,20,32,271,15,5
U516,Dec,2025,311,2912.89,29,119,21,14,14,33,110,20,5
U347,Jun,2024,997,9312.98,28,431,180,41,26,70,249,19,5
U424,Jul,2025,509,4699.05,31,122,111,24,18,50,184,17,4
U539,Feb,2024,235,2163.91,30,55,28,8,12,13,119,10,2
U303,May,2024,638,5979.52,29,213,147,23,20,25,210,11,1
U284,Apr,2024,928,8698.12,28,328,135,42,41,69,313,8,2
U223,Mar,2024,791,7425.7,29,253,181,49,24,70,214,20,8
U501,Jul,2023,794,7185.82,28,277,116,33,26,51,291,11,2
U355,Nov,2024,776,7033.84,30,190,127,40,32,58,329,18,2
U394,Dec,2024,524,4857.84,31,167,75,36,22,26,198,18,0
U380,Jun,2025,839,7732.71,30,305,98,54,30,70,282,19,1
U425,Jul,2025,506,4557.74,29,155,81,35,19,42,174,18,2
U472,May,2023,733,6615.17,29,271,98,52,30,32,250,13,1
U198,Jun,2025,927,8672.3,28,289,69,73,40,77,379,19,7
U298,May,2024,818,7646.29,30,231,96,44,30,83,334,16,5
U570,Jul,2025,308,2816.02,28,84,34,25,13,26,126,17,6
U495,Feb,2023,571,5342.52,30,172,126,27,20,45,181,10,0
U340,Nov,2025,556,5136.03,29,114,110,25,15,64,228,10,5
U244,May,2025,380,3542.5,28,139,70,13,11,29,118,23,1
U197,Jun,2023,555,5089.89,28,228,110,15,17,35,150,10,5
U301,Jun,2023,875,7914.69,30,252,162,29,32,91,309,17,2
U224,May,2024,267,2449.32,31,56,72,9,11,27,92,18,6
U287,Oct,2025,491,4508.81,30,219,48,12,15,31,166,15,2
U426,Jul,2024,891,8215.36,31,236,96,77,47,54,381,13,8
U564,Oct,2025,380,3436.05,30,88,58,33,12,42,147,18,2
U449,Aug,2025,665,6248.71,29,194,102,40,17,41,271,19,6
U359,Jul,2024,633,5758.82,28,243,126,35,16,50,163,23,3
U248,May,2025,663,6019.66,30,181,115,25,26,32,284,20,7
U352,Jan,2025,880,8105.43,29,302,100,67,27,91,293,10,1
U543,May,2025,733,6754.51,30,222,145,36,20,58,252,22,7
U520,Oct,2023,265,2431.62,28,60,46,9,12,29,109,21,8
U503,Feb,2024,220,2047.93,30,62,22,8,8,19,101,21,7
U446,May,2023,811,7466.6,31,309,122,30,28,80,242,12,5
U551,May,2024,583,5389.18,28,205,123,13,21,29,192,21,0
U247,Feb,2024,814,7561.65,31,187,194,35,35,50,313,15,6
U248,May,2025,758,6829.59,29,182,142,24,28,41,341,22,0
U452,Apr,2024,238,2196.33,29,85,29,9,9,25,81,22,6
U299,Jan,2023,484,4527.18,30,195,35,19,17,36,182,13,1
U408,Mar,2023,801,7214.57,31,230,124,66,35,69,277,15,7
U589,Jan,2023,796,7293.01,31,277,149,27,32,63,248,13,1
U517,Dec,2024,984,9220.56,28,238,141,44,37,121,403,22,2
U524,Nov,2023,535,4890.58,31,148,61,38,15,54,219,10,2
U228,May,2024,387,3554.01,31,79,102,28,10,30,138,17,0
U139,Apr,2023,870,8171.58,28,341,161,32,22,64,250,22,4
U438,Jul,2023,442,4013.24,28,132,80,31,15,39,145,23,4
U460,May,2024,272,2455.1,31,109,21,11,10,15,106,24,4
U229,Oct,2023,678,6335.08,30,255,57,25,22,37,282,18,8
U367,Apr,2025,760,7104.01,28,309,56,32,30,37,296,23,5
U576,Feb,2024,300,2756.65,28,81,55,18,14,20,112,12,5
U541,Apr,2024,713,6563.65,31,175,69,40,35,68,326,12,2
U573,Dec,2024,955,8914.28,31,423,165,43,18,58,248,21,4
U534,Feb,2025,375,3485.78,28,142,81,11,11,31,99,15,6
U251,Aug,2024,437,3979.35,31,178,49,25,14,25,146,12,2
U515,Mar,2023,258,2323.74,28,52,43,13,14,29,107,14,1
U578,Sep,2023,298,2739.18,30,86,58,14,9,23,108,23,4
U398,Apr,2023,694,6484.43,30,267,142,30,18,31,206,21,2
U199,Jun,2024,713,6672.49,28,156,180,44,26,59,248,12,4
U363,Oct,2023,954,8950.9,28,326,71,41,39,116,361,16,8
U352,May,2024,496,4638.51,29,152,48,39,22,27,208,11,0
U244,Oct,2023,410,3785.13,29,83,94,28,10,34,161,11,3
U446,Jan,2025,322,2955.27,31,83,65,12,12,16,134,23,4
U212,Sep,2025,428,3984.65,31,116,41,39,13,32,187,24,1
U600,Jan,2025,793,7371.67,28,180,138,55,27,75,318,22,1
U160,Aug,2025,855,7879.05,28,305,162,36,29,73,250,11,0
U469,Sep,2024,587,5303.5,29,152,67,24,19,68,257,13,7
U102,Sep,2023,339,3176.58,29,91,78,17,10,24,119,23,1
U485,Jan,2025,740,6794.86,28,314,48,25,30,76,247,11,2
U404,Feb,2024,590,5395.75,30,186,119,26,21,34,204,13,1
U354,Dec,2025,469,4339.11,30,139,83,22,12,45,168,12,3
U240,Jan,2025,958,8880.21,31,364,106,59,33,67,329,23,0
U553,Oct,2024,211,1916.78,28,90,33,6,4,18,60,23,2
U137,Feb,2024,588,5488.85,28,121,138,43,17,59,210,17,4
U260,Oct,2023,536,4886.16,31,167,123,20,16,49,161,16,0
U109,Dec,2023,705,6397.64,29,248,87,34,18,42,276,11,3
U333,Aug,2025,305,2794.58,29,85,59,20,14,25,102,21,5
U199,May,2025,231,2146.5,30,90,35,11,5,18,72,11,3
U247,Dec,2023,273,2562.43,28,120,35,9,9,21,79,19,6
U404,Nov,2023,370,3449.77,29,161,67,12,11,20,99,17,6
U308,Jul,2024,268,2512.81,30,71,19,14,16,15,133,11,5
U231,Feb,2023,561,5080.55,30,143,71,37,22,40,248,20,8
U504,Aug,2023,848,7656.14,30,372,111,30,31,45,259,20,1
U252,Nov,2025,632,5828.99,29,198,62,45,32,67,228,21,7
U154,Jun,2023,299,2725.72,29,75,73,16,7,28,100,8,7
U220,Aug,2025,857,7996.86,28,322,140,25,27,39,304,23,3
U261,Jan,2023,208,1927.91,28,56,33,9,5,25,80,22,5
U508,Jan,2024,773,7257.15,30,206,172,28,29,43,295,12,5
U216,Dec,2023,896,8155.32,30,376,110,36,29,55,290,13,4
U175,Jul,2023,228,2096.3,29,54,41,13,7,14,99,13,0
U213,Aug,2023,313,2879.76,29,67,24,22,17,41,142,10,2
U556,Mar,2025,661,6012.24,28,176,92,49,17,69,258,23,6
U520,May,2024,342,3158.72,28,120,29,13,16,25,139,19,7
U522,Dec,2023,589,5405.44,31,135,123,47,14,54,216,11,1
U204,Jan,2025,831,7627.49,28,264,124,37,33,47,326,8,2
U440,Jul,2024,881,8056.83,29,314,99,37,23,64,344,11,3
U354,May,2025,356,3206.41,30,146,45,19,9,21,116,8,4
U327,Aug,2025,534,4917.52,31,137,60,43,25,36,233,15,2
U212,Aug,2024,459,4192.55,28,185,90,16,10,36,122,12,4
U573,Sep,2023,281,2529.15,28,72,23,23,12,30,121,9,7
U199,Jul,2025,953,8694.39,29,351,190,57,33,45,277,19,7
U253,Nov,2025,640,5831.33,31,196,101,43,15,38,247,24,1
U449,Jan,2023,371,3397.39,28,84,73,11,18,18,167,14,5
U502,Mar,2023,430,3892.68,30,162,47,29,10,27,155,18,3
