user_id,vehicle_count,vehicle_type,daily_distance_km,work_days,vacation_days,previous_month_liters,previous_bill,trip_frequency
U691,1,Petrol,90,25,0,181,17337.03,Weekends
U692,1,Diesel,25,19,4,46,4576.21,Daily
U693,2,Petrol,64,16,9,120,11517.12,Weekends
U694,1,Petrol,112,24,5,210,21478.6,Weekdays
U695,1,Electric,100,21,4,0,0.0,Daily
U696,1,Petrol,54,22,3,102,10270.97,Daily
U697,2,Diesel,27,23,13,51,4964.94,Weekdays
U698,1,Petrol,17,25,12,31,3206.39,Daily
U699,1,Petrol,73,25,0,154,15943.78,Daily
U700,1,Diesel,8,21,6,18,1841.9,Weekdays
U701,1,Petrol,96,24,8,215,21747.53,Weekdays
U702,1,Electric,82,24,5,0,0.0,Daily
U703,1,Diesel,76,22,2,152,14688.2,Daily
U704,1,Petrol,13,26,14,28,2920.85,Weekends
U705,2,Petrol,119,23,9,222,23192.79,Weekdays
U706,3,Petrol,39,20,13,86,8919.91,Weekdays
U707,1,Petrol,105,26,3,220,21451.46,Rarely
U708,1,Petrol,25,26,9,56,5800.58,Daily
U709,2,Petrol,62,24,4,138,13796.74,Daily
U710,1,Petrol,22,16,14,47,4744.62,Weekends
U711,1,Diesel,101,16,11,215,22232.29,Weekdays
U712,1,Diesel,76,18,11,144,13722.6,Daily
U713,1,Diesel,119,23,0,221,21797.1,Daily
U714,3,Petrol,117,21,4,234,24138.72,Weekdays
U715,2,Petrol,85,16,0,160,16502.33,Daily
U716,2,Diesel,47,22,8,87,9003.36,Weekends
U717,1,Petrol,99,25,6,193,18661.59,Daily
U718,1,Petrol,102,21,2,227,23167.36,Daily
U719,1,Diesel,10,23,8,18,1736.37,Daily
U720,1,Diesel,90,22,1,175,17998.92,Weekdays
U721,1,Petrol,82,17,11,164,15982.01,Weekends
U722,2,Petrol,71,15,6,145,14844.84,Weekdays
U723,2,Diesel,16,16,8,30,2986.5,Weekends
U724,1,Diesel,104,16,5,237,24852.44,Daily
U725,3,Diesel,16,18,9,33,3326.36,Daily
U726,2,Diesel,113,20,4,232,23507.58,Weekends
U727,1,Diesel,70,18,11,126,12433.89,Weekends
U728,1,Petrol,6,23,6,12,1228.14,Weekends
U729,1,Petrol,19,18,13,42,4197.85,Weekdays
U730,1,Diesel,27,20,14,51,4854.21,Daily
U731,1,Diesel,33,20,14,65,6570.58,Daily
U732,2,Diesel,85,24,5,153,15805.6,Weekends
U733,1,Petrol,100,25,4,228,22199.91,Daily
U734,1,Petrol,11,24,13,20,1944.21,Daily
U735,1,Diesel,98,15,1,220,22239.55,Weekdays
U736,1,Diesel,32,22,7,62,6397.15,Daily
U737,2,Hybrid,18,26,14,37,3607.36,Weekends
U738,2,Diesel,48,17,12,102,10640.91,Daily
U739,1,Diesel,34,20,6,63,6569.25,Weekdays
U740,1,Diesel,85,17,5,171,16587.92,Weekdays
U741,1,Diesel,36,25,4,70,6834.65,Weekdays
U742,1,Diesel,114,16,4,208,21217.25,Daily
U743,1,Diesel,74,19,8,164,17140.84,Daily
U744,1,Petrol,119,15,0,216,22053.35,Daily
U745,1,Petrol,92,23,8,195,19392.56,Daily
U746,1,Diesel,10,25,5,19,1837.11,Weekdays
U747,1,Petrol,31,21,3,58,5777.39,Daily
U748,1,Petrol,86,17,9,183,18495.39,Daily
U749,1,Petrol,92,18,13,192,18875.43,Daily
U750,1,Petrol,105,20,6,205,20521.03,Weekdays
U751,1,Petrol,28,17,8,57,5489.22,Daily
U752,2,Petrol,106,26,4,203,20202.94,Weekends
U753,2,Hybrid,38,21,13,84,8056.25,Weekdays
U754,1,Petrol,44,20,4,86,8212.22,Weekdays
U755,1,Petrol,51,23,7,98,10150.1,Weekends
U756,1,Petrol,83,26,6,180,17469.15,Daily
U757,1,Diesel,79,19,12,142,14306.72,Weekends
U758,1,Petrol,90,18,12,174,16789.23,Weekdays
U759,3,Diesel,28,17,7,55,5369.39,Weekends
U760,1,Diesel,69,24,10,154,15186.46,Weekends
U761,1,Diesel,22,15,11,50,4821.84,Daily
U762,1,Petrol,48,17,9,103,9832.34,Daily
U763,1,Diesel,80,17,1,163,16914.77,Weekdays
U764,1,Petrol,61,21,8,129,12270.26,Weekdays
U765,3,Hybrid,111,21,2,222,21226.13,Daily
U766,1,Diesel,32,26,5,62,6389.14,Daily
U767,3,Petrol,108,15,5,245,23965.92,Daily
U768,3,Petrol,75,17,1,139,14209.72,Weekdays
U769,1,Petrol,27,22,11,53,5112.5,Rarely
U770,1,Diesel,89,23,12,200,19474.56,Weekdays
U771,1,Petrol,38,21,6,82,8259.68,Daily
U772,1,Diesel,15,21,8,27,2831.93,Daily
U773,1,Petrol,90,26,11,163,15604.71,Daily
U774,2,Diesel,110,25,9,226,22375.25,Daily
U775,1,Diesel,39,22,10,79,7539.03,Weekends
U776,1,Diesel,97,20,0,196,19010.48,Daily
U777,2,Diesel,46,25,7,89,9262.65,Weekdays
U778,1,Petrol,32,17,1,73,7005.42,Weekends
U779,2,Petrol,86,15,13,166,17192.38,Weekends
U780,1,Diesel,82,21,0,167,16161.93,Daily
U781,1,Petrol,86,15,7,172,17822.27,Daily
U782,2,Petrol,96,15,1,180,18068.44,Daily
U783,1,Petrol,28,23,5,53,5500.45,Weekdays
U784,2,Petrol,12,24,14,27,2605.96,Rarely
U785,2,Petrol,110,21,5,245,25141.99,Daily
U786,2,Diesel,113,25,4,214,21786.69,Daily
U787,1,Petrol,57,18,7,127,12754.53,Weekends
U788,1,Diesel,76,20,2,144,14847.25,Weekdays
U789,2,Petrol,8,15,12,16,1623.72,Rarely
U790,2,Diesel,95,21,9,174,18056.06,Daily
U791,4,Petrol,104,26,14,232,22924.06,Daily
U792,1,Diesel,9,20,3,16,1614.39,Daily
U793,1,Diesel,101,18,6,209,21674.56,Daily
U794,2,Petrol,53,21,14,116,11269.18,Weekdays
U795,1,Hybrid,102,17,6,189,18873.05,Daily
U796,3,Electric,34,15,12,0,0.0,Daily
U797,2,Diesel,76,18,11,138,13763.57,Weekends
U798,1,Diesel,107,17,13,229,22333.98,Daily
U799,2,Petrol,67,15,7,130,12806.4,Weekdays
U800,2,Diesel,51,16,1,106,11008.19,Daily
U801,1,Petrol,30,25,10,67,7004.77,Weekends
U802,3,Petrol,61,19,11,119,12435.63,Daily
U803,1,Electric,41,22,1,0,0.0,Weekdays
U804,2,Petrol,102,15,3,218,21820.93,Daily
U805,1,Diesel,11,18,12,24,2323.85,Daily
U806,2,Diesel,44,18,9,100,9623.22,Weekdays
U807,1,Diesel,96,19,12,180,17207.58,Daily
U808,1,Electric,43,21,8,0,0.0,Daily
U809,3,Petrol,66,26,9,146,15152.05,Weekends
U810,1,Petrol,107,22,11,235,24226.35,Weekends
U811,1,Petrol,96,20,8,202,20337.0,Daily
U812,3,Petrol,82,15,12,158,16587.98,Daily
U813,3,Petrol,57,21,12,110,11498.36,Daily
U814,1,Petrol,118,17,3,219,22239.69,Daily
U815,1,Diesel,106,20,8,239,23815.33,Rarely
U816,1,Diesel,8,22,14,15,1447.83,Weekdays
U817,1,Petrol,110,21,13,229,22935.71,Daily
U818,1,Diesel,86,24,2,179,17287.36,Rarely
U819,2,Petrol,112,20,11,222,21974.56,Weekdays
U820,2,Petrol,116,23,4,229,23913.66,Weekdays
U821,2,Diesel,29,23,9,61,6003.61,Daily
U822,2,Diesel,11,15,8,21,2027.09,Daily
U823,1,Diesel,106,15,5,204,20568.09,Weekdays
U824,1,Petrol,32,15,2,63,6364.49,Daily
U825,1,Diesel,73,22,9,160,15510.09,Daily
U826,1,Diesel,71,26,8,162,15708.47,Daily
U827,1,Diesel,112,26,5,237,24860.23,Daily
U828,2,Diesel,99,24,3,216,21045.49,Weekdays
U829,1,Diesel,115,21,13,237,24501.52,Weekdays
U830,1,Diesel,110,17,3,232,23131.15,Daily
U831,1,Diesel,24,16,7,55,5464.24,Daily
U832,2,Electric,87,18,6,0,0.0,Weekdays
U833,1,Diesel,116,17,0,212,21780.51,Daily
U834,1,Petrol,15,21,5,34,3529.42,Weekdays
U835,1,Diesel,108,24,7,237,23133.87,Weekdays
U836,2,Petrol,71,22,2,141,13529.09,Daily
U837,1,Petrol,91,20,13,208,20044.79,Weekdays
U838,2,Diesel,11,17,8,21,2161.49,Weekdays
U839,2,Hybrid,27,20,9,53,5265.99,Daily
U840,1,Hybrid,65,16,1,136,13099.4,Daily
U841,1,Petrol,75,26,13,145,14268.42,Rarely
U842,4,Petrol,114,21,5,245,24534.88,Daily
U843,1,Petrol,38,25,11,71,7349.96,Weekends
U844,1,Electric,110,24,0,0,0.0,Weekdays
U845,2,Electric,23,21,11,0,0.0,Daily
U846,3,Diesel,62,18,10,128,12363.14,Daily
U847,4,Diesel,13,22,14,24,2378.96,Daily
U848,2,Diesel,52,18,1,118,11298.73,Daily
U849,1,Diesel,119,21,12,248,25433.83,Weekdays
U850,1,Petrol,86,18,4,161,15941.34,Weekends
U851,2,Petrol,45,26,0,88,8661.86,Weekends
U852,1,Diesel,52,19,7,114,11410.38,Daily
U853,1,Diesel,49,21,0,101,10311.05,Weekends
U854,3,Petrol,110,24,12,208,20944.24,Weekends
U855,1,Hybrid,29,17,8,53,5460.27,Weekends
U856,1,Petrol,82,24,9,165,16713.45,Daily
U857,1,Petrol,112,19,10,220,22633.53,Weekdays
U858,1,Diesel,29,25,2,61,6220.04,Weekdays
U859,1,Diesel,23,17,11,52,5040.42,Daily
U860,1,Diesel,43,19,1,82,7832.93,Rarely
U861,1,Petrol,83,17,14,184,19142.25,Daily
U862,1,Petrol,84,25,0,189,19742.29,Daily
U863,2,Diesel,31,24,8,69,7056.58,Weekends
U864,1,Diesel,108,25,14,245,25049.3,Daily
U865,3,Petrol,78,21,3,173,16902.35,Weekends
U866,1,Diesel,67,15,11,140,14059.42,Weekdays
U867,1,Petrol,72,23,0,144,15108.83,Daily
U868,2,Diesel,119,23,0,243,25165.43,Daily
U869,1,Diesel,23,19,6,51,5000.24,Weekdays
U870,3,Petrol,32,23,1,62,6076.65,Weekdays
U871,1,Petrol,89,24,6,167,16672.57,Weekends
U872,3,Diesel,115,20,11,215,21294.89,Weekends
U873,1,Diesel,82,19,14,181,17866.79,Daily
U874,2,Diesel,37,17,6,80,8101.58,Daily
U875,1,Diesel,116,25,14,237,22542.24,Weekends
U876,4,Diesel,14,25,9,27,2771.1,Weekdays
U877,1,Electric,87,22,13,0,0.0,Daily
U878,1,Petrol,34,18,8,61,6301.5,Weekends
U879,3,Petrol,26,24,12,54,5584.38,Weekends
U880,1,Petrol,7,17,6,13,1308.63,Weekdays
U881,1,Petrol,105,20,12,240,24672.18,Daily
U882,2,Diesel,109,22,13,223,22283.04,Weekdays
U883,1,Petrol,86,23,0,178,18603.72,Weekdays
U884,1,Hybrid,79,20,11,170,16474.19,Weekends
U885,1,Diesel,52,19,12,106,11040.55,Rarely
U886,3,Diesel,6,26,7,11,1073.44,Weekdays
U887,1,Petrol,80,25,7,165,15844.49,Weekdays
U888,1,Petrol,58,16,3,131,13020.23,Rarely
U889,3,Petrol,10,16,12,20,2022.98,Daily
U890,2,Petrol,111,23,7,237,23062.45,Daily
U891,1,Petrol,44,16,3,100,10055.8,Weekends
U892,1,Diesel,112,16,14,248,25563.58,Daily
U893,1,Diesel,97,17,7,206,20099.6,Daily
U894,1,Diesel,98,17,4,212,21370.28,Daily
U895,1,Diesel,6,18,3,13,1279.11,Daily
U896,1,Petrol,77,21,5,175,17552.09,Daily
U897,1,Diesel,115,23,1,262,26637.33,Daily
U898,1,Diesel,6,16,11,12,1182.05,Rarely
U899,3,Petrol,97,18,1,193,20254.35,Weekdays
U900,4,Diesel,101,23,1,188,18919.9,Weekdays
