user_id,month,year,gas_units,bill_amount,cooking_units,heating_units,occupancy_days
U543,Mar,2025,358,433.32,167,191,20
U386,Aug,2023,145,168.86,54,91,25
U584,Oct,2023,410,504.24,148,262,31
U366,Jun,2024,430,531.33,146,284,17
U470,Mar,2023,315,377.44,134,181,27
U345,Jul,2023,400,491.33,136,264,17
U362,Apr,2025,432,503.07,183,249,30
U741,Sep,2024,123,147.5,42,81,29
U434,May,2023,134,159.38,66,68,25
U584,Mar,2025,123,148.97,65,58,29
U328,Feb,2024,127,146.61,59,68,19
U408,Nov,2024,115,140.9,57,58,30
U344,Feb,2025,158,182.95,91,67,30
U640,Mar,2025,342,415.75,168,174,31
U586,Feb,2025,306,352.46,125,181,23
U746,Apr,2025,370,456.28,160,210,17
U631,Feb,2025,348,406.28,194,154,27
U428,Oct,2023,366,439.77,124,242,17
U648,Sep,2023,292,343.44,116,176,21
U773,Feb,2024,434,530.46,205,229,20
U531,Sep,2023,317,374.74,159,158,23
U490,Jun,2023,214,261.61,113,101,26
U525,Jan,2023,167,196.81,66,101,29
U685,Apr,2025,398,487.65,136,262,17
U677,Jan,2024,424,488.9,248,176,24
U583,Jun,2024,174,205.03,56,118,15
U746,Apr,2024,202,242.37,66,136,27
U421,Mar,2024,396,457.18,177,219,26
U416,Mar,2023,277,323.7,151,126,15
U761,Sep,2023,314,390.44,167,147,30
U533,Jun,2025,414,516.54,240,174,29
U559,Sep,2024,138,168.91,47,91,30
U659,May,2023,358,420.73,147,211,25
U498,Feb,2023,303,356.34,116,187,20
U756,Aug,2025,106,128.75,59,47,25
U711,May,2025,148,171.94,66,82,17
U437,Feb,2025,125,155.6,38,87,29
U618,Apr,2023,260,304.85,133,127,15
U465,Sep,2023,275,343.74,114,161,21
U525,Apr,2025,178,213.52,81,97,15
U607,Dec,2024,101,123.94,57,44,31
U534,Dec,2025,231,265.7,87,144,23
U472,Dec,2025,375,464.58,139,236,27
U452,Apr,2025,216,254.23,81,135,25
U763,Feb,2025,263,320.02,105,158,20
U615,Dec,2023,387,476.26,128,259,15
U674,Jun,2024,127,148.13,64,63,21
U460,Nov,2025,432,515.92,156,276,26
U396,Feb,2024,100,119.94,57,43,31
U772,Dec,2024,287,339.01,104,183,18
U533,Jul,2024,155,185.72,58,97,17
U480,Mar,2025,134,158.36,52,82,15
U413,Mar,2023,211,250.26,111,100,29
U618,May,2025,385,468.52,164,221,22
U797,Mar,2024,409,496.22,223,186,15
U742,Feb,2024,135,158.39,72,63,28
U352,Oct,2023,316,391.76,182,134,18
U568,Sep,2025,179,221.29,94,85,19
U595,Feb,2024,413,495.98,130,283,27
U686,Nov,2023,182,217.19,100,82,29
U687,Feb,2024,164,194.78,95,69,20
U413,Aug,2023,424,517.59,253,171,15
U401,Sep,2023,227,276.3,76,151,27
U413,Jul,2025,406,474.86,196,210,20
U740,Mar,2024,121,147.27,43,78,29
U381,Sep,2025,315,370.2,119,196,30
U487,Mar,2024,206,237.28,107,99,30
U413,May,2025,208,253.74,123,85,24
U302,Sep,2024,280,340.05,133,147,23
U430,Dec,2025,263,313.25,146,117,23
U520,Mar,2023,167,200.83,50,117,31
U354,Jul,2024,391,486.68,121,270,31
U643,Dec,2024,279,337.46,133,146,31
U785,Jan,2023,280,340.42,116,164,26
U524,Apr,2025,268,309.91,151,117,27
U525,Apr,2024,121,141.16,47,74,26
U685,Jul,2024,165,194.72,70,95,28
U703,Aug,2025,120,144.47,55,65,24
U426,Jan,2023,199,244.3,76,123,16
U430,May,2025,399,471.67,228,171,18
U353,Jul,2025,202,239.5,88,114,21
U472,Dec,2025,146,171.64,62,84,29
U518,Apr,2024,138,162.21,76,62,29
U460,Apr,2023,384,478.04,151,233,20
U498,Apr,2023,409,496.34,223,186,17
U716,Dec,2025,189,220.3,63,126,20
U547,Jun,2024,184,224.89,65,119,30
U624,Jul,2025,372,454.66,217,155,16
U739,Feb,2024,435,529.24,240,195,21
U503,May,2024,287,333.92,119,168,25
U484,Apr,2024,258,307.23,126,132,21
U423,Mar,2024,342,396.95,199,143,18
U701,Jul,2023,172,211.85,62,110,21
U555,Nov,2024,148,179.9,47,101,18
U594,Dec,2024,200,240.14,92,108,26
U580,Jun,2025,101,119.61,34,67,19
U625,Jul,2025,343,400.77,122,221,19
U672,May,2023,275,319.18,156,119,17
U398,Jun,2025,337,420.21,101,236,25
U498,May,2024,158,184.85,86,72,21
U770,Jul,2025,198,228.89,90,108,31
U695,Feb,2023,101,125.86,47,54,23
U540,Nov,2025,342,412.07,171,171,23
U444,May,2025,396,486.95,170,226,24
U397,Jun,2023,310,357.86,103,207,27
U501,Jun,2023,222,267.89,73,149,29
U424,May,2024,328,390.26,172,156,19
U487,Oct,2025,181,222.12,66,115,17
U626,Jul,2024,243,280.38,74,169,22
U764,Oct,2025,239,284.45,141,98,24
U649,Aug,2025,128,157.43,76,52,27
U559,Jul,2024,369,443.64,152,217,17
U448,May,2025,346,416.93,106,240,22
U552,Jan,2025,111,128.73,57,54,23
U743,May,2025,436,507.17,239,197,26
U720,Oct,2023,205,249.63,69,136,25
U703,Feb,2024,131,159.49,44,87,16
U646,May,2023,173,215.89,94,79,23
U751,May,2024,270,329.72,155,115,16
U447,Feb,2024,436,522.91,234,202,16
U448,May,2025,168,207.6,60,108,17
U652,Apr,2024,400,464.18,169,231,30
U499,Jan,2023,236,282.0,113,123,18
U608,Mar,2023,199,234.56,69,130,24
U789,Jan,2023,245,284.31,88,157,25
U717,Dec,2024,108,132.45,41,67,31
U724,Nov,2023,161,193.37,72,89,30
U428,May,2024,284,342.41,128,156,27
U339,Apr,2023,128,152.46,69,59,16
U638,Jul,2023,213,254.76,112,101,16
U660,May,2024,242,281.11,138,104,28
U429,Oct,2023,219,266.59,120,99,18
U567,Apr,2025,269,320.98,101,168,31
U776,Feb,2024,256,315.31,102,154,27
U741,Apr,2024,434,507.62,195,239,18
U773,Dec,2024,448,524.39,136,312,17
U734,Feb,2025,359,436.03,205,154,26
U451,Aug,2024,181,223.46,56,125,22
U715,Mar,2023,341,408.25,135,206,16
U778,Sep,2023,271,331.35,127,144,20
U598,Apr,2023,330,412.48,150,180,24
U399,Jun,2024,307,383.45,152,155,26
U563,Oct,2023,174,213.05,79,95,24
U552,May,2024,369,451.64,136,233,24
U444,Oct,2023,213,250.22,76,137,17
U646,Jan,2025,161,198.57,92,69,24
U412,Sep,2025,419,498.82,158,261,23
U800,Jan,2025,201,250.49,77,124,28
U360,Aug,2025,309,357.87,130,179,16
U669,Sep,2024,354,422.53,121,233,19
U302,Sep,2023,119,143.46,53,66,22
U685,Jan,2025,157,186.91,78,79,21
U604,Feb,2024,211,247.09,113,98,20
U554,Dec,2025,412,498.23,211,201,25
U440,Jan,2025,295,361.55,101,194,26
U753,Oct,2024,191,231.97,83,108,24
U337,Feb,2024,151,177.19,47,104,28
U460,Oct,2023,392,479.48,119,273,17
U309,Dec,2023,107,125.8,46,61,29
U533,Aug,2025,399,465.84,149,250,20
U399,May,2025,197,240.16,99,98,24
U447,Dec,2023,335,413.48,173,162,26
U604,Nov,2023,168,201.29,95,73,21
U508,Jul,2024,144,173.25,76,68,31
U431,Feb,2023,236,278.54,74,162,15
U704,Aug,2023,333,399.42,137,196,29
U452,Nov,2025,131,152.38,50,81,15
U354,Jun,2023,388,483.29,161,227,19
U420,Aug,2025,225,276.76,78,147,29
U461,Jan,2023,166,201.99,54,112,17
U708,Jan,2024,129,155.29,58,71,15
U416,Dec,2023,213,261.82,109,104,22
U375,Jul,2023,303,363.44,154,149,26
U413,Aug,2023,128,151.04,55,73,26
U756,Mar,2025,230,268.19,105,125,27
U720,May,2024,284,344.99,129,155,15
U722,Dec,2023,352,437.52,178,174,20
U404,Jan,2025,385,448.66,121,264,22
U640,Jul,2024,161,188.05,82,79,18
U554,May,2025,102,121.72,48,54,19
U527,Aug,2025,167,205.53,60,107,21
U412,Aug,2024,124,146.24,39,85,18
U773,Sep,2023,278,326.76,92,186,18
U399,Jul,2025,240,290.88,109,131,29
U453,Nov,2025,330,397.18,174,156,19
U649,Jan,2023,399,461.25,159,240,23
U702,Mar,2023,262,303.44,108,154,16
U684,Aug,2024,410,497.86,237,173,21
U666,Mar,2024,229,274.0,83,146,31
U638,Aug,2024,345,430.25,114,231,30
U494,Jan,2023,396,482.27,159,237,31
U610,May,2025,271,311.92,141,130,16
U463,Apr,2025,163,195.29,79,84,25
U508,May,2024,130,154.89,55,75,16
U745,Aug,2023,146,169.46,86,60,15
U469,Oct,2025,229,284.49,119,110,16
U784,Apr,2024,432,531.58,137,295,23
U461,Nov,2025,209,245.16,109,100,16
U368,Apr,2025,168,197.5,51,117,29
U589,Mar,2023,157,181.05,77,80,24
U698,Jul,2023,205,241.83,74,131,29
U577,Mar,2025,399,482.18,203,196,24
U604,Dec,2024,429,511.4,168,261,31
U704,Mar,2023,355,442.66,199,156,23
U684,Nov,2025,411,474.95,164,247,18
U692,Oct,2023,270,326.47,131,139,23
U435,May,2023,261,322.55,100,161,30
U495,May,2023,385,461.26,221,164,18
U701,Jun,2025,170,195.55,90,80,30
U428,Aug,2024,354,415.7,132,222,15
U333,Oct,2024,154,182.09,90,64,20
U476,Jun,2024,422,526.06,171,251,24
U760,Dec,2023,102,126.6,50,52,30
U743,Jan,2025,125,155.61,65,60,18
U671,Aug,2023,412,507.82,126,286,27
U770,Aug,2024,225,266.66,132,93,30
U675,Sep,2024,152,188.57,61,91,20
U322,Sep,2025,297,370.71,106,191,25
U538,Feb,2023,398,471.63,220,178,17
U458,Feb,2024,287,337.53,146,141,24
U338,Mar,2025,285,343.34,92,193,15
U530,Jan,2023,404,472.16,135,269,25
U665,Apr,2023,397,457.85,204,193,26
U351,Apr,2024,303,377.11,97,206,28
U738,Sep,2024,110,136.68,63,47,22
U564,Sep,2023,245,285.74,128,117,25
U583,Sep,2023,184,219.1,73,111,18
U327,Oct,2024,199,245.39,81,118,21
U526,Jul,2023,203,246.87,91,112,24
U577,Feb,2024,145,172.47,59,86,18
U586,Oct,2023,143,175.09,76,67,16
U397,May,2024,377,467.37,223,154,28
U584,Apr,2025,280,347.93,133,147,30
U667,Dec,2024,286,339.74,124,162,25
U748,Nov,2024,213,248.65,78,135,24
U781,Aug,2025,354,439.41,175,179,31
U753,Feb,2023,129,149.54,65,64,28
U617,Jun,2025,363,443.65,183,180,18
U604,May,2024,197,229.32,60,137,16
U447,Dec,2023,412,489.84,234,178,21
U304,Feb,2025,428,509.81,171,257,23
U335,Nov,2023,214,249.5,111,103,30
U492,Oct,2023,375,465.85,197,178,30
U349,Jan,2025,380,437.1,188,192,25
U317,Aug,2023,374,463.53,156,218,21
U472,Feb,2025,360,445.82,173,187,23
U520,Jul,2024,430,508.13,134,296,18
U458,Sep,2023,306,373.45,161,145,27
U777,Sep,2024,427,501.84,140,287,18
U346,Aug,2024,310,380.02,129,181,16
U673,Nov,2023,314,378.72,103,211,23
U306,Dec,2025,139,164.02,76,63,26
U399,Oct,2023,125,148.75,58,67,16
U680,Sep,2024,126,153.59,63,63,20
U533,Feb,2024,289,358.54,145,144,19
U337,Jun,2025,182,211.68,100,82,19
U580,Apr,2023,269,324.72,91,178,19
U649,Apr,2024,266,312.65,132,134,18
U797,May,2024,287,353.05,135,152,23
U602,Dec,2024,268,310.08,82,186,24
U481,Mar,2025,388,472.93,139,249,30
U395,Jan,2024,328,382.94,124,204,24
U399,Aug,2024,196,237.09,63,133,24
U488,May,2023,115,141.86,46,69,24
U781,Mar,2023,378,463.24,116,262,20
U416,Oct,2024,234,286.72,109,125,31
U491,Jul,2024,125,150.22,45,80,19
U553,Jul,2023,111,137.54,42,69,20
U769,Jan,2025,171,206.71,98,73,29
U716,Dec,2025,232,288.09,104,128,18
U771,Sep,2025,205,246.95,78,127,22
U461,Feb,2025,319,382.99,152,167,30
U556,May,2025,276,323.54,99,177,17
U623,May,2025,381,458.91,122,259,24
U428,Aug,2025,232,270.06,71,161,16
U318,Aug,2025,121,149.67,70,51,18
U581,Jul,2023,368,448.07,190,178,20
U790,Jul,2025,260,324.83,140,120,25
U523,Dec,2025,206,238.8,122,84,28
U354,Nov,2025,378,443.8,219,159,30
U358,Jun,2024,334,413.4,174,160,16
U623,Jun,2023,117,139.17,59,58,31
U660,Nov,2023,341,408.05,136,205,23
U474,Sep,2023,216,266.99,71,145,31
U580,Jun,2025,385,462.84,181,204,29
U414,Dec,2025,381,445.52,180,201,21
U588,Feb,2024,243,301.13,142,101,17
U731,Feb,2023,304,350.54,131,173,15
U642,May,2025,138,171.06,69,69,18
U451,Apr,2023,253,292.23,119,134,22
U750,Nov,2024,275,334.56,97,178,20
U427,Feb,2024,340,393.44,162,178,15
U455,Mar,2024,233,284.4,107,126,22
U790,Jul,2023,145,167.24,64,81,15
U686,Aug,2025,149,183.9,67,82,25
U774,Dec,2025,265,317.1,92,173,29
U573,Jun,2024,205,237.67,90,115,25
U404,Nov,2025,315,384.51,151,164,24
U717,May,2024,245,293.74,109,136,26
U693,Jan,2023,171,199.92,76,95,15
U599,Aug,2024,429,494.02,138,291,21
U546,Mar,2023,372,443.35,132,240,31
U476,Jun,2024,346,400.86,137,209,24
U339,Mar,2025,285,330.43,121,164,20
U777,Jul,2025,169,198.87,80,89,31
U470,Jul,2024,249,302.05,139,110,19
U547,Dec,2025,345,415.03,119,226,31
U326,Sep,2025,361,417.64,109,252,30
U655,May,2025,125,155.86,54,71,22
U606,Aug,2023,239,296.05,102,137,27
U709,Oct,2025,198,232.83,92,106,30
U708,Oct,2023,377,438.16,207,170,25
U313,Aug,2024,150,186.64,81,69,20
U616,Jan,2025,250,299.03,82,168,17
U691,Dec,2025,203,239.77,117,86,15
U613,May,2025,188,225.42,62,126,19
U336,Mar,2024,240,294.55,117,123,27
U473,Jan,2023,312,364.05,156,156,24
U320,Apr,2023,332,407.28,167,165,19
U621,Aug,2025,282,345.43,107,175,28
U564,Mar,2024,350,421.38,139,211,31
U794,Oct,2024,108,133.55,50,58,15
U700,Feb,2024,178,207.05,64,114,16
U442,Nov,2024,151,182.64,46,105,21
U760,Sep,2024,368,439.74,172,196,24
U671,Oct,2023,325,387.47,142,183,21
U771,May,2023,150,176.29,74,76,30
U443,Jul,2023,285,338.36,98,187,19
U392,Nov,2025,133,154.39,73,60,26
U654,Nov,2024,390,458.31,134,256,31
U622,Feb,2025,329,387.3,186,143,30
U588,Sep,2024,230,281.08,100,130,30
U515,Sep,2023,219,252.91,101,118,29
U747,Apr,2025,425,516.43,241,184,26
U642,Apr,2023,346,405.56,134,212,24
U351,Jun,2024,291,337.03,103,188,16
U453,Oct,2024,422,497.99,183,239,21
U486,Oct,2024,309,362.29,115,194,27
U363,Oct,2023,202,243.45,92,110,17
U490,Jun,2024,428,507.5,163,265,29
U425,Dec,2023,232,289.21,129,103,15
U450,Jan,2025,422,525.96,203,219,17
U614,Sep,2024,238,284.26,71,167,24
U358,Feb,2024,220,270.49,119,101,29
U642,May,2024,193,222.21,77,116,20
U605,Sep,2025,228,274.69,90,138,29
U480,Apr,2024,190,232.62,78,112,21
U470,Nov,2023,191,223.79,93,98,19
U626,Mar,2023,162,187.29,70,92,18
U571,Jul,2024,128,149.2,62,66,17
U354,Jun,2024,309,369.0,106,203,31
U791,Aug,2025,111,133.27,65,46,16
U744,Mar,2025,432,513.25,224,208,27
U401,May,2025,396,472.82,148,248,29
U781,Oct,2024,229,274.12,118,111,19
U564,Apr,2025,392,480.96,185,207,17
U353,Apr,2025,272,315.66,90,182,19
U360,Apr,2023,307,376.66,108,199,19
U792,Oct,2025,123,149.92,38,85,19
U408,Aug,2023,198,242.38,107,91,17
U305,Jun,2023,238,291.18,110,128,17
U403,Mar,2025,413,494.39,163,250,18
U496,Oct,2023,273,319.72,92,181,15
U562,May,2024,128,154.07,56,72,30
U665,Jun,2024,242,301.48,110,132,22
U780,May,2025,415,501.67,211,204,31
U672,Jun,2024,141,162.31,83,58,22
U650,Aug,2023,398,460.08,171,227,21
U347,Jul,2024,307,383.53,129,178,22
U655,May,2025,429,496.44,176,253,26
U611,Oct,2025,291,335.99,159,132,30
U724,Jun,2023,259,306.99,89,170,26
U608,Apr,2025,163,203.25,65,98,24
U444,Dec,2024,342,404.2,176,166,21
U569,Sep,2025,357,425.18,108,249,26
U670,Apr,2023,251,304.57,97,154,19
U424,Jan,2025,314,361.86,154,160,30
U406,Jul,2024,421,521.95,149,272,23
U458,Jul,2023,265,318.52,103,162,21
U447,Apr,2024,130,155.57,57,73,28
U445,Mar,2023,331,409.14,141,190,25
U420,Aug,2025,381,474.46,126,255,21
U619,May,2023,128,152.62,74,54,24
U575,Oct,2023,294,343.17,92,202,23
U392,Jul,2025,433,533.27,227,206,18
U358,Apr,2024,355,422.57,114,241,30
U739,Apr,2025,380,472.55,167,213,24
U646,Aug,2023,403,501.73,142,261,31
U529,Aug,2025,420,487.82,143,277,23
U774,Feb,2023,422,525.67,142,280,27
U417,Feb,2025,445,528.14,193,252,15
U618,Mar,2025,393,477.35,178,215,16
U579,Dec,2024,186,214.55,63,123,27
U427,Dec,2023,248,307.24,147,101,23
U693,Mar,2024,348,422.53,131,217,21
U696,Jan,2023,420,510.03,183,237,30
U429,Mar,2025,382,473.76,139,243,21
U358,Jun,2023,297,356.65,133,164,20
U422,Aug,2024,143,170.32,75,68,25
U301,Dec,2024,127,157.05,57,70,26
U539,Oct,2024,116,142.01,44,72,24
U590,Jun,2023,226,281.35,84,142,27
U396,May,2024,267,332.15,140,127,26
U426,Apr,2024,343,407.56,115,228,24
U418,Mar,2024,175,209.07,71,104,18
U348,Apr,2025,330,387.95,113,217,19
U389,Jul,2025,303,368.47,114,189,19
U788,Jan,2023,347,411.7,119,228,26
U537,Jul,2023,401,492.67,226,175,17
U673,Jan,2024,313,363.75,162,151,22
U685,Feb,2025,314,364.76,147,167,16
U572,Apr,2024,257,300.8,94,163,23
U489,Jan,2024,168,194.62,76,92,27
U787,Nov,2025,184,223.01,83,101,21
U492,Dec,2025,366,426.29,174,192,24
U747,Nov,2025,168,195.89,53,115,23
U369,Nov,2023,198,227.98,117,81,29
U578,Sep,2023,446,547.78,196,250,19
U649,Dec,2024,315,387.84,182,133,26
U547,Jun,2023,260,303.21,78,182,15
U751,Jan,2025,193,236.22,72,121,26
U376,Jan,2025,273,325.79,90,183,20
U454,Jun,2023,264,309.93,140,124,30
U444,Apr,2024,214,259.4,84,130,17
U735,Apr,2024,319,372.54,176,143,24
U785,Nov,2023,130,159.34,71,59,27
U386,Jun,2024,110,127.02,55,55,17
U485,Dec,2024,442,550.69,220,222,17
