user_id,num_people,cooking_hours_daily,gas_stove_count,water_heating,cooking_type,vacation_days
U405,6,6,2,Gas,Moderate,20
U406,5,5,1,Electric,Heavy,16
U407,5,5,1,Gas,Light,13
U408,2,2,1,Gas,Moderate,7
U409,7,7,2,Gas,Moderate,20
U410,5,5,1,Gas,Moderate,20
U411,2,2,1,Gas,Moderate,8
U412,1,1,1,Electric,Moderate,7
U413,4,4,1,Gas,Moderate,12
U414,4,4,2,Gas,Moderate,16
U415,4,4,2,Electric,Moderate,18
U416,5,5,1,Solar,Light,27
U417,1,1,3,Gas,Moderate,6
U418,5,5,1,Gas,Heavy,16
U419,7,7,1,Electric,Moderate,0
U420,5,5,1,Solar,Moderate,4
U421,1,1,1,Electric,Moderate,24
U422,1,1,1,Gas,Heavy,5
U423,7,7,3,Gas,Heavy,25
U424,1,1,1,Electric,Light,1
U425,1,1,2,Gas,Moderate,26
U426,4,4,1,Gas,Moderate,24
U427,7,7,1,Electric,Moderate,15
U428,3,3,1,Electric,Light,21
U429,3,3,1,Gas,Heavy,4
U430,1,1,1,Electric,Light,4
U431,3,3,2,Gas,Moderate,11
U432,3,3,1,Gas,Moderate,2
U433,1,1,1,Electric,Light,29
U434,3,3,1,Gas,Heavy,15
U435,5,5,1,Gas,Heavy,5
U436,2,2,1,Solar,Moderate,14
U437,7,7,1,Gas,Moderate,14
U438,2,2,1,Gas,Light,28
U439,1,1,1,Solar,Moderate,15
U440,4,4,1,Electric,Light,19
U441,7,7,1,Electric,Moderate,12
U442,1,1,1,Electric,Heavy,11
U443,4,4,1,Gas,Light,9
U444,2,2,2,Electric,Heavy,13
U445,1,1,1,Gas,Light,1
U446,7,7,1,Electric,Heavy,28
U447,7,7,1,Gas,Light,2
U448,6,6,3,Gas,Moderate,8
U449,5,5,1,Gas,Light,10
U450,3,3,1,Gas,Heavy,10
U451,4,4,2,Electric,Moderate,24
U452,6,6,1,Gas,Light,21
U453,3,3,1,Gas,Moderate,9
U454,3,3,1,Gas,Moderate,25
U455,1,1,1,Gas,Moderate,13
U456,3,3,3,Electric,Heavy,8
U457,5,5,2,Electric,Moderate,19
U458,7,7,1,Electric,Light,26
U459,6,6,1,Solar,Light,20
U460,3,3,1,Electric,Moderate,9
U461,1,1,1,Gas,Moderate,21
U462,5,5,2,Electric,Moderate,28
U463,2,2,1,Solar,Light,8
U464,7,7,1,Gas,Moderate,28
U465,7,7,2,Electric,Heavy,4
U466,6,6,1,Electric,Light,7
U467,7,7,1,Gas,Moderate,10
U468,3,3,1,Gas,Moderate,0
U469,1,1,3,Gas,Moderate,20
U470,7,7,1,Solar,Moderate,9
U471,7,7,1,Electric,Moderate,0
U472,2,2,1,Gas,Heavy,25
U473,2,2,1,Solar,Light,29
U474,4,4,2,Gas,Moderate,21
U475,5,5,2,Gas,Light,6
U476,3,3,1,Electric,Moderate,27
U477,7,7,1,Electric,Moderate,13
U478,7,7,1,Gas,Moderate,4
U479,1,1,1,Gas,Light,16
U480,4,4,1,Gas,Moderate,21
U481,5,5,2,Gas,Moderate,25
U482,4,4,1,Gas,Moderate,20
U483,6,6,1,Gas,Moderate,5
U484,5,5,1,Gas,Moderate,15
U485,7,7,2,Gas,Heavy,10
U486,7,7,2,Gas,Moderate,9
U487,5,5,2,Gas,Moderate,14
U488,7,7,1,Electric,Heavy,6
U489,3,3,1,Electric,Light,22
U490,5,5,2,Gas,Light,1
U491,4,4,1,Gas,Moderate,11
U492,5,5,1,Gas,Moderate,18
U493,7,7,2,Gas,Heavy,11
U494,3,3,2,Gas,Heavy,15
U495,3,3,1,Gas,Moderate,5
U496,6,6,1,Gas,Moderate,2
U497,4,4,1,Electric,Moderate,1
U498,2,2,1,Gas,Moderate,19
U499,2,2,1,Gas,Moderate,4
U500,5,5,2,Electric,Moderate,10
U501,6,6,2,Gas,Moderate,25
U502,1,1,2,Gas,Light,24
U503,5,5,1,Gas,Moderate,2
U504,6,6,2,Gas,Light,2
U505,4,4,2,Electric,Heavy,21
U506,4,4,1,Gas,Light,4
U507,4,4,2,Gas,Heavy,21
U508,4,4,2,Gas,Moderate,22
U509,4,4,1,Gas,Moderate,10
U510,6,6,1,Electric,Moderate,2
U511,6,6,1,Electric,Moderate,12
U512,3,3,1,Gas,Moderate,20
U513,2,2,1,Gas,Moderate,7
U514,7,7,2,Gas,Moderate,19
U515,4,4,1,Electric,Moderate,9
U516,1,1,1,Gas,Moderate,1
U517,7,7,1,Gas,Light,3
U518,6,6,1,Gas,Moderate,17
U519,1,1,1,Gas,Heavy,18
U520,1,1,1,Gas,Light,3
U521,1,1,1,Gas,Moderate,19
U522,3,3,1,Gas,Moderate,25
U523,6,6,1,Gas,Moderate,8
U524,1,1,1,Gas,Light,15
U525,4,4,2,Electric,Moderate,25
U526,5,5,1,Gas,Light,5
U527,1,1,2,Gas,Light,24
U528,3,3,1,Electric,Moderate,3
U529,7,7,1,Gas,Moderate,8
U530,6,6,2,Gas,Heavy,26
U531,3,3,1,Electric,Light,12
U532,1,1,1,Gas,Moderate,8
U533,6,6,1,Solar,Light,5
U534,5,5,1,Gas,Moderate,20
U535,1,1,1,Gas,Heavy,18
U536,3,3,1,Gas,Heavy,13
U537,2,2,1,Gas,Light,20
U538,4,4,1,Electric,Moderate,14
U539,7,7,1,Electric,Moderate,2
U540,3,3,2,Electric,Light,4
U541,6,6,3,Solar,Light,20
U542,1,1,1,Electric,Heavy,17
U543,4,4,2,Gas,Heavy,13
U544,1,1,1,Gas,Heavy,15
U545,6,6,1,Gas,Moderate,13
U546,1,1,1,Gas,Moderate,8
U547,2,2,2,Electric,Moderate,14
U548,4,4,1,Gas,Light,6
U549,4,4,1,Gas,Light,13
U550,6,6,1,Gas,Moderate,5
U551,7,7,2,Gas,Moderate,20
U552,2,2,2,Gas,Heavy,14
U553,3,3,2,Gas,Heavy,19
U554,1,1,1,Gas,Heavy,7
U555,5,5,1,Gas,Heavy,1
U556,1,1,1,Electric,Light,7
U557,1,1,1,Gas,Moderate,0
U558,3,3,1,Gas,Moderate,25
U559,1,1,1,Gas,Light,16
U560,2,2,3,Gas,Heavy,18
U561,2,2,2,Gas,Heavy,4
U562,4,4,2,Gas,Light,29
U563,6,6,3,Gas,Light,21
U564,7,7,1,Gas,Moderate,19
U565,5,5,1,Gas,Moderate,15
U566,1,1,3,Gas,Heavy,6
U567,1,1,1,Electric,Light,6
U568,3,3,2,Gas,Light,17
U569,6,6,1,Solar,Light,17
U570,2,2,1,Gas,Light,1
U571,5,5,1,Gas,Light,14
U572,4,4,2,Electric,Heavy,13
U573,2,2,2,Electric,Moderate,17
U574,6,6,1,Gas,Moderate,28
U575,7,7,2,Gas,Light,8
U576,4,4,1,Gas,Light,13
U577,7,7,1,Gas,Heavy,4
U578,3,3,1,Gas,Moderate,10
U579,3,3,1,Gas,Moderate,7
U580,1,1,1,Gas,Moderate,4
U581,7,7,2,Gas,Moderate,28
U582,6,6,2,Electric,Moderate,10
U583,5,5,1,Electric,Moderate,4
U584,4,4,1,Solar,Heavy,16
U585,2,2,2,Gas,Light,21
U586,6,6,2,Electric,Moderate,3
U587,6,6,2,Electric,Light,14
U588,3,3,1,Gas,Moderate,18
U589,7,7,1,Gas,Heavy,21
U590,1,1,1,Solar,Moderate,1
U591,1,1,1,Gas,Moderate,23
U592,4,4,1,Gas,Heavy,16
U593,3,3,2,Gas,Moderate,11
U594,6,6,1,Gas,Light,24
U595,5,5,1,Electric,Light,23
U596,3,3,1,Gas,Moderate,16
U597,4,4,1,Gas,Moderate,9
U598,4,4,1,Gas,Moderate,27
U599,3,3,1,Gas,Moderate,24
U600,4,4,1,Gas,Heavy,17
U601,3,3,2,Gas,Light,18
U602,2,2,3,Electric,Moderate,17
U603,3,3,1,Gas,Light,12
U604,7,7,1,Gas,Heavy,13
U605,3,3,2,Electric,Light,23
U606,4,4,1,Gas,Moderate,15
U607,7,7,1,Electric,Light,17
U608,4,4,2,Electric,Moderate,25
U609,1,1,1,Electric,Heavy,17
U610,1,1,1,Gas,Moderate,15
U611,7,7,1,Gas,Moderate,16
U612,2,2,1,Gas,Moderate,6
U613,1,1,1,Gas,Moderate,11
U614,3,3,2,Electric,Heavy,1
U615,4,4,1,Electric,Light,9
U616,1,1,1,Electric,Moderate,4
U617,1,1,2,Solar,Light,20
U618,2,2,1,Electric,Light,2
U619,7,7,1,Gas,Moderate,18
U620,7,7,2,Gas,Moderate,12
U621,6,6,1,Electric,Moderate,11
U622,2,2,2,Gas,Moderate,2
U623,3,3,2,Gas,Light,5
U624,7,7,1,Gas,Light,13
U625,4,4,1,Electric,Moderate,3
U626,2,2,3,Gas,Heavy,12
U627,1,1,1,Electric,Light,18
U628,4,4,2,Electric,Moderate,17
U629,4,4,1,Gas,Moderate,28
U630,1,1,1,Gas,Moderate,2
U631,2,2,1,Gas,Heavy,19
U632,1,1,2,Electric,Heavy,5
U633,6,6,3,Electric,Moderate,15
U634,4,4,1,Electric,Light,19
U635,5,5,1,Gas,Heavy,23
U636,5,5,2,Gas,Moderate,2
U637,3,3,1,Gas,Light,11
U638,7,7,1,Electric,Moderate,18
U639,1,1,1,Gas,Heavy,18
U640,1,1,1,Gas,Heavy,23
U641,3,3,3,Gas,Light,3
U642,3,3,1,Gas,Moderate,0
U643,3,3,1,Gas,Heavy,1
U644,4,4,1,Gas,Light,12
U645,6,6,2,Gas,Moderate,29
U646,1,1,1,Gas,Moderate,25
U647,4,4,1,Electric,Moderate,28
U648,3,3,1,Electric,Light,12
U649,1,1,2,Gas,Moderate,29
U650,4,4,1,Electric,Heavy,1
U651,6,6,1,Gas,Moderate,29
U652,4,4,1,Gas,Moderate,18
U653,6,6,1,Electric,Moderate,21
U654,3,3,1,Electric,Light,23
U655,6,6,2,Electric,Moderate,15
U656,1,1,1,Gas,Moderate,11
U657,3,3,2,Gas,Heavy,0
U658,1,1,1,Electric,Light,8
U659,5,5,2,Gas,Moderate,16
U660,2,2,1,Gas,Moderate,9
U661,6,6,1,Electric,Heavy,17
U662,2,2,3,Electric,Light,18
U663,2,2,2,Electric,Light,6
U664,6,6,1,Gas,Light,24
U665,3,3,1,Electric,Heavy,18
U666,5,5,2,Gas,Light,23
U667,1,1,1,Gas,Light,14
U668,4,4,2,Gas,Light,8
U669,1,1,2,Gas,Moderate,9
U670,4,4,1,Gas,Light,22
U671,1,1,1,Electric,Moderate,19
U672,6,6,1,Gas,Light,19
U673,5,5,1,Gas,Moderate,3
U674,4,4,1,Gas,Moderate,5
U675,7,7,2,Gas,Moderate,3
U676,3,3,1,Gas,Heavy,4
U677,1,1,2,Electric,Heavy,8
U678,1,1,1,Electric,Moderate,11
U679,4,4,1,Gas,Moderate,22
U680,3,3,1,Electric,Moderate,7
U681,3,3,1,Gas,Heavy,20
U682,6,6,1,Gas,Moderate,4
U683,7,7,1,Electric,Moderate,28
U684,6,6,2,Gas,Moderate,10
U685,6,6,1,Solar,Heavy,22
U686,6,6,1,Gas,Light,10
U687,6,6,1,Electric,Light,12
U688,6,6,1,Gas,Moderate,13
U689,5,5,1,Gas,Light,27
U690,3,3,1,Gas,Moderate,7
U691,6,6,1,Electric,Light,24
U692,3,3,1,Gas,Moderate,29
U693,3,3,1,Solar,Heavy,17
U694,2,2,2,Gas,Moderate,18
U695,5,5,1,Gas,Moderate,11
U696,6,6,1,Gas,Light,11
U697,1,1,1,Gas,Light,17
U698,4,4,1,Electric,Heavy,9
U699,7,7,2,Gas,Moderate,6
U700,1,1,1,Electric,Moderate,27
U701,5,5,1,Gas,Heavy,17
U702,4,4,1,Gas,Heavy,11
U703,5,5,1,Electric,Heavy,13
U704,3,3,1,Gas,Moderate,14
U705,4,4,1,Gas,Light,15
U706,3,3,2,Solar,Moderate,1
U707,1,1,1,Electric,Moderate,29
U708,1,1,1,Gas,Light,29
U709,4,4,1,Gas,Moderate,17
U710,4,4,1,Gas,Light,11
U711,6,6,1,Gas,Moderate,15
U712,5,5,2,Electric,Moderate,12
U713,6,6,2,Electric,Moderate,19
U714,5,5,1,Gas,Moderate,16
U715,6,6,2,Gas,Heavy,17
U716,3,3,3,Gas,Moderate,2
U717,4,4,2,Gas,Moderate,22
U718,1,1,1,Gas,Heavy,9
U719,5,5,2,Gas,Moderate,0
U720,5,5,1,Gas,Heavy,5
U721,1,1,3,Gas,Light,2
U722,6,6,1,Gas,Moderate,18
U723,5,5,1,Gas,Light,3
U724,7,7,2,Gas,Light,28
U725,3,3,1,Gas,Heavy,19
U726,4,4,3,Gas,Light,22
U727,1,1,3,Gas,Moderate,2
U728,4,4,1,Gas,Moderate,7
U729,7,7,1,Electric,Moderate,7
U730,5,5,1,Solar,Moderate,26
U731,5,5,1,Electric,Moderate,28
U732,7,7,1,Gas,Light,6
U733,1,1,2,Electric,Moderate,1
U734,3,3,1,Electric,Moderate,20
U735,2,2,1,Gas,Moderate,5
U736,1,1,3,Gas,Moderate,27
U737,2,2,1,Electric,Heavy,15
U738,7,7,1,Gas,Moderate,9
U739,6,6,2,Gas,Moderate,3
U740,2,2,1,Electric,Light,12
U741,3,3,2,Electric,Moderate,9
U742,6,6,3,Gas,Moderate,20
U743,2,2,2,Gas,Light,13
U744,7,7,1,Gas,Moderate,8
U745,6,6,1,Electric,Moderate,10
U746,7,7,1,Gas,Moderate,22
U747,2,2,2,Gas,Light,17
U748,7,7,2,Electric,Moderate,10
U749,3,3,1,Gas,Light,16
U750,2,2,1,Electric,Heavy,1
U751,2,2,1,Gas,Light,2
U752,2,2,1,Gas,Moderate,10
U753,1,1,2,Gas,Moderate,17
U754,1,1,1,Gas,Heavy,26
U755,1,1,2,Gas,Light,2
U756,3,3,2,Gas,Moderate,25
U757,6,6,1,Electric,Moderate,14
U758,7,7,1,Solar,Moderate,10
U759,5,5,1,Solar,Moderate,10
U760,2,2,1,Gas,Moderate,27
U761,7,7,2,Gas,Heavy,29
U762,2,2,2,Gas,Light,27
U763,3,3,2,Electric,Light,24
U764,2,2,1,Gas,Heavy,19
U765,1,1,1,Solar,Light,27
U766,5,5,2,Gas,Heavy,24
U767,4,4,1,Solar,Moderate,10
U768,2,2,1,Electric,Moderate,18
U769,7,7,1,Electric,Light,27
U770,1,1,1,Gas,Light,0
U771,4,4,1,Gas,Moderate,26
U772,5,5,1,Gas,Heavy,4
U773,4,4,3,Gas,Heavy,9
U774,1,1,1,Gas,Light,9
U775,6,6,1,Gas,Light,13
U776,6,6,1,Gas,Light,1
U777,4,4,2,Gas,Heavy,3
U778,3,3,1,Gas,Light,1
U779,7,7,1,Gas,Light,17
U780,7,7,1,Solar,Light,12
U781,4,4,2,Gas,Moderate,18
U782,2,2,1,Gas,Heavy,4
U783,2,2,2,Gas,Moderate,19
U784,7,7,2,Electric,Light,1
U785,7,7,1,Gas,Moderate,10
U786,6,6,2,Gas,Moderate,29
U787,3,3,1,Gas,Light,29
U788,1,1,2,Gas,Light,25
U789,2,2,1,Gas,Moderate,17
U790,7,7,2,Solar,Light,29
U791,6,6,1,Solar,Light,5
U792,5,5,1,Gas,Moderate,22
U793,6,6,1,Gas,Moderate,27
U794,2,2,1,Gas,Moderate,9
U795,2,2,1,Gas,Moderate,21
U796,6,6,1,Gas,Moderate,22
U797,1,1,1,Gas,Moderate,16
U798,4,4,1,Solar,Light,21
U799,2,2,2,Solar,Heavy,10
U800,6,6,1,Gas,Light,18
U801,7,7,1,Gas,Moderate,16
U802,6,6,1,Gas,Moderate,23
U803,3,3,1,Gas,Moderate,3
U804,4,4,3,Gas,Heavy,25
U805,5,5,1,Gas,Moderate,23
U806,1,1,2,Electric,Heavy,25
U807,5,5,3,Electric,Heavy,13
U808,4,4,2,Gas,Heavy,26
U809,4,4,1,Electric,Heavy,19
U810,4,4,2,Gas,Heavy,3
U811,5,5,3,Gas,Moderate,27
U812,7,7,1,Gas,Moderate,13
U813,4,4,1,Gas,Light,25
U814,6,6,1,Gas,Moderate,3
U815,5,5,1,Gas,Heavy,5
U816,4,4,1,Solar,Moderate,29
U817,6,6,1,Gas,Heavy,8
U818,7,7,1,Gas,Heavy,20
U819,3,3,1,Gas,Light,11
U820,7,7,1,Electric,Light,28
U821,4,4,1,Gas,Moderate,25
U822,5,5,1,Solar,Light,29
U823,2,2,1,Electric,Moderate,7
U824,4,4,1,Gas,Heavy,23
U825,2,2,2,Electric,Moderate,3
U826,6,6,1,Gas,Moderate,26
U827,3,3,1,Gas,Light,25
U828,1,1,2,Electric,Moderate,24
U829,7,7,1,Gas,Moderate,24
U830,3,3,1,Gas,Moderate,4
U831,4,4,2,Gas,Light,5
U832,2,2,2,Gas,Moderate,4
U833,7,7,1,Solar,Light,18
U834,2,2,1,Gas,Heavy,26
U835,5,5,3,Electric,Light,7
U836,2,2,1,Gas,Light,8
U837,5,5,1,Electric,Light,14
U838,6,6,2,Gas,Moderate,3
U839,7,7,1,Gas,Moderate,24
U840,7,7,1,Electric,Moderate,8
U841,1,1,1,Gas,Moderate,6
U842,4,4,2,Gas,Moderate,7
U843,5,5,1,Gas,Moderate,14
U844,1,1,1,Electric,Moderate,18
U845,2,2,1,Gas,Light,14
U846,2,2,1,Solar,Moderate,4
U847,1,1,1,Gas,Moderate,18
U848,7,7,2,Gas,Heavy,6
U849,2,2,1,Electric,Moderate,5
U850,6,6,1,Electric,Light,26
U851,6,6,2,Electric,Light,18
U852,1,1,1,Solar,Heavy,24
U853,5,5,3,Gas,Light,27
U854,5,5,1,Gas,Light,16
U855,1,1,1,Gas,Light,9
U856,5,5,1,Electric,Moderate,18
U857,7,7,2,Electric,Light,10
U858,7,7,1,Gas,Moderate,14
U859,5,5,1,Gas,Moderate,9
U860,6,6,1,Gas,Heavy,10
U861,5,5,1,Electric,Light,22
U862,7,7,1,Gas,Moderate,2
U863,3,3,2,Gas,Moderate,29
U864,4,4,1,Gas,Moderate,2
U865,2,2,2,Electric,Moderate,17
U866,3,3,1,Electric,Heavy,24
U867,5,5,1,Gas,Light,10
U868,6,6,1,Gas,Heavy,19
U869,1,1,1,Gas,Moderate,25
U870,5,5,2,Electric,Light,28
U871,6,6,3,Solar,Heavy,21
U872,4,4,1,Gas,Moderate,17
U873,5,5,1,Gas,Light,24
U874,7,7,1,Gas,Light,14
U875,1,1,3,Gas,Light,6
U876,6,6,1,Electric,Moderate,9
U877,6,6,1,Gas,Light,20
U878,6,6,2,Gas,Light,22
U879,4,4,1,Gas,Light,29
U880,5,5,1,Gas,Moderate,19
U881,4,4,1,Gas,Heavy,28
U882,2,2,2,Gas,Moderate,9
U883,2,2,1,Gas,Light,12
U884,5,5,1,Electric,Heavy,14
U885,7,7,1,Gas,Moderate,22
U886,4,4,1,Gas,Heavy,17
U887,1,1,1,Solar,Moderate,22
U888,6,6,1,Gas,Moderate,3
U889,6,6,1,Electric,Moderate,19
U890,5,5,1,Gas,Light,16
U891,7,7,1,Gas,Moderate,27
U892,2,2,1,Gas,Heavy,2
U893,2,2,2,Gas,Heavy,20
U894,6,6,1,Gas,Heavy,20
U895,5,5,2,Solar,Moderate,1
U896,4,4,2,Gas,Light,3
U897,2,2,1,Gas,Light,0
U898,4,4,1,Gas,Moderate,14
U899,7,7,1,Gas,Moderate,24
U900,2,2,1,Gas,Light,0
U901,2,2,1,Gas,Light,5
U902,3,3,1,Electric,Moderate,6
U903,2,2,1,Solar,Moderate,18
U904,1,1,2,Gas,Heavy,11
U905,5,5,1,Gas,Moderate,0
U906,5,5,2,Solar,Moderate,6
U907,4,4,1,Electric,Moderate,18
U908,7,7,2,Gas,Heavy,12
U909,2,2,1,Solar,Moderate,25
U910,1,1,1,Gas,Heavy,11
U911,4,4,1,Solar,Heavy,11
U912,3,3,1,Gas,Heavy,21
U913,4,4,1,Gas,Moderate,12
U914,4,4,2,Electric,Light,27
U915,2,2,1,Gas,Light,13
U916,3,3,1,Gas,Light,21
U917,4,4,2,Gas,Light,29
U918,1,1,2,Solar,Light,11
U919,1,1,1,Electric,Moderate,19
U920,5,5,1,Electric,Moderate,11
U921,3,3,1,Gas,Moderate,26
U922,3,3,1,Electric,Light,5
U923,5,5,2,Gas,Moderate,26
U924,4,4,3,Gas,Moderate,9
U925,3,3,2,Electric,Moderate,19
U926,1,1,2,Gas,Heavy,28
U927,1,1,1,Gas,Light,23
U928,2,2,2,Gas,Light,8
U929,3,3,2,Gas,Moderate,1
U930,4,4,1,Electric,Light,6
U931,5,5,2,Gas,Moderate,8
U932,5,5,1,Electric,Moderate,24
U933,4,4,1,Gas,Light,11
U934,7,7,2,Gas,Light,4
U935,6,6,1,Gas,Moderate,0
U936,2,2,1,Electric,Moderate,21
U937,5,5,1,Gas,Moderate,14
U938,3,3,1,Solar,Light,7
U939,2,2,2,Electric,Light,0
U940,3,3,1,Gas,Light,17
U941,7,7,1,Gas,Light,12
U942,1,1,2,Solar,Heavy,28
U943,2,2,1,Electric,Light,0
U944,5,5,1,Gas,Moderate,4
U945,2,2,1,Gas,Heavy,17
U946,2,2,2,Electric,Light,15
U947,2,2,1,Electric,Moderate,25
U948,6,6,1,Gas,Heavy,9
U949,2,2,1,Electric,Heavy,29
U950,3,3,1,Solar,Moderate,3
U951,1,1,1,Gas,Moderate,0
U952,7,7,1,Electric,Heavy,22
U953,4,4,1,Gas,Moderate,7
U954,2,2,2,Gas,Heavy,4
U955,5,5,1,Gas,Moderate,1
U956,2,2,2,Gas,Moderate,23
U957,5,5,3,Electric,Heavy,16
U958,3,3,2,Gas,Heavy,6
U959,5,5,1,Gas,Moderate,16
U960,4,4,1,Gas,Light,27
U961,1,1,1,Gas,Moderate,5
U962,5,5,1,Gas,Moderate,28
U963,5,5,1,Electric,Moderate,21
U964,1,1,2,Gas,Heavy,14
U965,4,4,2,Electric,Heavy,4
U966,2,2,1,Electric,Moderate,14
U967,5,5,1,Gas,Light,17
U968,1,1,2,Electric,Moderate,17
U969,3,3,1,Gas,Moderate,24
U970,1,1,1,Gas,Moderate,20
U971,3,3,2,Gas,Moderate,20
U972,4,4,1,Gas,Moderate,22
U973,2,2,1,Gas,Light,5
U974,1,1,1,Electric,Light,1
U975,7,7,2,Gas,Moderate,26
U976,7,7,1,Electric,Light,16
U977,6,6,1,Gas,Moderate,20
U978,5,5,1,Electric,Moderate,3
U979,4,4,1,Gas,Moderate,11
U980,1,1,1,Gas,Light,18
U981,7,7,2,Gas,Heavy,1
U982,5,5,1,Gas,Moderate,25
U983,7,7,2,Gas,Moderate,1
U984,1,1,1,Electric,Moderate,13
U985,3,3,1,Gas,Light,14
U986,1,1,1,Electric,Moderate,19
U987,6,6,1,Electric,Heavy,1
U988,1,1,1,Electric,Moderate,3
U989,1,1,1,Gas,Heavy,18
U990,6,6,1,Gas,Moderate,8
U991,4,4,1,Solar,Light,6
U992,1,1,1,Electric,Light,29
U993,6,6,2,Gas,Moderate,12
U994,5,5,2,Gas,Moderate,26
U995,3,3,1,Gas,Light,11
U996,3,3,1,Gas,Heavy,2
U997,1,1,1,Electric,Moderate,12
U998,4,4,1,Gas,Moderate,14
U999,4,4,1,Gas,Heavy,13
U1000,5,5,2,Gas,Heavy,23
U1001,1,1,1,Gas,Moderate,8
U1002,3,3,1,Electric,Heavy,12
U1003,4,4,2,Electric,Heavy,22
U1004,1,1,1,Gas,Moderate,21
U1005,7,7,2,Electric,Light,3
U1006,4,4,1,Gas,Light,20
U1007,6,6,1,Gas,Moderate,7
U1008,7,7,1,Gas,Moderate,2
U1009,4,4,1,Gas,Heavy,1
U1010,3,3,3,Gas,Moderate,18
U1011,2,2,1,Gas,Moderate,27
U1012,7,7,3,Electric,Heavy,22
U1013,5,5,1,Gas,Heavy,7
U1014,5,5,1,Electric,Moderate,16
U1015,3,3,1,Gas,Light,12
