one,two,three,four,five,six,seven,eight,nine,ten,eleven,twelve,thirteen,fourteen,fifteen,sixteen,eighteen,nineteen,electricity_consumption
2,0,3,0,0,0,0,0,0,0,0,0,0,2439,0,0,9,2,475
8,2,2,0,0,1,0,0,1,1,1,0,0,1494,0,1,15,2,587
8,0,3,1,1,0,1,0,1,1,0,1,1,2383,0,1,4,2,652
7,2,5,1,1,1,1,1,0,0,1,1,0,2403,1,1,2,1,666
3,3,2,1,1,1,1,1,0,0,0,0,1,2501,0,1,12,2,617
5,0,1,1,0,1,0,1,1,1,1,1,1,1941,1,1,6,1,524
2,1,3,0,0,0,0,1,1,1,0,0,1,1431,1,0,6,0,408
3,2,1,0,1,0,1,0,0,1,1,1,1,1895,0,0,6,1,440
8,0,4,1,0,0,0,0,1,0,0,0,1,1424,1,1,9,1,569
4,0,5,0,0,0,1,0,0,0,0,0,0,510,1,1,13,2,414
4,0,2,1,1,1,0,0,1,0,1,0,0,1110,1,0,3,0,355
8,2,5,1,1,0,1,1,1,1,1,1,0,663,1,1,11,1,546
2,1,5,0,1,0,0,1,1,1,0,1,1,873,1,1,8,1,410
7,0,2,1,1,1,1,1,0,1,0,1,1,1824,0,1,15,2,606
7,3,4,0,0,1,1,1,0,0,1,0,1,2294,1,0,2,2,620
7,1,3,0,1,0,0,0,1,0,0,1,1,2584,1,1,15,1,725
3,3,5,0,1,0,0,0,1,1,1,1,0,1658,1,1,15,0,582
6,3,3,1,1,1,1,0,0,1,0,1,0,1803,1,1,8,2,588
5,0,2,1,0,1,0,1,0,0,1,0,0,2423,1,1,11,2,612
7,0,3,1,1,1,0,0,0,1,0,0,1,903,0,1,4,2,436
2,0,3,0,1,1,1,1,0,0,1,0,0,1217,0,1,11,2,406
5,1,2,1,1,1,1,0,1,1,0,0,1,1915,1,1,13,1,601
8,2,2,1,1,0,0,1,1,1,1,0,1,1624,0,0,11,2,607
8,2,2,1,0,0,1,0,0,0,1,1,0,1994,0,0,6,1,578
3,1,2,1,1,0,1,1,1,1,0,1,0,1076,0,1,15,2,460
2,3,1,1,0,1,1,1,1,1,0,0,1,602,1,0,12,0,368
7,2,4,0,0,0,0,1,1,0,0,0,0,2091,1,1,12,2,667
5,1,4,0,1,1,1,0,1,0,1,1,0,1985,0,1,10,2,589
2,3,3,0,0,1,0,0,0,0,1,0,0,1340,0,0,11,0,398
4,1,5,0,1,0,0,1,0,0,0,0,0,1967,0,1,2,0,473
2,1,4,0,0,1,1,1,0,1,0,0,1,2376,0,0,9,1,537
7,0,4,1,0,0,1,0,0,0,1,1,1,1707,1,1,3,2,538
8,1,4,1,0,1,1,1,1,1,0,1,1,1780,1,1,4,2,632
2,0,1,0,1,0,1,0,0,1,0,1,1,2232,0,1,11,1,492
2,1,2,1,0,0,1,1,0,1,0,1,0,1595,0,0,6,2,399
4,2,1,0,0,1,0,0,0,0,0,1,1,2358,1,0,7,1,528
8,0,1,0,0,0,0,1,1,1,1,1,1,1618,0,0,7,1,506
4,3,5,1,0,0,1,0,0,0,1,0,0,1546,1,1,3,0,494
7,3,2,0,1,0,1,0,1,0,1,0,1,818,1,1,11,1,510
4,0,4,0,1,0,1,1,0,1,0,0,1,2140,0,1,15,1,594
3,2,2,0,0,0,1,1,0,0,0,0,1,1308,0,0,14,2,424
3,3,4,1,1,1,0,1,0,1,1,1,1,730,1,0,6,1,418
2,0,3,1,0,0,1,1,0,1,0,1,1,2553,0,0,9,0,528
7,0,5,0,0,0,1,1,0,1,1,1,1,2174,1,0,14,2,689
2,2,1,1,1,1,0,1,0,0,1,1,1,1028,0,1,10,1,386
8,1,5,0,1,1,0,1,1,0,0,1,1,1286,0,0,4,0,519
8,0,5,0,1,0,1,0,0,0,0,1,0,2182,1,0,9,2,650
8,3,2,0,1,1,0,1,1,1,1,1,1,1163,0,0,15,1,568
7,3,3,0,0,1,0,0,1,1,0,1,0,1409,1,1,2,1,496
5,2,2,1,0,1,0,0,1,0,1,0,0,656,1,1,13,0,442
5,0,1,0,1,0,0,1,0,1,0,1,0,695,0,1,12,2,399
2,0,4,0,0,0,1,1,0,1,0,1,0,850,1,0,10,2,385
8,0,4,1,0,1,1,1,0,1,0,1,0,924,1,0,2,1,481
4,1,4,1,0,0,0,1,0,1,0,0,0,671,1,1,10,1,421
5,2,1,0,1,1,0,1,1,0,1,1,1,2301,1,1,4,1,579
4,2,1,1,0,1,0,1,1,0,0,1,1,1755,1,1,4,2,492
4,3,1,1,1,1,0,0,1,1,0,0,0,2294,0,0,3,0,497
4,3,5,0,0,1,1,1,1,0,0,1,1,1787,1,0,3,0,511
5,3,5,0,1,1,1,0,1,1,0,0,0,803,1,0,13,1,486
8,2,3,0,1,1,0,0,1,0,0,0,0,1469,1,0,7,2,567
4,3,5,0,0,0,1,1,1,1,1,0,0,1798,0,1,9,2,576
4,1,5,0,0,1,0,0,0,1,0,0,1,1423,1,1,15,0,530
3,2,2,1,0,0,0,0,1,0,0,0,0,1584,0,1,11,2,437
5,2,3,1,0,1,1,1,0,0,0,1,1,2483,1,0,7,2,610
4,2,3,1,0,1,0,1,0,1,0,1,1,1515,0,0,2,1,437
8,3,2,0,1,1,0,0,1,1,1,1,1,594,0,1,10,1,488
3,2,1,0,1,1,1,1,0,0,1,0,1,1998,1,1,2,1,452
6,1,3,1,0,1,1,1,0,0,0,1,1,1888,1,0,5,2,565
5,0,1,0,0,1,1,1,0,0,1,1,0,2109,1,1,10,2,573
5,2,4,0,1,1,0,1,1,0,1,1,0,710,1,0,10,2,463
3,1,1,0,0,0,1,1,1,0,1,0,1,2555,1,0,13,0,582
3,2,4,1,1,0,1,1,1,1,1,0,0,1642,1,0,6,1,486
7,3,3,1,1,1,1,0,1,1,1,0,1,672,1,0,7,1,480
7,3,2,0,1,1,0,0,0,0,0,0,0,715,0,1,7,2,439
2,1,1,0,1,1,1,0,1,1,1,0,0,1451,0,0,8,0,362
8,3,4,0,1,0,0,1,0,1,1,1,1,1049,1,1,5,0,541
3,3,3,0,0,1,1,0,0,1,1,1,0,2141,0,0,4,1,496
3,0,3,1,0,1,1,1,1,0,1,1,0,754,0,1,6,0,355
7,2,1,1,1,0,0,0,1,0,1,1,1,2428,0,0,12,2,633
6,3,5,1,0,0,0,0,0,0,1,1,0,1341,1,0,10,1,529
5,1,5,1,1,0,1,1,0,1,1,0,0,799,0,1,7,2,432
6,0,1,1,0,1,1,0,0,1,1,1,1,2046,1,0,12,2,604
3,2,1,0,1,0,0,0,0,1,1,1,1,1440,0,1,7,0,407
3,0,1,1,0,0,0,0,0,0,1,0,0,681,1,1,5,2,290
8,0,2,1,0,1,1,0,1,0,0,1,1,1627,0,0,12,2,582
6,3,1,1,1,1,1,1,0,1,1,0,1,1487,0,1,15,2,572
8,3,1,1,1,0,1,0,1,0,1,0,1,2019,0,0,2,1,563
7,0,1,0,0,1,0,1,1,0,0,0,0,2461,0,0,8,0,583
4,2,4,1,1,1,1,1,1,1,0,1,1,1332,1,1,8,0,535
8,1,2,0,1,1,1,0,0,1,0,1,0,2545,1,1,14,1,730
5,1,3,0,0,1,0,0,0,0,0,0,1,1063,0,0,13,0,414
3,3,3,0,1,1,0,0,1,0,0,1,1,570,1,0,3,0,340
3,1,2,1,1,1,1,0,1,1,1,0,0,1728,0,0,3,1,430
5,3,1,0,0,0,1,1,1,0,0,0,0,2447,1,0,3,2,544
6,0,2,1,0,0,0,1,0,1,0,0,1,1858,1,0,14,2,558
6,2,1,0,1,0,0,1,1,1,0,1,1,2509,0,1,10,1,636
3,3,1,1,0,0,0,1,0,1,0,1,1,1977,0,0,2,1,444
4,2,1,0,0,0,1,1,1,0,0,0,1,881,1,1,2,1,356
5,0,5,0,0,1,0,0,1,1,1,1,0,759,0,1,6,1,412
5,0,3,1,0,1,0,1,0,0,1,0,1,1860,1,1,9,1,553
8,1,3,1,0,1,1,0,1,1,1,1,0,1834,1,1,15,1,680
2,1,5,0,0,1,0,1,1,0,1,1,0,1740,0,1,12,0,509
8,3,1,1,1,1,1,0,1,0,0,0,1,1181,0,1,14,1,571
2,0,1,1,0,0,1,1,1,1,0,1,0,2477,0,1,8,0,485
8,1,3,1,1,1,0,1,1,1,0,1,1,1806,0,1,2,2,566
2,2,1,0,0,0,0,1,1,1,0,1,0,1263,1,1,2,2,347
5,3,4,0,0,0,1,0,0,0,1,1,0,2374,0,1,12,1,647
7,2,5,1,1,0,1,1,1,0,1,0,0,1782,0,0,6,0,570
4,1,5,1,1,0,1,1,0,1,0,0,1,1683,0,0,7,1,488
8,2,1,1,0,0,1,1,1,1,1,1,1,1185,0,0,14,0,548
2,2,2,1,0,1,1,0,0,1,1,0,1,1395,1,0,13,2,458
4,0,4,1,1,0,1,0,0,0,1,1,0,1070,0,0,14,0,463
4,2,5,0,1,1,1,1,0,0,1,0,1,1019,0,0,4,2,426
8,1,4,1,0,1,1,1,1,0,0,1,1,2011,1,1,7,2,641
8,0,4,1,0,1,0,1,0,1,1,1,1,1883,0,1,14,1,645
2,0,4,0,0,0,1,1,0,1,0,0,1,1151,1,0,12,1,410
2,2,2,0,1,1,0,1,0,0,0,0,1,819,0,0,10,2,352
2,0,3,0,1,0,1,0,0,1,0,0,0,1783,1,1,4,1,409
7,1,1,0,0,1,1,0,0,1,1,0,0,911,0,0,11,2,451
4,3,3,0,0,1,0,0,1,0,1,0,0,2104,1,0,14,0,591
5,0,2,1,0,0,1,1,0,1,1,1,0,2429,0,0,11,0,559
4,1,1,0,1,1,1,1,1,0,0,1,0,1769,0,0,14,0,515
4,3,5,0,1,1,0,0,0,0,1,0,1,725,1,0,3,0,374
7,0,2,1,1,1,0,1,0,1,0,0,1,2258,1,0,6,2,615
7,0,4,1,1,0,1,0,1,0,1,0,0,1435,0,0,15,0,556
2,3,3,1,0,0,0,1,0,1,0,1,1,1611,0,1,3,2,412
3,1,5,0,1,0,1,1,1,1,0,1,0,2011,0,1,11,1,556
5,2,5,1,0,0,0,0,1,0,0,1,0,1872,0,1,15,2,609
2,1,5,0,1,1,0,0,1,0,0,0,1,2025,1,0,11,0,535
3,3,1,0,1,0,0,1,1,1,1,1,1,2354,1,0,3,0,501
8,0,2,0,0,1,1,1,1,0,1,0,1,1762,1,1,15,0,616
3,2,5,0,0,1,0,0,0,1,1,0,1,1565,0,0,8,1,485
7,1,1,1,0,0,0,0,0,0,0,0,1,2024,0,1,15,0,565
2,1,4,0,0,1,0,0,1,0,0,1,1,2532,0,1,12,1,565
4,1,2,1,1,1,0,0,0,1,1,1,1,749,0,1,8,0,388
3,1,5,0,1,1,1,1,1,1,1,1,0,606,1,0,2,1,345
8,3,5,1,0,0,0,0,0,1,0,0,1,1953,0,0,5,2,611
8,2,5,0,1,0,0,1,1,0,1,0,0,730,0,0,2,2,462
2,2,5,0,0,1,0,1,0,0,0,0,0,1994,0,1,13,2,540
6,0,3,1,1,0,0,1,1,1,0,1,0,1218,1,1,13,2,537
3,1,1,1,0,0,1,0,0,1,0,1,0,1474,1,1,4,2,389
8,2,4,0,1,0,0,0,1,1,0,0,0,2080,1,1,4,1,631
5,2,5,1,0,1,0,0,1,0,0,1,0,1805,1,0,3,1,514
5,1,1,0,1,1,0,1,0,1,0,0,0,1856,0,0,8,2,502
7,2,3,1,0,0,0,1,1,0,0,1,0,2251,0,1,15,2,686
3,0,1,0,0,1,0,1,0,1,1,1,1,1585,0,1,4,1,403
4,1,4,0,1,1,1,1,0,1,0,0,0,851,1,1,14,2,471
6,0,4,1,1,0,1,1,0,1,0,0,0,2339,0,0,5,0,557
2,3,1,1,0,0,1,1,0,0,1,1,1,1631,1,0,14,2,505
8,3,1,1,0,0,0,0,0,1,1,1,1,2068,1,1,2,0,579
5,1,5,1,0,1,1,0,0,1,1,1,0,1883,1,1,6,1,560
8,1,2,1,1,1,1,1,0,0,1,0,1,2484,1,0,10,0,665
4,3,2,0,0,0,0,0,0,0,1,0,1,1315,1,1,15,1,510
5,0,1,0,1,1,1,0,1,1,1,0,1,870,1,0,8,0,387
8,1,2,0,0,1,1,0,0,1,0,0,0,1416,1,1,13,2,574
5,3,3,1,1,0,1,1,1,0,0,1,1,1722,0,1,3,1,514
7,2,3,1,1,0,0,0,0,1,1,0,0,2537,1,1,8,1,674
7,0,5,0,1,0,1,1,1,0,0,1,0,2428,0,1,13,2,688
7,2,1,0,1,0,1,1,1,1,1,1,1,982,1,0,15,2,527
5,1,5,0,1,1,1,0,0,0,0,1,1,2374,0,1,15,2,662
8,0,4,1,0,1,0,0,1,1,0,0,0,2505,0,0,11,1,679
5,3,4,1,0,0,0,1,0,1,0,0,0,1519,0,1,6,0,477
5,2,2,0,0,1,1,1,1,1,0,1,1,1971,0,0,14,1,565
3,1,2,0,0,0,0,1,0,1,1,0,0,942,0,0,13,0,376
5,3,1,1,1,0,0,0,1,1,0,1,0,2215,0,0,6,0,515
5,1,5,0,1,0,1,1,1,0,0,1,0,2468,1,0,2,0,568
2,3,2,0,0,0,1,0,1,1,1,1,0,908,0,0,15,1,403
8,2,4,0,0,0,0,0,0,1,1,1,1,880,1,1,4,0,493
5,3,3,1,1,1,0,0,0,0,0,0,1,2477,1,0,11,1,639
6,0,2,1,1,0,1,1,0,0,1,1,0,1417,1,0,8,2,493
5,2,4,0,0,0,0,1,1,0,0,1,1,1486,1,1,2,2,482
6,3,4,0,0,1,1,1,0,1,1,1,0,2537,0,0,8,1,638
6,0,1,1,0,1,1,1,0,0,1,1,1,1988,1,0,3,2,514
2,2,3,1,1,0,0,0,1,0,1,0,1,1302,0,0,15,1,441
5,1,3,0,1,0,0,1,1,0,1,0,0,2272,1,0,13,2,605
7,1,1,1,1,1,1,0,1,1,1,1,1,1046,0,1,11,2,528
4,2,5,0,0,0,1,1,0,0,1,0,1,2467,1,1,15,1,654
6,0,1,1,0,0,0,0,1,0,1,1,0,754,1,0,14,2,418
4,3,1,0,1,0,1,0,1,1,1,1,0,553,1,0,11,1,383
7,2,5,0,0,1,1,0,0,0,0,0,1,666,1,1,10,1,485
3,2,1,1,1,0,0,0,1,0,1,1,1,798,1,0,4,2,325
8,1,4,1,0,1,0,0,1,1,1,1,0,2445,0,0,12,1,706
3,1,1,1,1,0,1,1,1,0,1,1,1,679,1,0,7,2,340
2,1,5,0,0,0,0,1,0,0,1,0,0,597,1,1,2,0,283
2,1,3,0,0,1,1,1,1,1,1,1,0,2095,0,0,12,2,511
8,0,1,1,0,1,1,0,1,1,1,1,0,2441,0,0,4,2,609
8,2,2,1,1,0,0,0,0,0,1,0,1,1360,1,0,8,2,552
3,1,2,0,1,0,0,0,0,1,0,1,0,1526,0,0,13,2,458
4,2,2,0,0,1,0,0,1,1,1,1,1,1124,1,1,8,0,423
4,1,2,1,1,1,0,1,1,1,1,1,1,2494,0,0,12,2,603
8,2,2,0,1,0,0,0,0,1,0,0,1,2433,0,1,8,0,633
3,3,5,0,1,1,0,0,0,0,1,0,0,1098,1,1,2,0,416
3,0,3,1,0,0,0,1,1,1,1,0,0,1827,0,1,15,2,525
6,1,4,1,1,0,1,1,0,1,1,1,1,2474,0,0,9,0,640
2,2,2,0,0,0,1,0,0,1,1,0,1,2461,1,0,11,0,545
2,1,1,0,0,0,0,0,0,0,1,0,1,576,1,0,5,1,264
8,3,2,0,1,0,0,1,0,1,1,0,0,2049,1,0,3,0,571
6,3,2,0,0,1,0,0,0,1,0,0,1,2223,1,0,13,2,636
3,3,4,1,0,1,0,1,1,0,0,1,1,1555,0,0,13,2,502
6,0,5,0,1,0,1,1,1,0,0,1,1,1570,1,1,11,1,591
8,1,4,1,0,1,1,1,1,1,1,0,0,1441,1,0,3,0,556
5,2,5,0,0,1,0,0,0,1,1,0,0,1577,0,1,3,2,475
7,3,4,1,0,0,1,1,0,0,1,0,0,2591,0,0,12,0,693
3,0,2,0,1,1,1,1,1,0,0,0,0,1665,1,1,15,1,503
6,1,4,1,0,1,0,1,0,0,1,1,0,1555,1,1,8,2,567
8,1,3,1,1,0,1,0,1,0,1,0,0,1793,1,1,10,2,608
7,2,2,1,0,1,1,0,0,1,1,1,0,1602,0,0,9,2,542
3,1,3,0,0,0,0,1,0,0,0,0,1,527,0,1,7,2,314
5,2,4,0,1,1,0,0,0,1,1,0,1,2112,0,1,3,2,567
5,2,1,0,0,1,0,1,1,1,0,1,0,1603,1,1,7,0,501
5,1,4,1,1,1,1,1,0,0,0,0,1,1465,1,1,5,0,489
5,0,2,1,1,0,1,1,1,1,0,1,0,1169,0,0,15,1,491
8,0,4,1,1,1,1,1,1,0,1,0,1,1314,0,1,7,1,570
5,3,1,1,1,1,0,0,1,1,1,0,0,1163,1,0,7,1,449
7,2,5,1,1,1,1,1,1,0,0,0,0,1461,1,0,5,0,559
2,0,1,1,0,0,1,0,0,1,0,0,1,1767,0,0,13,1,438
7,1,2,0,0,0,1,1,1,1,1,1,0,1225,1,1,10,2,551
4,2,4,0,0,1,1,1,1,1,0,1,0,500,0,1,6,1,390
2,3,4,1,0,1,1,0,0,1,0,1,1,2116,0,0,13,2,567
8,3,2,1,0,1,0,1,1,1,1,0,0,1247,0,1,3,2,523
6,3,3,1,0,1,0,0,0,0,0,0,1,1602,0,1,13,0,552
2,1,1,1,0,1,1,1,1,1,1,0,1,828,0,0,6,1,303
6,3,2,0,1,1,0,0,0,1,1,0,0,1315,1,0,10,2,508
5,3,3,1,0,0,0,1,1,1,0,1,0,1392,0,0,12,1,513
2,1,3,0,1,0,0,0,1,0,1,0,0,1145,1,0,12,2,409
8,0,1,1,0,0,0,1,0,1,1,1,0,587,1,1,13,0,461
2,3,4,1,1,0,0,1,1,1,1,0,0,1134,1,1,15,1,508
4,3,1,1,0,0,1,0,1,0,1,0,1,1131,1,1,8,2,444
2,0,5,0,0,0,0,0,0,0,1,0,0,630,1,1,10,2,349
2,2,2,0,0,0,1,0,1,0,1,1,1,738,1,0,13,0,369
2,1,5,0,0,0,1,0,0,0,0,1,0,1966,1,1,3,0,449
6,3,5,1,0,1,1,1,1,1,1,1,1,1485,0,1,14,2,636
4,3,4,1,0,0,1,0,0,1,0,1,0,1379,1,0,14,2,531
6,1,1,0,1,1,0,0,1,1,0,0,1,1730,0,1,11,0,510
7,2,4,0,1,0,1,0,1,0,0,1,1,2278,1,0,15,0,673
7,3,1,1,0,1,0,1,0,0,0,1,1,2567,0,0,8,1,637
3,1,3,0,1,0,1,1,0,1,1,0,0,2469,0,1,8,2,577
3,1,2,0,1,1,1,0,0,1,1,1,1,1280,1,1,11,2,451
8,2,2,1,1,0,1,0,0,0,1,0,0,960,0,0,11,0,484
2,2,1,1,1,1,0,1,0,0,0,1,1,1078,0,1,11,2,408
2,2,2,0,1,0,1,0,1,0,0,1,1,1975,0,0,6,2,456
3,3,5,0,1,1,0,0,0,1,0,0,0,1748,1,1,8,2,521
2,2,3,1,1,0,1,0,1,1,0,1,0,1121,1,1,12,0,426
7,3,5,0,1,0,0,1,1,1,1,0,0,1067,0,0,6,2,526
3,3,2,0,1,0,0,0,1,0,0,1,1,2184,1,1,13,2,577
3,1,1,0,0,0,1,0,0,0,0,1,0,2452,0,1,13,2,545
3,3,4,1,0,0,0,0,0,1,0,1,1,1411,0,0,3,0,416
8,3,3,1,0,1,1,0,1,1,1,0,0,2349,1,0,5,2,683
5,0,5,1,0,0,1,1,1,1,1,1,0,2230,1,0,13,2,640
5,3,1,0,0,0,1,1,1,1,0,0,1,1327,1,0,6,1,444
7,0,1,0,1,1,0,1,0,1,1,0,0,1872,0,0,15,0,559
8,0,4,1,1,1,1,0,0,0,0,0,1,550,1,1,15,1,537
8,0,5,1,0,0,1,1,1,1,0,0,0,1639,0,0,4,0,526
7,2,1,0,0,1,1,0,0,0,1,0,0,1664,0,1,13,2,563
2,0,3,1,1,1,0,1,0,1,1,0,0,1624,1,1,10,0,456
6,0,1,0,1,1,1,1,1,1,0,1,1,2517,0,0,13,1,625
2,0,1,1,0,0,1,1,0,1,1,0,0,1324,1,1,14,0,421
4,2,1,0,1,1,1,0,0,0,1,1,1,2443,0,0,9,0,560
8,2,4,1,0,1,1,0,0,1,1,0,0,1648,0,1,8,2,618
8,1,5,1,0,0,1,1,0,1,1,0,1,1473,1,1,15,1,650
6,2,2,0,1,0,0,0,1,0,1,0,0,1893,1,1,14,1,586
8,0,5,0,0,0,1,1,0,0,1,0,0,1865,1,0,3,2,574
2,2,2,1,0,0,1,1,1,1,0,1,0,1145,1,0,2,2,373
6,0,2,1,1,1,0,1,0,0,0,1,1,2317,0,0,2,1,515
2,3,1,0,1,1,0,1,1,1,1,0,0,2407,0,0,15,2,576
2,3,3,1,1,0,0,0,1,1,1,0,1,1830,1,1,2,0,470
2,2,4,1,0,1,1,0,0,1,0,1,0,1737,1,1,11,1,510
6,1,5,0,1,1,0,1,0,1,1,1,0,1208,0,1,3,2,497
4,0,4,0,1,1,0,0,1,1,1,0,0,1391,0,0,14,0,472
5,2,4,1,0,0,1,1,1,1,1,0,0,2590,1,0,15,1,680
4,0,1,1,0,1,0,0,1,1,1,1,1,2062,1,0,12,0,546
3,1,5,1,1,1,0,1,0,0,0,0,0,1089,1,1,4,0,394
7,3,4,1,0,1,1,1,1,1,0,0,1,530,1,0,13,2,519
5,2,1,0,1,1,0,1,0,0,1,1,0,862,0,1,12,2,420
7,2,5,0,1,0,1,1,1,1,1,1,1,1684,0,0,13,2,644
7,2,1,1,0,0,1,0,1,1,0,0,0,1638,1,0,11,1,547
8,2,1,0,0,0,1,1,0,1,0,1,0,635,1,0,4,2,406
8,3,4,1,0,1,0,0,1,0,1,0,0,1186,1,1,9,1,583
7,1,4,1,1,1,0,1,0,1,1,1,1,668,0,1,15,1,527
4,2,3,0,1,1,1,0,0,1,0,1,0,534,0,0,8,0,365
2,3,3,0,1,1,0,0,0,0,0,0,0,991,0,0,8,2,373
8,1,1,0,1,1,1,0,1,1,1,1,1,1163,0,1,14,0,556
5,2,1,1,1,0,1,0,1,0,1,0,1,944,0,1,5,2,390
5,2,1,0,0,0,1,1,0,1,0,0,0,2099,1,0,13,1,568
6,0,5,1,1,1,1,0,0,0,1,1,0,1970,1,1,8,0,588
4,2,1,1,1,0,0,0,1,0,1,1,0,1971,1,0,12,1,528
3,0,2,0,0,1,1,0,1,1,1,0,0,1889,0,1,14,2,496
5,0,2,1,0,0,0,0,0,1,0,1,0,1494,0,0,4,2,398
4,0,4,0,0,0,0,1,0,0,0,1,1,2146,1,0,12,2,581
3,2,2,0,0,1,0,0,1,0,1,0,1,1175,1,0,11,0,406
2,3,2,0,1,0,0,0,0,0,1,1,1,1019,0,0,12,1,397
5,3,2,0,0,0,1,0,1,1,1,0,0,1286,0,0,11,1,486
6,1,4,0,1,0,0,0,0,1,1,0,0,676,0,1,6,0,407
4,2,5,1,0,0,0,0,0,0,1,0,0,1463,1,1,8,0,491
3,0,3,0,0,0,1,0,1,0,0,1,1,722,1,0,5,2,341
3,3,3,0,1,0,1,1,0,1,0,0,0,1649,0,0,15,1,520
5,1,3,0,1,0,0,0,0,1,1,0,1,2395,1,0,13,1,617
3,2,4,0,0,0,1,0,0,1,0,1,1,2463,0,1,9,0,556
6,0,4,0,0,1,1,0,0,0,1,1,0,2381,0,1,9,0,613
3,2,4,0,0,1,1,0,1,1,1,0,0,1875,0,1,2,0,469
4,3,5,0,1,1,0,0,0,0,1,0,0,2459,0,0,7,1,584
6,3,3,0,0,1,1,1,1,0,1,1,1,2007,0,0,9,0,578
5,1,3,0,0,0,1,0,0,1,0,0,0,1700,1,0,9,1,506
5,0,3,0,0,0,0,1,1,1,1,1,1,2375,1,0,14,1,622
8,2,2,1,1,1,0,0,1,1,1,0,0,1668,0,0,15,2,610
3,1,1,0,1,0,1,1,1,0,0,0,1,1908,0,1,9,2,468
6,2,1,0,1,1,0,1,1,0,0,1,1,2441,1,0,14,2,668
4,0,4,0,0,0,1,0,1,0,1,1,0,1836,0,0,11,2,510
8,2,2,0,0,1,0,1,0,1,1,0,1,2128,0,1,7,1,619
2,2,3,1,1,1,0,0,1,1,1,1,0,2236,1,0,15,2,577
3,1,3,1,1,0,1,0,0,1,1,1,0,2392,0,0,4,1,510
6,3,1,1,1,1,1,0,0,0,0,1,1,2435,0,1,8,0,622
7,1,1,0,1,1,0,1,1,1,1,1,0,2028,0,1,4,2,543
3,2,4,0,1,0,0,1,1,1,1,0,1,1694,0,0,14,2,526
8,0,5,0,1,1,1,1,1,0,1,0,0,1060,1,1,14,1,600
4,1,1,0,0,0,0,0,1,1,0,0,0,571,1,1,6,2,327
3,3,5,1,0,1,0,0,0,0,0,0,1,1013,0,0,3,1,363
2,0,4,1,0,0,0,0,0,1,0,1,0,771,1,0,14,0,359
6,1,5,0,0,1,0,0,0,1,1,1,0,2550,0,0,3,2,587
6,1,2,1,0,0,0,0,1,1,0,1,0,1240,1,1,8,0,486
3,3,1,1,0,1,0,0,1,1,1,0,0,1843,1,0,8,1,490
6,2,4,0,1,1,1,0,0,1,1,0,0,2513,0,1,9,2,648
2,1,4,1,0,0,0,1,0,1,0,1,0,1453,1,1,6,2,433
8,3,3,1,1,1,1,0,1,0,0,1,1,2536,0,0,2,0,629
8,0,4,0,0,1,1,0,1,0,0,1,1,1327,1,1,9,2,569
6,2,5,0,0,1,0,1,1,1,1,1,1,647,0,0,10,2,477
7,1,4,1,0,1,1,1,0,1,1,1,0,2575,0,1,6,1,675
